Title,Abstract
"This article has been accepted for inclusion in a future issue of this journal. Content is final as presented, with the exception of pagination","High spatial resolution (HSR) remote sensing images can reflect more subtle changes and more specific types of land use and land cover (LULC) due to the abundant spatial geometric information. In this article, a class-prior object-oriented conditional random field (COCRF) framework consisting of a binary change detection (CD) task and a multiclass CD task is proposed to fill the application gap. In the proposed framework, the class-prior knowledge is used to improve the construction of the unary potential in both the binary and multiclass CD tasks, to reduce the influence of spectral variability. The binary CD result provides a constraint to the multiclass CD result. As a result, both parts have effective interaction.
The class posterior probability images of two dates can be obtained automatically with the class-prior knowledge by sample migration. Furthermore, an object constraint described by the class dispersion within the objects is added to improve the smoothness in local objects, while the pairwise potential improves the smoothness of the whole area by using the eight-neighborhood spectral information of the center pixel. By integrating the above approaches, the problems of error accumulation and the manual intervention required in the traditional multiclass CD methods can be relieved. An adaptive parameter estimation strategy is also adopted in the proposed framework, to save the time required for manual parameter setting. The proposed COCRF framework was validated on two HSR remote sensing image data sets, where it achieved a better performance than the other state-of-the-art CD methods."
Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,"Brazil has a monitoring system to track annual forest conversion in the Amazon and most recently to monitor the Cerrado biome. However, there is still a gap of annual land use and land cover (LULC) information in all Brazilian biomes in the country. Existing countrywide efforts to map land use and land cover lack regularly updates and high spatial resolution time-series data to better understand historical land use and land cover dynamics, and the subsequent impacts in the country biomes. In this study, we described a novel approach and the results achieved by a multi-disciplinary network called MapBiomas to reconstruct annual land use and land cover information between 1985 and 2017 for Brazil, based on random forest applied to Landsat archive using Google Earth Engine. We mapped five major classes: forest, non-forest natural formation, farming, non-vegetated areas, and water. These classes were broken into two sub-classification levels leading to the most comprehensive and detailed mapping for the country at a 30 m pixel resolution. The average overall accuracy of the land use and land cover time-series, based on a stratified random sample of 75,000 pixel locations, was 89% ranging from 73 to 95% in the biomes. The 33 years of LULC change data series revealed that Brazil lost 71 Mha of natural vegetation, mostly to cattle ranching and agriculture activities. Pasture expanded by 46% from 1985 to 2017, and agriculture by 172%, mostly replacing old pasture fields. We also identified that 86 Mha of the converted native vegetation was undergoing some level of regrowth. Several applications of the MapBiomas dataset are underway, suggesting that reconstructing historical land use and land cover change maps is useful for advancing the science and to guide social, economic and environmental policy decision-making processes in Brazil."
Predicting changes in land use/land cover and seasonal land surface temperature using multi-temporal landsat images in the northwest region of Bangladesh,Configurations of LULC and seasonal LST change in the Northwest region of Bangladesh were analyzed. Built-up area expansion contributed to increased summer and winter LST by 0.55 C and 2.54 C per decade from 1999-2019. Temperature increases have resulted in a significant decline in agricultural productivity over the last 30 years. Summer and winter LST simulations indicate that more than 50 % and 13 % will likely be in >35 C by 2039. Prediction of LULC change and seasonal LST variation needs to be considered during urban development plans.
"Analysis of Land Use/land Cover Changes and Prediction of Future Changes With Land Change Modeler: Case of Belek, Turkey","In the areas declared to be a tourism center, a rapid tourism-related development occurs depending on the investments in tourism, which causes a dramatic land use and land cover changes. Determining, monitoring, and modeling of land use and land cover changes are required in order to ensure the conservation-use balance and sustainability within such vulnerable areas that are under the development pressure. This study consists of four steps. In the rst step, the Landsat images dated 1985, 2000, and 2021 were classi ed using the maximum likelihood method and the land use and land cover of Belek Tourism Center located in Turkey were determined. The second step included the identi cation of areal and spatial changes between the land use and land cover classes for the periods between 1985 and 2000, 2000 and 2021, and 1985 and 2021.  In the third step, the land use and land cover changes in Belek Tourism Center for 2040 were modeled using the Land Change Modeler. Last step evaluated the relationship between the modeled spatial development pattern and the current planning decisions. According to the results obtained through a 36-year research, the rates of settlement, forest, and water body areas have increased by 11.91%, 13.67%, and 0.82%, respectively whereas the rates of barren land and agricultural areas have reduced by 22.25% and 4.15%, respectively. The land use map modeled for 2040 predicts the settlement areas to expand by 5.46% and the agricultural areas to shrink by 4.21% by comparison with 2021."
Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,"LULCC and magnitude of impact of the drivers and predictors of LULCC in the sub-region by engag-| ing 25 stakeholders in a focus group survey. Other cultivated areas of cropland, built-up, oil palm, and banana plantation covers increased by 21,360 ha (10.5%), 3152 ha (1.6%), 5721 ha (2.8%), and 1823 ha (0.9%), while dense forest, rubber and tea plantation covers decreased by -44,945 ha (-22.1%), -15,557 ha (-7.7%), and -110 ha (-0.1%), respectively, from 1986 to 2018. Most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial and built-up areas expansion. The spatial pattern of LULCC showed that expansion of other cultivated areas of cropland and agro-industrial plantations were highest in the north and east zones, respectively, while expansion of builtup areas and decrease in agro-industrial plantation covers were highest in the central, south and western coastal zones of Fako division. The variations in the spatial patterns of LULCC between the sub-divisions are attributed to differences in rates of population growth and urbanisation, topography, size of farming population, proportion of cultivable land, socioeconomic opportunities, and strength and resilience of Abstract The old paradigm of horizontal expansion of agricultural land and built-up areas over highland and lowland ecosystems remains highly prevalent in Cameroon, causing significant changes in LULC and undermining the resilience and sustainability of social-ecological systems. We analysed satellite imagery of 1986 and 2018 to examine the extent and spatial patterns of LULCC in Fako sub-region of Cameroon. In addition, we explored the likelihood of Highlights • Most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial plantation and built-up area expansion from 1986 to 2018. • Dense forest and rubber plantation covers decreased, while oil palm and banana plantation covers increased, owing to local economics and increase in local and international palm oil demand. • Spatial patterns of change in LULC classes were highly variable within the sub-region, but common temporal trends in LULCC were observed on the most part. • Differences in biophysical and socio-economic factors explained the variability in the spatial patterns of LULCC among sub-divisions. • Changes in LULC decreased with elevation, but increased with nearness to the sea and national road networks."
Remote Sensing of Environment,"Spatiotemporal fusion is a feasible solution to resolve the tradeoff between the temporal and spatial resolutions of remote sensing images. However, the development of spatiotemporal fusion algorithms has not yet reached maturity, and existing methods still face many challenges, e.g., accurately retrieving land cover changes and improving the robustness of fusion algorithms. The Flexible Spatiotemporal DAta Fusion (FSDAF) method proposed by Zhu et al. in 2016 solved the abovementioned problems to some extent. However, FSDAF has two shortcomings that can be further improved: (1) FSDAF is prone to losing spatial details and predicting a ""blurrier"" image due to the input of coarse pixels containing type change information and a large amount of boundary information for unmixing calculation, and (2) FSDAF does not optimize the areas of land cover change. In this paper, an improved FSDAF method incorporating change detection technology and an optimized model for changed-type areas (FSDAF 2.0) was proposed to improve the aforementioned problems. Based on the existing FSDAF algorithm, FSDAF 2.0 excludes changed pixels and boundary pixels for unmixing calculation, and establishes a model to optimize the changed pixels. Its performance was compared with that of the Spatial and Temporal Adaptive Reflectance Fusion Model (STARFM), the original FSDAF, and the enhanced FSDAF that incorporates sub-pixel class fraction change information (SFSDAF). Two sites consisting of landscapes with heterogeneous and large-scale abrupt land cover changes were employed for testing. The results of the experiments demonstrate that FSDAF 2.0 effectively improves the shortcomings of FSDAF, blends synthetic fine-resolution images with higher accuracy than that of the other three methods at two different sites, and strengthens the robustness of the fusion algorithm. More importantly, FSDAF 2.0 has a powerful ability to retrieve land cover changes and provides a feasible way to improve the performance of retrieving land cover changes. Consequently, FSDAF 2.0 has great potential for monitoring complex dynamic changes in the Earth's surface."
Land use and land cover changes along the China-Myanmar Oil and Gas pipelines -Monitoring infrastructure development in remote conflict-prone regions,"Energy infrastructures can have negative impacts on the environment. In remote and / or sparsely populated as well as in conflict-prone regions, these can be difficult to assess, in particular when they are of a large scale. Analyzing land use and land cover changes can be an important initial step towards establishing the quantity and quality of impacts. Drawing from very-high-resolution-multi-temporal-satellite-imagery, this paper reports on a study which employed the Random Forest Classifier and Land Change Modeler to derive detailed information of the spatial patterns and temporal variations of land-use and land-cover changes resulting from the China-Myanmar Oil and Gas Pipelines in Ann township in Myanmar's Rakhine State of Myanmar. Deforestation and afforestation conversion processes during pre-and post-construction periods (2010 to 2012) are compared. Whilst substantial forest areas were lost along the pipelines, this is only part of the story, as afforestation has also happened in parallel. However, afforestation areas can be of a lower value, and in order to be able to take quality of forests into account, it is of crucial importance to accompany satellite-imagery based techniques with field observation. Findings have important implications for future infrastructure development projects in conflict-affected regions in Myanmar and elsewhere."
Impact of land use/land cover change on the topsoil selenium concentration and its potential bioavailability in a karst area of southwest China,Land use/land cover change affects total soil Se content and its bioavailability. Soil organic carbon was the overriding edaphic factor controlling soil Se status. Climate variables strongly influenced soil Se status at the regional scale. Soil Se retention increased after cropland abandonment mainly due to SOC accumulation.
"Addressing uncertainty and bias in land use, land use change, and forestry greenhouse gas inventories","National greenhouse gas inventories (NGHGIs) will play an increasingly important role in tracking country progress against United Nations (UN) Paris Agreement commitments. Yet uncertainty in land use, land use change, and forestry (LULUCF) NGHGHI estimates may undermine international confidence in emission reduction claims, particularly for countries that expect forests and agriculture to contribute large near-term GHG reductions. In this paper, we propose an analytical framework for implementing the uncertainty provisions of the UN Paris Agreement Enhanced Transparency Framework, with a view to identifying the largest sources of LULUCF NGHGI uncertainty and prioritizing methodological improvements. Using the USA as a case study, we identify and attribute uncertainty across all US NGHGI LULUCF ""uncertainty elements"" (inputs, parameters, models, and instances of plot-based sampling) and provide GHG flux estimates for omitted inventory categories. The largest sources of uncertainty are distributed across LULUCF inventory categories, underlining the importance of sector-wide analysis: forestry (tree biomass sampling error; tree volume and specific gravity allometric parameters; soil carbon model), cropland and grassland (DayCent model structure and inputs), and settlement (urban tree gross to net carbon sequestration ratio) elements contribute over 90% of uncertainty. Net emissions of 123 MMT CO 2 e could be omitted from the US NGHGI, including Alaskan grassland and wetland soil carbon stock change (90.4 MMT CO 2 ), urban mineral soil carbon stock change (34.7 MMT CO 2 ), and federal cropland and grassland N 2 O (21.8 MMT CO 2 e). We explain how these findings and other ongoing research can support improved LULUCF monitoring and transparency."
J o u r n a l P r e -p r o o f,"This is a PDF file of an article that has undergone enhancements after acceptance, such as the addition of a cover page and metadata, and formatting for readability, but it is not yet the definitive version of record. This version will undergo additional copyediting, typesetting and review before it is published in its final form, but we are providing this version to give early visibility of the article. Please note that, during the production process, errors may be discovered which could affect the content, and all legal disclaimers that apply to the journal pertain."
"Modeling and Prediction of Land Use Land Cover Change Dynamics Based on Land Change Modeler (LCM) in Nashe Watershed, Upper Blue Nile Basin, Ethiopia","Change of land use land cover (LULC) has been known globally as an essential driver of environmental change. Assessment of LULC change is the most precise method to comprehend the past land use, types of changes to be estimated, the forces and developments behind the changes. The aim of the study was to assess the temporal and spatial LULC dynamics of the past and to predict the future using Landsat images and LCM (Land Change Modeler) by considering the drivers of LULC dynamics. The research was conducted in Nashe watershed (Ethiopia) which is the main tributary of the Upper Blue Nile basin. The total watershed area is 94,578 ha. The Landsat imagery from 2019, 2005, and 1990  was used for evaluating and predicting the spatiotemporal distributions of LULC changes. The future LULC image prediction has been generated depending on the historical trends of LULC changes for the years 2035 and 2050. LCM integrated in TerrSet Geospatial Monitoring and Modeling System assimilated with MLP and CA-Markov chain have been used for monitoring, assessment of change, and future projections. Markov chain was used to generate transition probability matrices between LULC classes and cellular automata were used to predict the LULC map. Validation of the predicted LULC map of 2019 was conducted successfully with the actual LULC map. The validation accuracy was determined using the Kappa statistics and agreement/disagreement marks. The results of the historical LULC depicted that forest land, grass land, and range land are the most affected types of land use. The agricultural land in 1990 was 41,587.21 ha which increased to 57,868.95 ha in 2019 with an average growth rate of 39.15%. The forest land, range land, and grass land declined annually with rates of 48.38%, 19.58%, and 26.23%, respectively. The predicted LULC map shows that the forest cover will further degrade from 16.94% in 2019 to 8.07% in 2050, while agricultural land would be expanded to 69,021.20 ha and 69,264.44 ha in 2035 and 2050 from 57,868.95 ha in 2019. The findings of this investigation indicate an expected rapid change in LULC for the coming years. Converting the forest area, range land, and grass land into other land uses, especially to agricultural land, is the main LULC change in the future. Measures should be implemented to achieve rational use of agricultural land and the forest conversion needs to be well managed."
Mapping the spatial heterogeneity of global land use and land cover from 2020 to 2100 at a 1 km resolution,"A fine global future land use/land cover (LULC) is critical for demonstrating the geographic heterogeneity of earth system dynamics and human-earth interaction. In this study, we produced a 1 km global future LULC dataset that takes into account future climate and socio-economic changes as well as the impact of simulated results of the former year on temporally adjacent periods. By incorporating the variations in climatic and socio-economic factors, we differentiated LULC suitability probabilities for historical and future periods across representative SSP-RCP scenarios. then, by using an improved cellular automata model-PLUS to simulate the patch-level changes of various land classes, we iteratively downscaled water-basin-level LULC demands in various future scenarios to a spatial resolution of 1 km. Our dataset achieves a high degree of simulation accuracy (Kappa = 0.94, OA = 0.97, FoM = 0.10) and precisely captures the spatial-temporal heterogeneity of global LULC changes under the combined effects of climate change and socio-economic development. This robust and fine-scale LULC dataset provides valuable spatially-explicit information essential for earth system modeling and intricate dynamics between anthropogenic activities and the environment."
Land Use Policy,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects."
LAND USE/LAND COVER CHANGE PREDICTION USING MULTI-TEMPORAL SATELLITE IMAGERY AND MULTI-LAYER PERCEPTRON MARKOV MODEL,"This paper aims to predict the trend of land use land cover (LULC) changes in Dak Nong province over time. Data from Landsat images captured in 2009, 2015, and 2018 was employed to analyze and predict the spatial distributions of LULC categories. The Random Forest (RF) was adopted to classify the images into ten different LULC classes. Besides, integration of Multi-Layer Perceptron Markov Neural Network (MLP-NN) with Markov Chain (MC) was applied to predict the future LULC changes in the region based on the change detection over the previous years. For all classified images, overall accuracy (OA) ranged from 77.35% to 84.55% with kappa (K) coefficient index ranging from 0.75 to 0.8. The results revealed that the annual population growth together with social-economic development was regarded as major drives for land conversion in the area. The predicted map showed a significant decrease trend in the forest classes by 2025, accounting for 23 thousand ha. However, residential areas, rubber, and agricultural land classes are predicted to rise to 460 ha, 3,000 ha, and 20,000 ha, respectively. The simulated model and calibrated area data may be a vital contribution to sustainable development efforts of the local based on the dynamics of LULC and future LULC change scenarios. Overall, ascertaining the complex interface related to changes in land use and its major drivers over time provides useful information predict to explore the future trend of LULC changes, establish alternative land-use schemes and serve as guidelines for urban planning policymakers."
A review on change detection method and accuracy assessment for land use land cover,"The assessment of land use land cover change is extremely important for understanding the relationship between humans and nature. The enormous changes at a regional scale and advancements in technology have encouraged researchers to gather more information. The remote sensing technology and GIS tools cooperatively have made it easier to monitor the changes in land use land cover (LULC) from past to present. This technology has unraveled the changes at the regional and global level and has also contributed tremendous benefits to the scientific community. A variety of change detection algorithms have been used in the history of remote sensing to detect changes at earth's surface and newer techniques are still in process. The data from remote sensing satellites are the primary sources that provide an opportunity to acquire information about LULC change in recent decades, which extensively use different algorithms according to the research needs. The selection of appropriate change detection method is highly recommended in every remote sensing project. This review paper begins with the traditional pre and post-classification change detection techniques related to LULC information at the regional level. Therefore, this paper evaluated the mostly used change detection method among all others to find remarkable results. Thus the review concludes the post-classification change detection method using maximum likelihood classifier (MLC) supervised classification is applicable in all cases. The comparative analysis was also performed in a selected region having multiple land features during review in which MLC results best in comparison to others. MLC is the most commonly used technique from the past till present that has achieved high accuracy in all regions comparatively to other techniques."
