Title,Abstract
Assessing Land Use-Land Cover Change and Its Impact on Land Surface Temperature Using LANDSAT Data: A Comparison of Two Urban Areas in India,"The purpose of this study is to investigate the spatial and temporal changes in land use and patterns of vegetation and its impacts on land surface temperature (LST) in two Indian cities. Specifically the motivation behind this study is to examine whether a correlation exists between these parameters for the two cities. Indian cities are facing tremendous pressures of rapid urbanization altering the country's land use patterns. This in turn has significantly altered the country's land surface temperature over the years. This study investigates the changes in the land use, land cover and surface temperature in two Indian cities of Surat and Bharuch over a period of 2 decades using Landsat 5 Thematic Mapper and Landsat 8 OLI/TIRS datasets. The study also examines changes in vegetation pattern during this period using a normalized difference vegetation index (NDVI) and investigates the correlation between LST and NDVI. Additionally, the study examines the spatial patterns of LST by mapping the directional profiles of LST. Results of the study reveal that over time both the cities have witnessed a dramatic growth in built-up area, systematic reduction in green space and increase in LST. There is 85% increase in builtup area in Surat in the past 2 decades and 31% increase in built-up area in Bharuch during the same period. At the same time, mean surface temperature in Surat has shown an increase of 2.42 °C per decade while in Bharuch the mean surface temperature has increased by 2.13 °C per decade. Moreover, examination of correlation between LST and NDVI showed a negative relation between the two parameters. Directional profiles showed a continued increase in temperature from 2008 to 2016 from North to South direction Surat indicating an increased urbanization in that direction. Also, new peaks were observed in the profile of Surat for 2008 and 2016 in the north-south direction indicating urban expansion particularly in the southern part of the city. Moreover, substantial growth has taken place in the central part of the city and along the banks of the rivers Tapi and Narmada. This study will be helpful in investigations that address the challenges of urbanization in Surat and Bharuch by assisting local government officials, land management professionals and planners to determine areas where growth must be curbed to avoid further environmental degradation thereby assisting in systematic urban planning practices."
Land Use Policy,"Information on Land Use and Land Cover (LULC) changes and the driving forces behind such modifications underpin a proper understanding of the dynamics of LULC changes. This study aimed to analyse the dynamics of LULC change trends and its driving factors in Jimma Geneti District (JGD) for the year 1973-2019. Five satellite images downloaded from USGS were used to analyze and assess the geospatial and temporal changes in LULC. In addition, in-depth household interviews, key informant interview, focus group discussions (FGD) and field observations were used to address the drivers of LULC changes. The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019. The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %). In other words, 34.6 % of the forest cover that existed in 1973 was lost. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019. On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %). Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period. Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes. Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods. From this study, it can be concluded that JGD has experienced a significant change in LULC over the past 46 years and were affected both positively and negatively. Hence, a wide range of policy packages are required for sustainable land management practices which take in to account synergies and trade-offs between the various land uses in the study area. The national and local governments should enforce sustainable land management approaches through integrating land use planning and management into all development programmes and projects."
"Integrated modeling of hydrological processes and groundwater recharge based on land use land cover, and climate changes: A systematic review","Groundwater is the main available freshwater resource and therefore its use, management and sustainability are closely related to the Sustainable Development Goals (SDGs). However, Land Use Land Cover (LULC) and climate change are among the factors impacting groundwater recharge. The use of land-use and climate data in conjunction with hydrological models are valuable tools for assessing these impacts on river basins. This systematic review aimed at assessing the integrated modeling approach for evaluating hydrological processes and groundwater recharge based on LULC and climate change. The analysis is based on 200 peer-reviewed articles indexed in Scopus, and the Web of Science. Continuous research and the development of context-specific groundwater recharge models are essential to increase the long-term viability of water resources in any basin. The long-term impacts of natural and anthropogenic drivers on river basin interactions require integrating knowledge and modeling capabilities across biophysical responses, environmental problems, policies, economics, social, and data."
"Monitoring land use and land cover change near a nuclear power plant construction site: Akkuyu case, Turkey",". The agricultural areas in the study area were changed into other LULC classes: 9.1% to artificial surfaces, 27.6% to barren lands, and 21.7% to forest. The rise in the area of artificial surfaces was especially noticeable within the 1 km buffer zone: construction activities converted 36.1% of agricultural fields, 54.1% of forests, and 23.2% of barren lands into artificial surfaces. The filling activities on the seashore resulted in a loss of water bodies of up to 26.5%. The study provides an overview of how the LULC classes have evolved on the construction site and in the region. In the end, the study discusses how the current land use preferences in the region contradict the issues and concerns mentioned in the existing body of literature."
"Land use and land cover change detection and prediction in Bhutan's high altitude city of Thimphu, using cellular automata and Markov chain","Rapid urbanization is changing landscapes often resulting in the degradation of ecosystem services and quality of urban life. Remote sensing and GIS tools can provide valuable information to deepen our understanding of the dynamics of these changes to better plan and build sustainable cities for the future. Using remote sensing data, socio-economic data, and field observations, we simulated spatiotemporal dynamics of land use and land cover changes in the city of Thimphu. Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050. The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground. On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%). Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes. These changes have fragmentated forest cover, increased soil/gully erosion, surface runoff, and storm induced floods of storm and sanitation drains, thereby impinging on the overall quality of life in the city. Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city. These findings beg for an urgent need to implement effective planning specially to protect the existing forest and water resources from further degradation."
"Detection of land use/land cover changes in a watershed: A case study of the Murredu watershed in Telangana state, India","Land-use change refers to a change in how a particular area of land is utilised or managed by humans. Land-cover change refers to a change in some continuous features of the land, such as vegetation type, soil conditions, and so on. For the purpose of identifying change-vulnerable areas and creating sustainable ecosystem services, mapping and quantifying the state of land use/land cover (LULC) changes and change-causing factors are crucial. The present research utilizes a geographic information system (GIS) and remote sensing (RS) techniques to categorise and identify changes in a Murredu watershed in Telangana state, India, between 1996 and 2019. Five major LULC categories (agricultural land, forest, barren land, built-up area, and waterbodies) from satellite images of 1996 to 2019 were mapped. The maximum likelihood approach was used to supervise the classification process, and high-resolution Google Earth Pro was used to evaluate the accuracy of the classified map. The accuracy of the mapping was evaluated using the error matrix and Kappa statistics. Overall classification accuracy for the classified image of 2019 was found to be 90 % with overall kappa statistics of 85.98%. From these findings, change detection analysis shows that the area used for agricultural land, barren land, forest, built-up areas, and waterbodies has increased by 5.17%, 3.39%, 0.84%, and 0.26%, respectively, between 1996 and 2019. The forest area has decreased by 9.67% at the same time. Therefore, this research anticipates that the findings might provide information to planners, land managers, and decision-makers for the sustainable management and development of the natural resource."
"This article has been accepted for inclusion in a future issue of this journal. Content is final as presented, with the exception of pagination","High spatial resolution (HSR) remote sensing images can reflect more subtle changes and more specific types of land use and land cover (LULC) due to the abundant spatial geometric information. In this article, a class-prior object-oriented conditional random field (COCRF) framework consisting of a binary change detection (CD) task and a multiclass CD task is proposed to fill the application gap. In the proposed framework, the class-prior knowledge is used to improve the construction of the unary potential in both the binary and multiclass CD tasks, to reduce the influence of spectral variability. The binary CD result provides a constraint to the multiclass CD result. As a result, both parts have effective interaction.
The class posterior probability images of two dates can be obtained automatically with the class-prior knowledge by sample migration. Furthermore, an object constraint described by the class dispersion within the objects is added to improve the smoothness in local objects, while the pairwise potential improves the smoothness of the whole area by using the eight-neighborhood spectral information of the center pixel. By integrating the above approaches, the problems of error accumulation and the manual intervention required in the traditional multiclass CD methods can be relieved. An adaptive parameter estimation strategy is also adopted in the proposed framework, to save the time required for manual parameter setting. The proposed COCRF framework was validated on two HSR remote sensing image data sets, where it achieved a better performance than the other state-of-the-art CD methods."
"An Analysis of Urban Land Use/Land Cover Changes in Blantyre City, Southern Malawi (1994-2018)","Rapid and unplanned urban growth has adverse environmental and social consequences. This is prominent in sub-Saharan Africa where the urbanisation rate is high and characterised by the proliferation of informal settlements. It is, therefore, crucial that urban land use/land cover (LULC) changes be investigated in order to enhance effective planning and sustainable growth. In this paper, the spatial and temporal LULC changes in Blantyre city were studied using the integration of remotely sensed Landsat imageries of 1994, 2007 and 2018, and a geographic information system (GIS). The supervised classification method using the support vector machine algorithm was applied to generate the LULC maps. The study also analysed the transition matrices derived from the classified map to identify prominent processes of changes for planning prioritisation. The results showed that the built-up class, which included urban structures such as residential, industrial, commercial and public installations, increased in the 24-year study period. On the contrary, bare land, which included vacant lands, open spaces with little or no vegetation, hilly clear-cut areas and other fallow land, declined over the study period. This was also the case with the vegetation class (i.e., forests, parks, permanent tree-covered areas and shrubs). The post-classification results revealed that the LULC changes during the second period (2007)(2008)(2009)(2010)(2011)(2012)(2013)(2014)(2015)(2016)(2017)(2018) were faster compared to the first period (1994)(1995)(1996)(1997)(1998)(1999)(2000)(2001)(2002)(2003)(2004)(2005)(2006)(2007). Furthermore, the results revealed that the increase in built-up areas systematically targeted the bare land and avoided the vegetated areas, and that the vegetated areas were systematically cleared to bare land during the study period . The findings of this study have revealed the pressure of human activities on the land and natural environment in Blantyre and provided the basis for sustainable urban planning and development in Blantyre city."
Reconstructing Three Decades of Land Use and Land Cover Changes in Brazilian Biomes with Landsat Archive and Earth Engine,"Brazil has a monitoring system to track annual forest conversion in the Amazon and most recently to monitor the Cerrado biome. However, there is still a gap of annual land use and land cover (LULC) information in all Brazilian biomes in the country. Existing countrywide efforts to map land use and land cover lack regularly updates and high spatial resolution time-series data to better understand historical land use and land cover dynamics, and the subsequent impacts in the country biomes. In this study, we described a novel approach and the results achieved by a multi-disciplinary network called MapBiomas to reconstruct annual land use and land cover information between 1985 and 2017 for Brazil, based on random forest applied to Landsat archive using Google Earth Engine. We mapped five major classes: forest, non-forest natural formation, farming, non-vegetated areas, and water. These classes were broken into two sub-classification levels leading to the most comprehensive and detailed mapping for the country at a 30 m pixel resolution. The average overall accuracy of the land use and land cover time-series, based on a stratified random sample of 75,000 pixel locations, was 89% ranging from 73 to 95% in the biomes. The 33 years of LULC change data series revealed that Brazil lost 71 Mha of natural vegetation, mostly to cattle ranching and agriculture activities. Pasture expanded by 46% from 1985 to 2017, and agriculture by 172%, mostly replacing old pasture fields. We also identified that 86 Mha of the converted native vegetation was undergoing some level of regrowth. Several applications of the MapBiomas dataset are underway, suggesting that reconstructing historical land use and land cover change maps is useful for advancing the science and to guide social, economic and environmental policy decision-making processes in Brazil."
Predicting changes in land use/land cover and seasonal land surface temperature using multi-temporal landsat images in the northwest region of Bangladesh,Configurations of LULC and seasonal LST change in the Northwest region of Bangladesh were analyzed. Built-up area expansion contributed to increased summer and winter LST by 0.55 C and 2.54 C per decade from 1999-2019. Temperature increases have resulted in a significant decline in agricultural productivity over the last 30 years. Summer and winter LST simulations indicate that more than 50 % and 13 % will likely be in >35 C by 2039. Prediction of LULC change and seasonal LST variation needs to be considered during urban development plans.
Environmental and Sustainability Indicators,"Changes in land use/land cover (LULC) are a global environmental concern that has a significant impact on sustainable land and water resource management and development as well as hydrological processes. The primary driving forces of LULC changes in developing countries are population pressure, demand for firewood collection and construction material, shortage of cultivated land, land tenure insecurity, and deforestation. Focusing on the Ethiopian Birr river watershed, the study investigates changes in LULC trends, extents, and magnitudes over the last 32 years using geospatial technologies such as Landsat images of 1986, 2001, and 2018. The supervised land use land cover classification technique was applied to classify the LULC classes using the maximum likelihood algorithm technique. Between 1986 and 2018, agricultural land increased significantly from 56.39% to 70.19%, while settlements increased from 0.73%) to 1.42%. On the other hand, bushlands, forest areas, and grasslands LULC classes in the study area decreased from 26.18% to 19.30%, 4.94%-1.92%, and 11.77%-7.16%, respectively. The findings suggest that integrated watershed management and land use planning should be concerned and implemented in the Birr River watershed."
"Analysis of Land Use/land Cover Changes and Prediction of Future Changes With Land Change Modeler: Case of Belek, Turkey","In the areas declared to be a tourism center, a rapid tourism-related development occurs depending on the investments in tourism, which causes a dramatic land use and land cover changes. Determining, monitoring, and modeling of land use and land cover changes are required in order to ensure the conservation-use balance and sustainability within such vulnerable areas that are under the development pressure. This study consists of four steps. In the rst step, the Landsat images dated 1985, 2000, and 2021 were classi ed using the maximum likelihood method and the land use and land cover of Belek Tourism Center located in Turkey were determined. The second step included the identi cation of areal and spatial changes between the land use and land cover classes for the periods between 1985 and 2000, 2000 and 2021, and 1985 and 2021.  In the third step, the land use and land cover changes in Belek Tourism Center for 2040 were modeled using the Land Change Modeler. Last step evaluated the relationship between the modeled spatial development pattern and the current planning decisions. According to the results obtained through a 36-year research, the rates of settlement, forest, and water body areas have increased by 11.91%, 13.67%, and 0.82%, respectively whereas the rates of barren land and agricultural areas have reduced by 22.25% and 4.15%, respectively. The land use map modeled for 2040 predicts the settlement areas to expand by 5.46% and the agricultural areas to shrink by 4.21% by comparison with 2021."
"Investigating land use land cover changes and their effects on land surface temperature and urban heat islands in Sharqiyah Governorate, Egypt","The Urban Heat Island (UHI) issue is a result of the undesirable effects of urban growth on the environment, such as temperature rises and landscape changes that cause environmental dangers. Thus, the purpose of this research is to investigate the effect of Land Use Land Cover (LULC) change on Land Surface Temperature (LST) and then study UHI in Sharqiyah from 2001 to 2022 using remote sensing data. This data was collected from the Landsat satellite and Moderate Resolution Imaging Spectroradiometer (MODIS) 11A Thermal sensors. A Mono-Window Algorithm was used on Landsat 8 and 9 data to estimate the LST. To determine the LST and UHI, the thermal band was utilized. LULC maps were created using the Support Vector Machine (SVM) classification technique. To evaluate various LULC indices in the Sharqiyah and find their correlation with LST, the spectral indices Normalized Difference Vegetation Index (NDVI), Normalized Difference Bare Land Index (NDBaI), and Normalized Difference Built-up Index (NDBI) were obtained from the processing of multispectral Landsat data. To check data sources, air temperature measurements for Sharqiyah were also acquired. The results show that urban expansion has increased in a noticeable trend. The built-up area increased by 18.9% during the research phase, and the region's mean LST increased within 3.98℃. The UHI threshold temperature increased by 4.27℃. This research is critical for Planning Engineers and environmental scientists to realize LULC variations effects on LST and to suggest suitable political steps to regulate urbanization in Sharqiyah Governorate."
Turkish Journal of Agriculture -Food Science and Technology,"This is study is based with the support of RS-GIS technology on the land use of Samsun Center, as well as the coastal districts of Ilkadım,Atakum,Bafra Plain, through the processing and interpretation of satellite images in the summer months of 2000,2010,2020. Spatial and temporal variability properties of LU/LC were determined using MLC algorithm, controlled classification approach. The predictive values of the LU/LC change that will occur in 2030, calculated with the MLP-ANN model based on Machine Learning algorithms and mapped with the QGIS 3.16 program. To determine the accuracy coefficient of the model, 2020 LU/LC simulation performed using the transition potential matrix of 2000 and 2010 LU/LC data. The results of simulation were compared the data of land use land cover with the 2020 to evaluate the accuracy of the simulation model. The model of MLP-ANN provided an accuracy of 72% based on the kappa fit index. According to MLP-ANN model 2030 results were an increase of 73.33 km² in built up areas, an increase of 56.89 km² in bare areas, and a decrease of 129.66 km² in green areas. It provided a reference basis for future Samsun urban to rural coastline LU planning and management and LU structure optimization."
"Global 10 m Land Use Land Cover Datasets: A Comparison of Dynamic World, World Cover and Esri Land Cover","The European Space Agency's Sentinel satellites have laid the foundation for global land use land cover (LULC) mapping with unprecedented detail at 10 m resolution. We present a cross-comparison and accuracy assessment of Google's Dynamic World (DW), ESA's World Cover (WC) and Esri's Land Cover (Esri) products for the first time in order to inform the adoption and application of these maps going forward. For the year 2020, the three global LULC maps show strong spatial correspondence (i.e., near-equal area estimates) for water, built area, trees and crop LULC classes. However, relative to one another, WC is biased towards over-estimating grass cover, Esri towards shrub and scrub cover and DW towards snow and ice. Using global ground truth data with a minimum mapping unit of 250 m 2 , we found that Esri had the highest overall accuracy (75%) compared to DW (72%) and WC (65%). Across all global maps, water was the most accurately mapped class (92%), followed by built area (83%), tree cover (81%) and crops (78%), particularly in biomes characterized by temperate and boreal forests. The classes with the lowest accuracies, particularly in the tundra biome, included shrub and scrub (47%), grass (34%), bare ground (57%) and flooded vegetation (53%). When using European ground truth data from LUCAS (Land Use/Cover Area Frame Survey) with a minimum mapping unit of <100 m 2 , we found that WC had the highest accuracy (71%) compared to DW (66%) and Esri (63%), highlighting the ability of WC to resolve landscape elements with more detail compared to DW and Esri. Although not analyzed in our study, we discuss the relative advantages of DW due to its frequent and near real-time data delivery of both categorical predictions and class probability scores. We recommend that the use of global LULC products should involve critical evaluation of their suitability with respect to the application purpose, such as aggregate changes in ecosystem accounting versus site-specific change detection in monitoring, considering trade-offs between thematic resolution, global versus. local accuracy, class-specific biases and whether change analysis is necessary. We also emphasize the importance of not estimating areas from pixel-counting alone but adopting best practices in design-based inference and area estimation that quantify uncertainty for a given study area."
