Unnamed: 0,id_segment,text_segment,relevance_label,relevance_type_norm,processed_text
31,1-s2.0-S0301479717300713-main_44,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",2,"DRIVERS, LULCC","In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the savanna"
37,1-s2.0-S0264837701000205-main_126,New settlements caused an initial decrease of the vegetation due to [[land use]] change (bushland to fields),2,"DRIVERS, LULCC",New settlements caused an initial decrease of the vegetation due to land use change (bushland to fields)
38,1-s2.0-S095937809800003X-main_192,"Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical [deforestation]",2,"DRIVERS, LULCC","Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical deforestation"
39,1-s2.0-S003442571730041X-main_18,"Recently, obtained a [deforestation] rate of 11% in the [grassland] areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso",2,"DRIVERS, LULCC","Recently, obtained a deforestation rate of 11% in the grassland areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso"
54,1-s2.0-S0140196322000143-main_174,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",2,"DRIVERS, LULCC, PRACTICES","However, conflicting hypotheses have been reported: on the one hand an expansion (into native savanna) and intensification (fertilizer) of cropland cultivation, and on the other hand agricultural land abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends"
61,1-s2.0-S0140196313000608-main_187,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune,2,"DRIVERS, PRACTICES",The decrease in rainfall has been associated with a concentration of the cultivation of the sandy soils on the dune
72,1-s2.0-S0168192311001122-main_62b,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune,2,"DRIVERS, PRACTICES",The decrease in rainfall has been associated with a concentration of the cultivation of the sandy soils on the dune
83,1-s2.0-S0169204617300270-main_294,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",2,LULCC,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded savanna and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded savanna and farmland in the period 1990-2010"
89,1-s2.0-S0301479717300713-main_20,"At the local scale, the size of [crop] and grazing lands increased at the expense of shrinking of [forest] cover with distinct variation in magnitude of change between villages",2,LULCC,"At the local scale, the size of crop and grazing lands increased at the expense of shrinking of forest cover with distinct variation in magnitude of change between villages"
94,1-s2.0-S095937809800003X-main_90a,"The decrease in woodland, [shrub] savannas, grass savannas and [water] body occurred mainly between 1984 and 2001, while [tree] savannas and gallery [forest] decreased mainly between 2001 and 2013",2,LULCC,"The decrease in woodland, shrub savannas, grass savannas and water body occurred mainly between 1984 and 2001, while tree savannas and gallery forest decreased mainly between 2001 and 2013"
98,1-s2.0-S0264837715302131-main_81,The main finding of this study is the loss of vegetation cover over a 29 year period which is the result of conversion for [agriculture],2,LULCC,The main finding of this study is the loss of vegetation cover over a 29 year period which is the result of conversion for agriculture
101,1-s2.0-S0308521X12000157-main_52,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",2,LULCC,"From 1984 to 2001, tree savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery forest, shrub savannas and water bodies decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively"
102,1-s2.0-S0301479717300713-main_914,"At regional scale, the annual rate of change in [forest] land, grazing land, gallery [forest] and cropland was À0.4, À0.9, À1.6 and 3.8%, respectively",2,LULCC,"At regional scale, the annual rate of change in forest land, grazing land, gallery forest and cropland was À0.4, À0.9, À1.6 and 3.8%, respectively"
104,1-s2.0-S0140196314000536-main_371,Most of the transformed [forest] converted to woodland (3.6%) and [tree] [savanna] (1.5%),2,LULCC,Most of the transformed forest converted to woodland (3.6%) and tree savanna (1.5%)
120,1-s2.0-S0006320709005400-main_118,"#text': 'While natural [forest] has declined across West Africa, plantations, often but not always of non-native species, have been established to help meet increased demand for timber, fuelwood and pulp",2,"LULCC, PRACTICES","#text: While natural forest has declined across West Africa, plantations, often but not always of non-native species, have been established to help meet increased demand for timber, fuelwood and pulp"
127,1-s2.0-S0168192311001122-main_96,"P11: (Interviewer: But if I\'m thinking of the Vea catchment, mainly here it\'s [rice].) Cause there is a valley",2,PRACTICES,"P11: (Interviewer: But if I\m thinking of the Vea catchment, mainly here it\s rice.) Cause there is a valley"
161,1-s2.0-S0301479717300713-main_131b,"According to it was assumed .'}, {'ref': {'@type': 'table', '@target': '#tab_0', '#text': '1'}, '#text': 'that only 25% of the non-cropped bush-grass-[savanna] is available as [fallow] in the [maize]-[fallow] rotation",2,PRACTICES,"According to it was assumed ., ref: 1, that only 25% of the non-cropped bush-grass-savanna is available as fallow in the maize-fallow rotation"
23,remotesensing-12-03817-v2_162,In the surroundings of the cities in the north of Nigeria for example in 2000 patches of grassland and shrubland were still visible whereas in 2015 these were converted to cropland Figure,2,LULCC,In the surroundings of the cities in the north of Nigeria for example in 2000 patches of grassland and shrubland were still visible whereas in 2015 these were converted to cropland Figure
25,010074873_166,In second hand the increase in shrubs The evergreen forest and forest cover mainly the south eastern and south western part of Volta basin for the years 1988 and 2002,2,LULC,In second hand the increase in shrubs The evergreen forest and forest cover mainly the south eastern and south western part of Volta basin for the years 1988 and 2002
36,remotesensing-07-04048-v2_73,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,2,LULCC,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%
37,s41598-024-52138-9_58,Large scale cropland was the third highest driver of forest loss in Africa 9% with the highest proportions by country found in Cape Verde 67% Gambia 53% Niger 50% Sudan 47% and Nigeria 44%,2,"DRIVERS, LULCC",Large scale cropland was the third highest driver of forest loss in Africa 9% with the highest proportions by country found in Cape Verde 67% Gambia 53% Niger 50% Sudan 47% and Nigeria 44%
79,1-s2.0-S0264837701000205-main_131,From 1955 to 1986 the area on the dune above Mare Yomboli was cleared and used for cultivation and fields on the pediplain were abandoned,2,"LULC, LULCC",From 1955 to 1986 the area on the dune above Mare Yomboli was cleared and used for cultivation and fields on the pediplain were abandoned
92,s10980-017-0553-4_46,The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic,2,"DRIVERS, LULCC",The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic
108,s10113-015-0891-1_304,With the exception of Eastern Africa area in forest declined in all regions with the most pronounced reduction in Northern Africa 40 %,2,LULCC,With the exception of Eastern Africa area in forest declined in all regions with the most pronounced reduction in Northern Africa 40 %
186,1-s2.0-S0341816222001990-main_236,Precipitation factors dominated the spatial distribution of desertification in the Sahel q value 0.9269,2,"DRIVERS, LULCC",Precipitation factors dominated the spatial distribution of desertification in the Sahel q value 0.9269
205,science.abm9267_210,The most prominent example of this is pasture expansion which is tightly linked to soy expansion and land speculation across Latin America,2,LULCC,The most prominent example of this is pasture expansion which is tightly linked to soy expansion and land speculation across Latin America
225,rudel-2013-the-national-determinants-of-deforestation-in-sub-saharan-africa_24,Finally five of the six Congo basin countries that contain almost all of the continent s humid forests have large extractive industries oil and mineral whose political economy may have had important indirect effects on forest cover,2,DRIVERS,Finally five of the six Congo basin countries that contain almost all of the continent s humid forests have large extractive industries oil and mineral whose political economy may have had important indirect effects on forest cover
237,1-s2.0-S2468227619307070-main_14,Human activities have degraded about 85% of Ghana s Guinea Forest Region,2,DRIVERS,Human activities have degraded about 85% of Ghana s Guinea Forest Region
241,IBRAHIMetal_HJ2014_175b,Actually present day cultivation cycles in southwestern Niger could be considered to consist of 10 years under millet followed by 5 years of fallow conditions,2,"LULCC, PRACTICES",Actually present day cultivation cycles in southwestern Niger could be considered to consist of 10 years under millet followed by 5 years of fallow conditions
243,Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_433,and Hausermann confirm that the expansion of water bodies we detected in the Tain District see Figure c2 of Ghana is due to a dam Bui dam constructed on Ghana s Black Volta for hydro power generation,2,"DRIVERS, LULCC",and Hausermann confirm that the expansion of water bodies we detected in the Tain District see Figure c2 of Ghana is due to a dam Bui dam constructed on Ghana s Black Volta for hydro power generation
245,Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_302,The annual rate i.e. 0.8% of water bodies loss per year was higher in 2000 2013 i.e. the postdrought era and recent period than in 1975 2000 which was 0.2% per year in the drought era and soon after the severe drought,2,LULCC,The annual rate i.e. 0.8% of water bodies loss per year was higher in 2000 2013 i.e. the postdrought era and recent period than in 1975 2000 which was 0.2% per year in the drought era and soon after the severe drought
251,1-s2.0-S2214581823000575-main_146,2020 The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,2,LULCC,2020 The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation
271,1-s2.0-S0341816222001990-main_164,During 2000 2010 the level of desertification has reduced whereas from 2010 to 2015 most areas have shifted towards an increase in desertification levels which likely driven by the 2012 drought in the Sahel,2,LULCC,During 2000 2010 the level of desertification has reduced whereas from 2010 to 2015 most areas have shifted towards an increase in desertification levels which likely driven by the 2012 drought in the Sahel
288,010074873_289,Nevertheless the shrubs cluster has increased over time within Volta basin and this could be attributed to the agroforestry practice in the basin,2,"LULCC, PRACTICES",Nevertheless the shrubs cluster has increased over time within Volta basin and this could be attributed to the agroforestry practice in the basin
307,1-s2.0-S2468227619307070-main_4,We observed deforestation patterns in the Ashanti region of Ghana from 1986 to 2015 using Landsat imagery to identify the main causes of deforestation,2,LULCC,We observed deforestation patterns in the Ashanti region of Ghana from 1986 to 2015 using Landsat imagery to identify the main causes of deforestation
321,010076607_252,The savanna cluster presents an increasing trend during 2002 2016 period probably due to agroforestry practice in the basin,2,"DRIVERS, LULCC",The savanna cluster presents an increasing trend during 2002 2016 period probably due to agroforestry practice in the basin
330,Kouassi et al. - 2021 - Assessing Land Use and Land Cover Change and Farme_121,The majority of other cash crops was converted to food crop fallow areas 1067.98 km 2,2,"LULC, LULCC",The majority of other cash crops was converted to food crop fallow areas 1067.98 km 2
370,Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_237,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013. ,2,LULCC,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013.
383,1-s2.0-S0264837701000205-main_64,The land use is dominated by cultivation however cultivation intensity varies significantly within the region from 10% to 74% according to,2,LULC,The land use is dominated by cultivation however cultivation intensity varies significantly within the region from 10% to 74% according to
392,1-s2.0-S003442571730041X-main_50,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,2,LULCC,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century
400,010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,2,LULCC,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods
412,1-s2.0-S0140196313000608-main_165,In the Peanut Basin West Central eco region in Senegal cultivated area peaked to 80% of the land in the mid 1980s when farmers still benefited from agricultural subsidies but this trend then reversed itself declining to about 67% of the land under cultivation in 2000,2,"LULC, LULCC",In the Peanut Basin West Central eco region in Senegal cultivated area peaked to 80% of the land in the mid 1980s when farmers still benefited from agricultural subsidies but this trend then reversed itself declining to about 67% of the land under cultivation in 2000
430,s43247-020-00053-y_93,In West Africa the land cover category settlement made up 0.3% and 0.7% of the total study region in 1975 and 2013 respectively,2,LULCC,In West Africa the land cover category settlement made up 0.3% and 0.7% of the total study region in 1975 and 2013 respectively
