sentence_id,sentence,source,source_type,relationship,target,target_type
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,AFFECTS,increased,CHANGE
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",40%,PERCENT,FROM_TO,51.30%,PERCENT
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",47%,PERCENT,FROM_TO,64%,PERCENT
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,fallows,LULC
2,"Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,CAUSES,increased,CHANGE
3,Agriculture in this region has been dominated over the past three decades by cotton production,Agriculture,PROCESS,AFFECTS,cotton,LULC
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,OCCURS_IN,2002,DATE
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,AFFECTS,Forest land,LULC
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",Forest land,LULC,DECREASES_BY,half,PERCENT
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,farmland,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,LULC,CHANGE_TO,degraded savanna,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,AFFECTS,natural vegetation,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,1975 to 1990,TIME_PERIODS
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_DURING,1990-2010,TIME_PERIODS
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,converted,CHANGE
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,converted,CHANGE
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,LULC,DECREASES_BY,5%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,9%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,LULC,DECREASES_BY,17%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,LULC,INCREASES_BY,9%,PERCENT
6,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening of the fallow period,PROCESS,CAUSES,decrease,CHANGE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension of cultivated and cleared fields,PROCESS,CAUSES,decrease,CHANGE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing by cattle,PROCESS,CAUSES,decrease,CHANGE
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,herbaceous standing crop,LULC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,LOCATED_IN,Rwandan,LOC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",irrigated,PROCESS,AFFECTS,cropland,LULC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",10%,PERCENT,MEASURES,cropland,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,CAUSES,bare soil dominates,CHANGE
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil dominates,CHANGE,AFFECTS,cropped fields,LULC
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table)",grazing land,LULC,OCCURS_IN,1986,DATE
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table)",croplands,LULC,OCCURS_IN,1986,DATE
11,"In 1990, woodland and tree savanna were still the dominant land cover types",woodland,LULC,OCCURS_IN,1990,DATE
11,"In 1990, woodland and tree savanna were still the dominant land cover types",tree savanna,LULC,OCCURS_IN,1990,DATE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",increasing pressure on wood resources,PROCESS,CAUSES,woody vegetation decrease,CHANGE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",woody vegetation decrease,CHANGE,LOCATED_IN,rangelands,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",demand for fuel and construction wood,PROCESS,CAUSES,increasing pressure on wood resources,PROCESS
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",rapidly growing urban population,PROCESS,CAUSES,demand for fuel and construction wood,PROCESS
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",rapidly growing urban population,PROCESS,LOCATED_IN,Niamey,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,AFFECTS,cultivated land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",shortening of fallow cycles,PROCESS,AFFECTS,soils,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",gained in size,CHANGE,AFFECTS,fallow land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS,CAUSES,gained in size,CHANGE
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC,LOCATED_IN,Saloum Senegal,LOC
15,Irrigation from rivers is regarded as minor driver of LULCC,Irrigation,PROCESS,CAUSES,LULCC,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",tree growth,PROCESS,CAUSES,increase,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,PROCESS,CAUSES,increase,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase,CHANGE,AFFECTS,woody cover,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,Rangelands,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,fallows,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,cropped fields,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",0.8,QUANTITY,MEASURES,Ratios of fallow to cultivated area,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios of fallow to cultivated area,LULC,LOCATED_IN,Woure,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",1.6,QUANTITY,MEASURES,Ratios of fallow to cultivated area,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios of fallow to cultivated area,LULC,LOCATED_IN,Silgey,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios of fallow to cultivated area,LULC,LOCATED_IN,Kolbila,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",2,QUANTITY,MEASURES,Ratios of fallow to cultivated area,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios of fallow to cultivated area,LULC,LOCATED_IN,Koho,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",5,QUANTITY,MEASURES,Ratios of fallow to cultivated area,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios of fallow to cultivated area,LULC,LOCATED_IN,Sayero,LOC
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation,PROCESS,AFFECTS,soil,LULC
