,id_segment,text_segment,relevance_label,relevance_type_norm
20,1-s2.0-S003442571730041X-main_24,"As current classification schemes of the [land cover] class 'cropland' encompass fallowed fields in both time and space for the Sahel, there is a need to determine the impact of [fallow] fields on the NDVI signal and related trends.""}, {'ref': [{'@type': 'bibr', '@target': '#b55', '#text': '(Vintrou et al., 2012)'}, {'@type': 'bibr', '@target': '#b38', '#text': '(Lambert et al., 2016)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Alcantara et al., 2012)'}, {'@type': 'bibr', '#text': '(Brandt et al., 2016)'}, {'@type': 'bibr', '@target': '#b15', '#text': '(Diouf et al., 2015)'}], '#text': 'From the Earth Observation (EO) perspective, a successful differentiation between cropped and fallowed fields is required to improve our understanding of the mechanisms and drivers of observed NDVI trends in relation to changes in the spatio-temporal patterns of [crop]-[fallow] rotation due to cropping expansion/abandonment",0,
21,1-s2.0-S0264837715302131-main_103,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",2,LULCC
22,1-s2.0-S003442571730041X-main_4,"At present, no studies have considered the importance of the different [seasonal] NDVI signals of cropped and fallowed fields when interpreting NDVI trends, as both field types are commonly merged into a single 'cropland' class",0,
23,1-s2.0-S0169204617300270-main_139,"Based on the consistency of the results of the three methods, we assigned confidence levels (Table and).'}, {'ref': {'@type': 'bibr', '@target': '#b24', '#text': '(Chin, 2002)'}, '#text': '[Urban] sprawl is difficult to detect without comparing spatial [land use] plans with existing [urban] housing",0,
24,1-s2.0-S0168192311001122-main_97,"Based on this assumption, each of the 64 sub-basins was classified according to its average [fallow]-cropland ratio in the three scenarios",0,
25,1-s2.0-S0140196310000893-main_63,"Between brackets: absolute contribution of fire type to respectively the first and second axis: [land cover] with an absolute contribution !10% are underlined and in italic respectively for axis 1 and 2.'}, 'classified Landsat data: sampling points were stratified according to the classified images, but the sampling was subjective inside each class",0,
26,1-s2.0-S0308521X12000157-main_281b,Can institutional contexts be changed? Neither the outcomes nor the processes of change are predetermined in the CoS-SIS Programme,0,
27,1-s2.0-S095937809800003X-main_52,Climatic variations influence farmers' immediate as well as long-term choice of [cultivation] patterns,0,
28,1-s2.0-S0140196310000893-main_115,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",2,"DRIVERS, LULCC, PRACTICES"
29,1-s2.0-S0169204617300270-main_221,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",1,"DRIVERS, LULCC"
30,1-s2.0-S0264837715302131-main_61,"Cover loss refers to [land cover] that was subjected to a change with a concomitant loss in a regressive manner (for example, from [forest] to [savanna] or from woodland to farmland)",0,
31,1-s2.0-S0304387816300670-main_363,Decreased moisture is then likely to decrease local [city] income,0,
32,1-s2.0-S0168192311001122-main_99,"Depending on the average [fallow]-cropland ratio, a sub-basin is classified into one of the seven classes (Table ), where [fallow]-cropland ratio and hence [fallow] availability is decreasing from class 1 to 7.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': 'Simulation of [crop] yields'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Williams, 1995)'}, {'@type': 'bibr', '@target': '#b0', '#text': '(Bryant et al., 1992;'}, {'@type': 'bibr', '@target': '#b46', '#text': 'Parsons et al., 1995)'}, {'@type': 'bibr', '#text': '(Gaiser et al., 2010a)'}], '#text': 'EPIC is a field-scale model that is designed to simulate drainage areas which are characterized by homogeneous weather, soil, landscape, [crop] rotation, and management system parameters",0,
33,1-s2.0-S0168192311001122-main_64,"described three [land use] scenarios assuming increasing population density, but different reduction in population growth rates",0,
34,1-s2.0-S030438781000043X-mainext_317,"describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",2,"DRIVERS, PRACTICES"
35,1-s2.0-S0140196313000608-main_62,"Despite the often mentioned ""cash [crop] revolution"", the so-called ""Peanut Basin"" of Senegal and the ""New [cotton] basin"" in Mali provide telling illustrations of partial intensification paths and farmers\' possible soil mining",0,
36,1-s2.0-S0140196313000608-main_121,"Drivers of change in [crop] land included demographic, economic, agro-technical, institutional, and climatic drivers (Table ).'}, {'ref': {'@type': 'table', '#text': '2'}, '#text': 'Some of the drivers initially identified were never mentioned in the case studies and were therefore removed from the analysis",0,
37,1-s2.0-S0140196313000608-main_121,"Drivers of change in [crop] land.', 'graphic': {'@coords': '8,108.00,66.73,369.83,358.41', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_3', 'head': 'Fig",0,
38,1-s2.0-S0301479717300713-main_45,"Due to the low capacities for food provision, especially in the dry season, up to 100,000 people (in 2000; migrate to southern Ghana in the dry season to find work.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Mixed-method approach and confidence reporting'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b75', '#text': '(Rindfuss et al., 2004)'}, {'@type': 'bibr', '@target': '#b85', '#text': '(Tashakkori and Teddlie, 2003)'}, {'@type': 'table', '#text': '1a'}, {'@type': 'table', '#text': '1b'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2'}], '#text': 'Many [LULCC] analyses originating from remote sensing add social information through quantitative data",0,
39,1-s2.0-S003442571730041X-main_41,"Due to the weeding practice, [bare soil] dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",2,PRACTICES
40,1-s2.0-S0301479717300713-main_978,"Error 0.3217 À0.000001553 1.97 À0.4507 1Q Estimate 6.76E-01 À1.18E-05'}]}, {'cell': ['À0.4079', 'À0.2351', {'@cols': '3', '#text': 'À0.1429'}, '0.0706', '3.2215', {'@cols': '2', '#text': 'Avg Elevation Population Change'}, {'@cols': '2', '#text': '0.0003551 8.23E-04'}, '0.001339 0.0005282', '0.265 1.558', '0.79097 0.12009']}, {'cell': [None, None, None, None, None, None, None, {'@cols': '4', '#text': 'Distance to Settlements À0.00006281'}, '0.00001909 À3.291 0.00109 **']}, {'cell': [None, None, None, None, None, None, None, 'Distance to [Roads]', None, {'@cols': '2', '#text': 'À2.61E-05'}, '0.00001566 À1.663 0.09715.']}]}, 'note': {'p': ""Signif",0,
41,1-s2.0-S0301479717300713-main_23,"Examples for the eminent relevance of such climatic parameters for [LULCC] in marginalised rural regions can be found world-wide, but are most prominent in the Global South , including countries like Ghana in West Africa.'}, {'ref': [{'@type': 'bibr', '@target': '#b8', '#text': '(Antwi-Agyei et al., 2016;'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al., 2010;'}, {'@type': 'bibr', '@target': '#b73', '#text': 'Reenberg, 2001;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Tschakert, 2007)'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al",0,
42,1-s2.0-S030438781000043X-mainext_780,"Fenske / Journal of Development Economics 95 (2011) 137-156'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@n': '3', '@xml:id': 'foot_2', 'p': 'The appropriate counterfactual question is not whether the extent of cocoa [cultivation] would have been larger with more secure tenure, but rather whether the [crop] would have spread faster",0,
43,1-s2.0-S0167880913003502-main_111,"For example, materials with high C:N, characteristic of cereal [crop] residues, reduce the available N in the soil due to N immobilization and could result in lower [crop] production, while residues with high N contents and low C:N ratios, as is the case with many legume residues and legume cover crops, increase soil N availability and possibly [crop] production .'}, {'ref': [{'@type': 'bibr', '@target': '#b42', '#text': '(Erenstein, 2002)'}, {'@type': 'bibr', '@target': '#b103', '#text': '(Magnan et al., 2012;'}, {'@type': 'bibr', '@target': '#b172', '#text': 'Valbuena et al., 2012;'}, {'@type': 'bibr', '@target': '#b169', '#text': 'Tittonel et al., 2007)'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Ghimire et al., 2012)'}, {'@type': 'bibr', '@target': '#b56', '#text': '(Giller et al., 2009)'}], '#text': 'The amount of [crop] residue retained after harvest, either on the soil surface or incorporated, is a key component to CA performance",0,
44,1-s2.0-S0169204617300270-main_92,"For example, Poku-Boansi & Amoako (2015) compared spatial inequalities of cities within Ghana, including Takoradi and Bolgatanga, using statistics (secondary data) without consulting experts or comparing [[urban] development] with the aid of remote sensing data.'}, 'The specific research questions are:', '• What are the patterns of peri-[[urban] development] and differences between northern and southern Ghana, using Bolgatanga as an example for the north and Takoradi as an example for the south? • What are the determinants of [[urban] development] for both study areas? • Which conclusions can be drawn for [land use] planning? What are the current opportunities and challenges of [land use] planning and how can they be linked to [urban] sprawl? • What are the (dis-)advantages of a mixed method approach to analyse peri-[urban] [land use] patterns?', {'ref': [{'@type': 'bibr', '@target': '#b11', '#text': 'Beauchemin & Bocquier, 2004;'}, {'@type': 'bibr', '@target': '#b40', '#text': 'Gough & Yankson, 2000;'}, {'@type': 'bibr', '@target': '#b69', '#text': 'Oteng-Ababio & Agyemang, 2012)'}, {'@type': 'bibr', '@target': '#b22', '#text': '(Campbell, Lusch, Smucker, & Wangui, 2005;'}, {'@type': 'bibr', '@target': '#b56', '#text': 'Liverman & Cuesta, 2009;'}, {'@type': 'bibr', '@target': '#b78', '#text': 'Rindfuss & Stern, 1998)'}, {'@type': 'bibr', '@target': '#b23', '#text': '(Cardille & Foley, 2003;'}, {'@type': 'bibr', '@target': '#b29', '#text': 'Doan & Oduro, 2012;'}, {'@type': 'bibr', '@target': '#b60', '#text': 'Martinuzzi, Gould, & Gonzalez, 2007)'}, {'@type': 'bibr', '@target': '#b39', '#text': '(Gobin, Campling, Deckers, & Feyen, 2001;'}, {'@type': 'bibr', '@target': '#b42', '#text': 'Haregeweyn, Fikadu, Tsunekawa, Tsubo, & Meshesha, 2012;'}, {'@type': 'bibr', '#text': 'Rindfuss et al., 2003a'}, {'@type': 'bibr', '#text': 'Rindfuss et al., , 2003b))'}], '#text': 'The analysis of the dynamics of [urban] and peri-[urban] areas from a social science perspective introduces reasoning of human behaviour and provides a background of historical, cultural and social development (e.g",0,
45,1-s2.0-S0169204617300270-main_281,"For the Bolgatanga area, PPPs were not mentioned by the experts and were proposed by literature only for agricultural areas.'}, 'Another opportunity for the Takoradi area is the building of multi-storey structures for residences in order to efficiently utilise the limited space in the [city] centre (reflecting medium confidence)",0,
46,1-s2.0-S0301479717300713-main_223,"From the expert interviews, we learned that migration is a driver and a consequence of [LULCC] and population pressure to which the driver ""labour shortage"" is related",1,DRIVERS
47,1-s2.0-S0169204617300270-main_321,"Furthermore, by developing datasets with the requisite data structures, we could use additional landscape indices to reveal further information about the spatial arrangement and heterogeneity of [[urban] development], and to further discriminate levels of landscape fragmentation and/or aggregation over time.', {'ref': [{'@type': 'bibr', '@target': '#b47', '#text': 'Van Daele, Staes, & Schneiders (2015)'}, {'@type': 'bibr', '#text': 'Mastrandrea, Mach, Plattner, Edenhofe, &'}, {'@type': 'bibr', '@target': '#b61', '#text': 'Stocker (2011) and'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Jacobs, Burkhard, Van Daele, Staes, &'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Schneiders (2015)'}], '#text': 'We adapted the confidence level approach of Jacobs, Burkhard, to a general assessment of findings from a mixed-method approach",0,
48,1-s2.0-S0301479717300713-main_912,"He has no power, beyond his salary -that\'s it … P5 (no driver): If government earmark this land as a [forest] reserve, nobody would go in",0,
49,1-s2.0-S0140196310000893-main_39,However agricultural fires should be distinguished from the other fires that are wildland fires and predominantly grass fires ([savanna] fires),0,
50,1-s2.0-S0304387816300670-main_219,However these factors ( ) X ij could also affect the impact of climate changes on [urban] share growth rates,0,
51,1-s2.0-S0301479717300713-main_236,"However, it also becomes evident that the majority of parameters with low or very low confidence potentially contribute to food and livelihood security, for example, improved [crop] varieties, agricultural programmes, irrigation, fertilizer subsidies, and credits",0,
52,1-s2.0-S0301479717300713-main_226a,"However, some authors from the literature review showed a diverging picture of poverty as a driver of [LULCC].'}, {'ref': [{'@type': 'bibr', '@target': '#b8', '#text': '(Antwi-Agyei et al., 2016;'}, {'@type': 'bibr', '@target': '#b63', '#text': 'Mertz et al., 2010;'}, {'@type': 'bibr', '@target': '#b67', '#text': 'Nielsen and Reenberg, 2010;'}, {'@type': 'bibr', '@target': '#b68', '#text': 'Nyantakyi-Frimpong and Bezner-Kerr, 2015)'}, {'@type': 'bibr', '@target': '#b52',",0,
53,1-s2.0-S0140196313000608-main_137,"However, the same approach may apply to understand the different combinations of outcomes that are generated by the different causal conditions ([crop] land increase, decrease, or stability)",0,
54,1-s2.0-S0301479717300713-main_881,I doubt that this is for [agricultural land],0,
55,1-s2.0-S030438781000043X-mainext_43,"I find that land tenure affects incentives to leave land [fallow] and to plant trees, but has a weaker impact on labor and input use",0,
56,1-s2.0-S0304387816300670-main_138,"If the [city] has a tiny or non-existent traded manufacturing sector so that +'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_13', 'head': '30', 'label': None, 'figDesc':",0,
57,1-s2.0-S0304387816300670-main_558,"If the [city] has a tradable manufacturing sector that is not too small relative to its local service sector so that ε η', ', a decline in moisture will lead to an increase in [urban] population and total [city] income",0,
58,1-s2.0-S016788090800131X-main_82,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use] types while the size of croplands was substantially high after 16 years (Table )",2,LULCC
59,1-s2.0-S0264837715302131-main_74,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types",2,LULC
60,1-s2.0-S0168192311001122-main_159,In addition to the decrease in [maize] yield the interannual variability is increasing in the yield estimations based on REMO and SMHIRCA scenarios,0,
61,1-s2.0-S0308521X12000157-main_281a,"In Benin, the choice of [cotton] farmers to switch to subsidized food crops a few years ago motivated institutional reforms to create more realistic opportunities for [cotton] growers, a natural experiment that we document in detail .""},",0,
62,1-s2.0-S003442571730041X-main_4,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",2,PRACTICES
63,1-s2.0-S030438781000043X-mainext_563a,"In his study of the ICRISAT villages, he argues that, except in Sayero, all ""have passed or are approaching the stage at which reliance on long bush-[fallow] rotation to maintain soil fertility is no longer feasible.""",1,PRACTICES
64,1-s2.0-S0140196313000608-main_75,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use] conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",1,DRIVERS
65,1-s2.0-S0140196322000143-main_273,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing [urban] population of Niamey only 80 km away",2,"DRIVERS, LULCC"
66,1-s2.0-S0140196313000608-main_184,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",2,PRACTICES
67,1-s2.0-S0169204617300270-main_293,"In the case of Ghana, that statement might be true for Kumasi as expanding [city] in the hinterlands, but not for Bolgatanga",1,LULCC
68,1-s2.0-S0140196313000608-main_9,"In the course of the last three to four decades a range of environmental policies has been concerned with sustainable [land use] and natural resource management systems, e.g",0,
69,1-s2.0-S0301479717300713-main_147,"In the past, missing or low fertilizer input was compensated by the [crop]-[fallow] practice, but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent [cultivation] of the same crops",1,"DRIVERS, PRACTICES"
70,1-s2.0-S0168192311001122-main_130,"In the scenario run, an EPIC input database file for each of the 1462 LUSAC units was prepared, containing information about the nearest weather station, the predominant soil type and the [crop] management including proportion of the [fallow]-[crop] rotations",0,
71,1-s2.0-S0301479717300713-main_99,"In total, 12 documents were identified as relevant in the context of [LULCC] in the UER (Table )",0,
72,1-s2.0-S016788090800131X-main_77,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",1,LULCC
73,1-s2.0-S0169204617300270-main_289,Ineffective [land use] planning can contribute to an increase in land fragmentation resulting in loss of land for food provision,1,LULCC
74,1-s2.0-S235198941500102X-main_200,"Insights into some of these causes were highlighted in this study.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.', '#text': 'Conclusion and implications for management'}, 'p': ""This study allows understanding causes of land degradation and [deforestation] (LDD) in the TWRB",0,
75,1-s2.0-S0167880913003502-main_23,"Intensification can disrupt many of the regulating and supporting ES, including nutrient cycling, climate regulation, regulation of [water] quality and quantity, pollination services, and pest control (Fig",0,
76,1-s2.0-S0301479717300713-main_227,Interviews and literature review showed that biophysical factors as drivers of [LULCC] were frequently mentioned in relation to anthropogenic drivers,1,DRIVERS
77,1-s2.0-S0301479717300713-main_134,Irrigation from rivers is regarded as minor driver of [LULCC],2,DRIVERS
78,1-s2.0-S0304387816300670-main_669,is the number of local intermediate input producers a [city] can support,0,
79,1-s2.0-S235198941500102X-main_122,It is the most common approach used for monitoring [land cover] changes since it provides more useful information on the initial and final [land cover] types in a complete matrix of change direction,0,
80,1-s2.0-S0168192311001122-main_23,It is well known that the availability of [fallow] land and hence the duration of [fallow] periods decrease with increasing population density in rural areas,1,"DRIVERS, PRACTICES"
