SENTENCE_ID,TEXT_SEGMENT,SOURCE,RELATION,TARGET
1-s2.0-S0301479717300713-main.pdf.tei_139,"P9: We know that urbanisation is coming, it's growing",urbanisation,INCREASE,null
1-s2.0-S0006320709005400-main.pdf.tei_109,"The tropical forest zone in West Africa has experienced centuries of human modification, leading to a substantial decline in forest cover and loss of forest biodiversity",forest cover,DECREASE,null
1-s2.0-S016788090800131X-main.pdf.tei_34,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",croplands,INCREASE,null
1-s2.0-S0169204617300270-main.pdf.tei_132,"In the case of Ghana, that statement might be true for Kumasi as expanding city in the hinterlands, but not for Bolgatanga",city,INCREASE,null
1-s2.0-S0303243414001718-main.pdf.tei_42,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and shrubs",trees,DECREASE,null
1-s2.0-S0303243414001718-main.pdf.tei_42,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and shrubs",shrubs,DECREASE,null
1-s2.0-S016788090800131X-main.pdf.tei_30,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",Forest land,DECREASES_BY,nearly by half
1-s2.0-S0169204617300270-main.pdf.tei_88,"These change rates together with the decreasing average SU size (Table ) indicate that urban expansion was mainly based on smaller SUs, thus indicating informal urban sprawl.",urban,INCREASE,null
1-s2.0-S0140196314000536-main.pdf.tei_53,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and shrubs have become rare or disappeared (Fig",natural vegetation,DECREASE,null
1-s2.0-S0140196314000536-main.pdf.tei_53,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and shrubs have become rare or disappeared (Fig",trees,DECREASE,null
1-s2.0-S0140196314000536-main.pdf.tei_53,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and shrubs have become rare or disappeared (Fig",shrubs,DECREASE,null
1-s2.0-S003442571730041X-main.pdf.tei_9,"Several local scale studies showed a general increase in cropped areas since the 1950s and in recent years, a few studies have indicated that cropland has a higher annual NDVI than savanna in Sahelian areas, supporting a possible link between cropland expansion/ cropping intensification and the observed positive trends in NDVI ",cropped areas,INCREASE,null
1-s2.0-S003442571730041X-main.pdf.tei_9,"Several local scale studies showed a general increase in cropped areas since the 1950s and in recent years, a few studies have indicated that cropland has a higher annual NDVI than savanna in Sahelian areas, supporting a possible link between cropland expansion/ cropping intensification and the observed positive trends in NDVI ",cropland,INCREASE,null
1-s2.0-S0140196313000608-main.pdf.tei_80,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed cultivation that farmers abandoned their crops in favour of other economic activities",crops,DECREASE,null
,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",woody vegetation cover,DECREASE,null
,"After the droughts in the 1970s and 1980s, the observed loss of woody vegetation cover was often considered as irreversible desertification and large parts of the Sahel were designated as degraded land (e.g",Sahel,CHANGE_TO,degraded land
1-s2.0-S016788090800131X-main.pdf.tei_31,"In Yale ´, the size of crop and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the forest land and the gallery forests declined by nearly 50% (Table and Fig",crop lands,INCREASES_BY,9%
1-s2.0-S016788090800131X-main.pdf.tei_31,"In Yale ´, the size of crop and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the forest land and the gallery forests declined by nearly 50% (Table and Fig",grazing lands,INCREASES_BY,18%
1-s2.0-S016788090800131X-main.pdf.tei_31,"In Yale ´, the size of crop and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the forest land and the gallery forests declined by nearly 50% (Table and Fig",forest land,DECREASES_BY,nearly 50%
1-s2.0-S016788090800131X-main.pdf.tei_31,"In Yale ´, the size of crop and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the forest land and the gallery forests declined by nearly 50% (Table and Fig",gallery forests,DECREASES_BY,nearly 50%
1-s2.0-S0140196322000143-main.pdf.tei_89,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",woody vegetation,DECREASE,null
1-s2.0-S0140196310000893-main.pdf.tei_39,"Conversely the decrease in the herbaceous standing crop due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas ",herbaceous standing crop,DECREASE,null
1-s2.0-S0140196310000893-main.pdf.tei_39,"Conversely the decrease in the herbaceous standing crop due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas ",cultivated fields,INCREASE,null
1-s2.0-S0140196310000893-main.pdf.tei_39,"Conversely the decrease in the herbaceous standing crop due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas ",cleared fields,INCREASE,null
1-s2.0-S0264837715302131-main.pdf.tei_104,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,CHANGE_TO,farmland
1-s2.0-S0264837715302131-main.pdf.tei_104,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",natural vegetation,CHANGE_TO,degraded savanna
remotesensing-12-03817-v2_162,In the surroundings of the cities in the north of Nigeria for example in 2000 patches of grassland and shrubland were still visible whereas in 2015 these were converted to cropland Figure,grassland,CHANGE_TO,cropland
remotesensing-12-03817-v2_162,In the surroundings of the cities in the north of Nigeria for example in 2000 patches of grassland and shrubland were still visible whereas in 2015 these were converted to cropland Figure,shrubland,CHANGE_TO,cropland
remotesensing-07-04048-v2_73,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,savanna,DECREASES_BY,4%
remotesensing-07-04048-v2_73,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,cropland,INCREASES_BY,4%
s10980-017-0553-4_46,The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic,original forest cover,DECREASES_BY,over 80%
s10113-015-0891-1_304,With the exception of Eastern Africa area in forest declined in all regions with the most pronounced reduction in Northern Africa 40 %,area in forest,DECREASE,null
s10113-015-0891-1_304,With the exception of Eastern Africa area in forest declined in all regions with the most pronounced reduction in Northern Africa 40 %,forest,DECREASES_BY,40%
science.abm9267_210,The most prominent example of this is pasture expansion which is tightly linked to soy expansion and land speculation across Latin America,pasture,INCREASE,null
science.abm9267_210,The most prominent example of this is pasture expansion which is tightly linked to soy expansion and land speculation across Latin America,soy,INCREASE,null
Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_302,The annual rate i.e. 0.8% of water bodies loss per year was higher in 2000 2013 i.e. the postdrought era and recent period than in 1975 2000 which was 0.2% per year in the drought era and soon after the severe drought,water bodies,DECREASES_BY,0.8% per year
Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_302,The annual rate i.e. 0.8% of water bodies loss per year was higher in 2000 2013 i.e. the postdrought era and recent period than in 1975 2000 which was 0.2% per year in the drought era and soon after the severe drought,water bodies,DECREASES_BY,0.2% per year
1-s2.0-S2214581823000575-main_146,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,water bodies,CHANGE_TO,cropland
1-s2.0-S2214581823000575-main_146,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,wetland,CHANGE_TO,cropland
1-s2.0-S2214581823000575-main_146,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,water bodies,CHANGE_TO,other vegetation
1-s2.0-S2214581823000575-main_146,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,urban area,INCREASE,null
1-s2.0-S2214581823000575-main_146,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,other vegetation,DECREASE,null
010074873_289,Nevertheless the shrubs cluster has increased over time within Volta basin and this could be attributed to the agroforestry practice in the basin,shrubs cluster,INCREASE,null
010076607_252,The savanna cluster presents an increasing trend during 2002 2016 period probably due to agroforestry practice in the basin,savanna cluster,INCREASE,null
Kouassi et al. - 2021 - Assessing Land Use and Land Cover Change and Farme_121,The majority of other cash crops was converted to food crop fallow areas 1067.98 km 2,other cash crops,CHANGE_TO,food crop fallow areas
Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_237,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013.,open water bodies,INCREASE,null
Asenso Barnieh et al. - 2020 - Mapping Land Use Land Cover Transitions at Differe_237,In contrast relative net gain in open water bodies was observed in the humid region during the period of 1975 2000 with a slight loss in 2000 2013.,open water bodies,DECREASE,null
1-s2.0-S003442571730041X-main_50,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,Sahelian savanna,CHANGE_TO,largely eroded agricultural agroforestry parkland
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,built up,INCREASE,null
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,agricultural land,INCREASE,null
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,water bodies,INCREASE,null
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,forest,DECREASE,null
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,savanna,DECREASE,null
010074873_180b,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,herbaceous savanna,DECREASE,null
1-s2.0-S0140196313000608-main_165,In the Peanut Basin West Central eco region in Senegal cultivated area peaked to 80% of the land in the mid 1980s when farmers still benefited from agricultural subsidies but this trend then reversed itself declining to about 67% of the land under cultivation in 2000,cultivated area,INCREASES_BY,80% of the land
1-s2.0-S0140196313000608-main_165,In the Peanut Basin West Central eco region in Senegal cultivated area peaked to 80% of the land in the mid 1980s when farmers still benefited from agricultural subsidies but this trend then reversed itself declining to about 67% of the land under cultivation in 2000,cultivated area,DECREASES_BY,to about 67% of the land
