article_id,lulc_sentence
Article_3,"The most underrepresented biomes regarding land area are deserts and xeric shrublands, tundra, and boreal forests."
Article_4,"(2) The major LULC types in the study area were grassland and forest, and their area accounted for 50% and 25%, respectively."
Article_4,"During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees."
Article_4,"(3) Elevation and population density were the major driving factors of LULC changes, and economic development has also significantly affected LULC."
Article_4,"2020, 12, x 8 of 18 MNDWI, and NDVI followed, and they are more important for the identification of water body and vegetation."
Article_4,"From 2000 to 2009, in general, grassland and wetlands decreased, and farmland, forest land, and construction land expanded (Figures grassland and wetlands decreased, and farmland, forest land, and construction land expanded (Figures Similarly, from 2009 to 2018, the areas of farmland and grassland continued to decrease, while forest land, wetland, and unused land expanded (Figures Similarly, from 2009 to 2018, the areas of farmland and grassland continued to decrease, while forest land, wetland, and unused land expanded (Figures Comparing the spatial-temporal changes in LULC between 2000-2009 and 2009-2018, we found that the farmland area increased first and then decreased, but the wetland area followed the opposite trend."
Article_4,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased."
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage."
Article_4,"2020, 12, x 11 of 18 Comparing the spatial-temporal changes in LULC between 2000-2009 and 2009-2018, we found that the farmland area increased first and then decreased, but the wetland area followed the opposite trend."
Article_4,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased."
Article_4,"The water body area did not change much, and the area of unused land also increased, which was mainly caused by grassland and water body shrinkage."
Article_4,"Our results showed that from 2000 to 2018, population density explained much of the LULC changes."
Article_4,"Our results demonstrated that from 2000 to 2018, Gannan Prefecture was dominated by grassland, followed by forest land and farmland."
Article_4,"Grasslands and wetlands gradually degraded from 2000 to 2018, while forest land, construction land, and unused land expanded."
Article_4,Grassland was mainly converted to forest land.
Article_4,"The high land-use intensity was distributed in Lintan, northern Xiahe, and Hezuo."
Article_4,"The overall land-use intensity of Gannan Prefecture was higher in the northeast than in the southwest, and these areas are relatively flat, mainly consisting of cultivated land and construction land."
Article_4,"However, with economic development, the driving effects of anthropogenic factors on the LULC have gradually expanded."
Article_5,"The results from the LULC analysis show that residential, industry and commercial areas slowed down their growth throughout the study period."
Article_5,"Groves and trees presented steady behaviors, with small increments during the five-year period."
Article_5,"Swamps, on the other hand, significantly degraded, being about 2% of the study area in 2015 and 0.93% in 2021."
Article_5,Dunes and medium and high vegetation densities (∼ 80%) transitioned mostly to low vegetation densities.
Article_5,"This city is surrounded by the Coatzacoalcos and Tonalá rivers and extends between latitudes 18.06 • and 18.21 • and longitudes -94.22 • and -94.64 • (Figure Physiographically, the study area has an average elevation of 10 meters above sea level."
Article_5,The only change occurred in 2015.
Article_5,"The industrial area called Etileno XXI, the largest petrochemical complex in Latin America, concluded 99.2% of its construction in 2015 Vegetation plays an important role in our natural ecosystem and also holds up the biosphere in various ways."
Article_5,"Vegetation helps to regulate the flow of numerous biogeochemical cycles, most importantly those of nitrogen, carbon and water."
Article_5,"Residential land use grew only 0.88 km 2 during the last six years, which reflects a very small growth in comparison with that of industrial cities in Mexico, which has been characterized as about 5% per year | Discussion: LULC changes measure the transitions of different land uses in complex interactions between humans and the physical environment | Conclusions: This paper determined land use and land cover (LULC) over the period 2015-2021 for the city of Coatzacoalcos and its metropolitan area, located in the state of Veracruz, Mexico."
Article_5,"The satisfactory results can be summarized in four main aspects: (1) built-up areas, including industry, residential and commercial areas, have slowed down their growth due to socio-economical drivers such as security and null monetary investments; (2) vegetation such as mixed forest and low density vegetation (bare surfaces, sparse vegetation and grassland) has been sustained and increased over time due to reforestation or migration from other classes; (3) swamps experienced considerable degradation over the past five years and (4) high and medium vegetation densities have transformed mostly to low vegetation densities due to climate drives such as low precipitation and possible high soil evaporation, which might also increase the overland flow for those areas."
Article_6,"Human-induced LULCC occurred at different sites on the island, with decreased activities in Codrington, but increased and continued activities at Coco and Palmetto Points."
Article_6,"With an accuracy of 97.1 %, we estimated a total increase of vegetated areas by 6.56 km 2 , and a simultaneous slight increase in roads and buildings with a total length of 249.67 km and a total area of 1.43 km 2 ."
Article_6,The vegetation condition itself depict a steady decrease since 2017.
Article_6,New hotspots of human activity emerged on the island in the Codrington Lagoon National Park.
Article_6,"Accordingly, the term ""land grab"" was coined and is related to the increased number of large-scale and commercial land deals by international actors A. Rienow et al."
Article_6,"We observed that humaninduced LULCC is occurring on different sites on the island, with decreased activities in Codrington, but increased and ongoing activities leading to a LULCC in Coco Point and Palmetto Point."
Article_6,"With an accuracy of 97.1 %, we estimated a total increase of vegetated areas by 6.56 km 2 and simultaneous increase in roads and buildings with a total length of 249.67 km and a total area of 1.43 km 2 ; this includes the area of the under construction central international airport."
Article_6,This and the fact that the vegetation condition itself depict a steady decrease since 2017 show the severe human-induced LULCC since the hurricanes Irma and Maria hit Barbuda and led to its temporary evacuation.
Article_6,"While some places show a decrease in human activity, such as Codrington and the Lighthouse Bay Resort, other places experienced increased human activities."
Article_7,"From 2007 to 2018, it showed a -4.67% yr -1 decrease, whereas in the 2018-2025 and 2025-2030 periods, it decreased -12.69% yr -1 and increased 4.78% yr -1 , respectively."
Article_7,"The projected BU result shows the coverage area will be 15.39% in 2040 and 16.04% in 2025, both of which are lower than 2018, 18.49%."
Article_7,"In comparison to 2018, the FPLR areas of the very high risk category will grow approximately 2.5 times in 2025-2040."
Article_8,Introduction: Land-use and land-cover (hereafter LULC) change is a phenomenon that has been taking place since the beginning of humankind.
Article_8,It has long been considered a factor affecting the global environment Various anthropogenic activities have played an important role in landscape changes in the Appalachian Mountains region.
Article_8,"The watershed is primarily located in Bell County, Kentucky, but extends into Claiborne County, Tennessee."
Article_8,"The decline in percolation, lateral flow, and groundwater might be mainly due to changes in LULC and altered soil properties due to coal-mining activities in the watershed."
Article_8,"It consisted primarily of a decrease in forest cover which mostly converted into coal-mine lands, urban development, and growth in pastureland."
Article_9,"Central Uganda is the most studied region (15%), followed by western ( Introduction: Land use and land cover change (LULCC) can result from both intentional and non-intentional human activities or as a result of natural causes."
Article_9,"For example, Uganda is geared to attain a middle income economy by 2040 in the background of a young and rapidly growing population (growth rate of above 3.03% per annum)."
Article_9,The total population was 34 million in 2014 and is projected to reach 80 million by 2040 | Country profile and framework of the review: | Country profile: Uganda is a landlocked country in East Africa located in Southeast Africa between 1° N and 4° N latitude and 30° E and 35° E longitude.
Article_9,"The country has a total surface area of about 241,500 km 2 of which land occupies 194,000 km 2 and the rest is open water and wetlands ."
Article_9,Uganda has equatorial type of climate with mean annual temperatures ranging from 16° C to 30° C .
Article_9,The northern region receives one long rainy season (April-October) in a year.
Article_9,"Uganda's vegetation varies, with the south having tropical rain forest and savannah, while woodlands and semiarid vegetation dominate the other parts of the country."
Article_9,"For example, The reasons for the national scale studies have been to: understand the spatial and temporal land use and carbon stock changes in Uganda | Methods/data employed: The review has indicated that the most used method/data was earth observation, particularly Landsat imagery (30 m resolution) employed in 95.2% of cases and then MODIS (250 m and 500 m) employed in 2.4% of cases, and transect walk plus interview in 2.4% of studies (Figure | Land use and land cover change statistics in Uganda: The review points that generally, agriculture and built up areas (from here on used interchangeably with settlements) have increased while forest and woodland have decreased over the period The numbers of urban centers increased from 67 in 1991 to 259 in 2014, while urban population increased from 0.6 million people in 1969 to 6.4 million people in 2014 ."
Article_9,"The implication is that the interaction of population growth and other drivers of LULC change is favoring agriculture and built-up/urban areas expansion at the expense of forest, woodlands, wetlands, as later discussed in Section."
Article_9,"On local scales, Note that the trends of forest cover and agriculture in northern Uganda are different from the national trend and those in other regions."
Article_9,Northern Uganda also experienced armed conflict from 1986 to mid-2000s.
Article_9,"During the period of the armed conflict, people were restricted to live in Internally Displaced Person's camp (IDP's)."
Article_9,"With return of peace in northern Uganda, IDP's life ended in the late 2008."
Article_9,There has also been rapid expansion of commercial farming (by the so-called 'investors') in the northern districts of Nwoya and Amuru in the last ten years.
Article_9,The dynamics and the trajectory of LULCC in northern Uganda have thus changed.
Article_9,"For example, the population of Uganda grew from 6.8 million people in 1960 to In Uganda, agriculture is a key sector to the livelihoods of the rural population (79% of total population) and to the economy of Uganda ."
Article_9,"Accordingly, in the year 2013/14 and 2015/16, agriculture employed 74.7% and 73% of total rural labor force respectively and the sector's contribution to total GDP increased from 23.7% in 2015/16 to 25% in 2016/17 As already discussed, the population of Uganda is projected to more than double by 2040."
Article_9,The demographic trend and desire for socioeconomic growth in Uganda may continue to drive LULCC in the country.
Article_9,"Generally, agriculture and built up areas are increasing at the expense of forest, wetland and woodland."
Article_9,"Although, the major drivers of LULCC interact with one another, population pressure stands out of all the key drivers of LULCC at both national and local scales."
Article_9,The historical to current trend of LULCC change and related impacts are likely to significantly increase in (2040); as the projected population is likely to double by 2040 in Uganda.
Article_10,"Drought severity (extreme, severe, moderate and mild) and the percentage of land areas affected varied in both space and time."
Article_10,"The growing seasons of 2002-2003, 2003-2004 and 2015-2016 were the most drought-stricken in the entire time series, coinciding with the El Niño southern oscillation (ENSO)."
Article_10,"With the above-normal vegetation productivity in the ongoing season (2020-2021), the results suggest the reversal of the negative vegetation trends observed in the preceding growing seasons."
Article_10,"Relating drought severity and intensities to LULC and change in selected drought years revealed that most lands affected by extreme and severe drought (in descending order) were in tree-covered areas (forests and woodlands), grassland/rangelands and croplands."
Article_10,These LULC types were the most affected as extreme drought intersected vegetation productivity decline.
Article_10,"The most impacted constituencies according to drought severity and the number of drought events were Mahalapye west (eight), Mahalapye east (seven) and Boteti west (seven)."
Article_10,Other constituencies experienced between six and two drought events of varying durations throughout the time series.
Article_10,Drought severity was compared to the official declarations of drought years by the government.
Article_10,Drought frequency was computed as the count of the number of drought years in the entire time series (growing seasons 2000-2001 to 2017-2018).
Article_10,"A year with an annual VCI value of 40 or less is identified as drought-stricken and the sum of such drought years per constituency in the entire time series amounts to the frequency of drought | Land Use-Land Cover Change: In addition to vegetation trends, drought severity was examined according to LULC types."
Article_10,Drought intensity is expressed as a percentage of the area under each LULC type affected by varying drought severity and non-drought conditions.
Article_10,"Seasonal maps depicting spatial and temporal variations in drought severity for the CDB were produced (Figure | Area of Land Use-Land Cover Change and Persistence: In the CDB, areas of LULC persistence, i.e., unchanged, between 2000 to 2018 amounted to 88% (130,166 km 2 )."
Article_10,"Figure | Area of Land Use-Land Cover Change and Persistence: In the CDB, areas of LULC persistence, i.e., unchanged, between 2000 to 2018 amounted to 88% (130,166 km 2 )."
Article_10,"The focus is on major LULC types (tree-covered area, cropland, otherland and grassland), as these made up over 95% of the study area as of 2018."
Article_10,"The focus is on major LULC types (tree-covered area, cropland, otherland and grassland), as these made up over 95% of the study area as of 2018."
Article_10,"For example, when compared to the mean, vegetation productivity was very limited in 2002-2003 (the worst drought episode in the time series)."
Article_10,Drought occurrence was evident during the growing seasons of eight declared drought years in line with The lower than normal vegetation productivity during some of the drought-stricken growing seasons can be attributed to droughts linked to El Niño southern oscillation (ENSO).
Article_10,"For example, the prolonged droughts in the growing seasons of 2002-2004 and 2015-2016 coincided with the El Niño years in the recent records Comparing the ongoing growing season (2020-2021) with the mean for the entire time series, we found above-normal vegetation productivity after mid-October 2020 until February 2021."
Article_10,"Thus, this suggests the full recovery of vegetation productivity during this season from the impacts of the prolonged droughts in the last couple of growing seasons."
Article_10,"Moreover, the growing season has not ended yet."
Article_10,"The growing season spanning the first dekad in October to the third dekad in March was chosen to align the cropping and the raining season in Botswana, which enabled the exclusion of the dry season from the drought analyses."
Article_10,"For example, in CDB between 2000 and 2018, vegetation productivity declined in most forests, woodlands, croplands and grasslands."
Article_10,"In land change areas, the trend of declining vegetation was equally high."
Article_10,"In areas of persistence, the greatest percentage of improved vegetation productivity was in wetlands, settlements, and otherlands."
Article_10,Minimal improvement of vegetation trends in forested areas can be attributed to the overall increase in tree-covered areas during the study period.
Article_10,"Previous studies in dryland contexts such as Botswana and elsewhere associate the improvement in vegetation productivity partly to bush-encroachment which remote sensing vegetation indices capture as vegetation greening but bush-encroachment is undesirable in cattle-based systems Relating LULC change to land degradation, conversion of tree-covered areas to grassland, otherland and cropland, is degrading."
Article_10,This is because these land transitions drive the removal of vegetation cover and contribute to land degradation processes.
Article_10,"Similarly considered as degrading land transitions are those involving the conversion of grasslands into croplands, artificial surface areas and otherlands."
Article_10,"For example, the water crisis of 2015-2016 resulting from relatively low, erratic rainfalls reduced water levels and water inflows into dams drastically across the country | Drought Severity in the Constituencies: Relating drought severity to the years declared as drought-stricken by the government, the results reveal that not all constituencies were equally affected by drought, as severity differed from severe to mild drought."
Article_10,"Moreover, drought severities in some declared drought years were not as widespread in the CDB as in other parts of the country."
Article_10,"For example, the growing season of the year 2009-2010 had improved vegetation productivity in response to above-normal rainfall recorded in previous months, which resulted in flooding events in five sub-districts in the CDB (Serowe/Palapye, Tutume, Boteti, Mahalapye and Bobirwa) Drought severity was further gauged by the frequency at the constituency level."
Article_10,"Over the study period, the constituencies experienced between eight to two drought events."
Article_10,"Examples are Mahalapye west and east, with eight and seven drought occurrences, respectively, ranging from moderate to mild drought."
Article_10,Boteti west experienced seven drought events with severity ranging from severe to mild.
Article_10,Drought effects on vegetation productivity during the study period were characterised by decreasing vegetation trends in most parts of the district.
Article_10,"Although varying intensities of drought severity (severe, moderate and mild) occurred in the constituencies, the 2002-2003 and 2003-2004 growing seasons were found to be the worst drought periods in the entire series, as most parts of the district were affected."
Article_10,"Using the example of the 2002-2003 drought-stricken growing season, the highest percentage of land impacted by extreme and severe droughts were found in tree-covered areas, croplands and grasslands, whereas improved vegetation trends were found mostly in wetlands and some instances in otherland areas including barelands."
Article_10,"Moreover, the results suggest that even in declared drought years, droughts severity varied, and the effects differed between constituencies."
Article_11,This in turn has significantly altered the country's land surface temperature over the years.
Article_11,There is 85% increase in builtup area in Surat in the past 2 decades and 31% increase in built-up area in Bharuch during the same period.
Article_11,Directional profiles showed a continued increase in temperature from 2008 to 2016 from North to South direction Surat indicating an increased urbanization in that direction.
Article_11,"Also, new peaks were observed in the profile of Surat for 2008 and 2016 in the north-south direction indicating urban expansion particularly in the southern part of the city."
Article_11,"Moreover, substantial growth has taken place in the central part of the city and along the banks of the rivers Tapi and Narmada."
Article_11,"This would mean an additional 2.5 billion urban dwellers by 2050, and the 2018 UN report estimates that 90% of this increase would occur in Asia and Africa."
Article_11,"Thus, the problem is more pronounced in developing countries that have witnessed an emergence of large urban agglomerations (UA) coupled with a rapid urban expansion."
Article_11,This process of urbanization has put a massive strain on the built and natural ecosystem and services of urban areas with far reaching demographic and environmental repercussions.
Article_11,This rapid and unplanned urbanization has posed new challenges for planning and governance of urban areas.
Article_11,"As per the latest census, for the first time since independence the growth in population was more in urban areas in India than in rural areas Surat is the ninth largest urban agglomeration in India."
Article_11,"Similarly, Bharuch is a rapidly expanding urban agglomeration also located in the state of Gujarat."
Article_11,"Both Surat and Bharuch are located in south Gujarat, a region known as the Golden Corridor owing to its large reserves of hydrocarbons and massive industrial agglomerations spread throughout the region."
Article_11,"Bharuch is the largest urban agglomeration in the most industrialized area of India surrounded by large chemical, petrochemical, engineering, textile and pharmaceutical industries."
Article_11,Bharuch has also witnessed unparalleled growth in the past decade fueled by industrial development in the region.
Article_11,Surat and Bharuch are the largest urban agglomerations in south Gujarat.
Article_11,The primary economic base of this city is textiles and diamond industries which has given Surat the title of Diamond City of India.
Article_11,Bharuch is the largest urban area in this industrialized region.
Article_11,"In case of Surat, N-S profile of LST for 1998, 2008 and 2016 showed an initial drop in temperature but then showed continued increase in temperature during 2008 and 2016 owing to the increased urbanization from North to South direction as shown in Fig."
Article_11,| Discussion: Both Surat and Bharuch have witnessed unprecedented growth in the last 2 decades.
Article_11,"While Surat has expanded in all the directions, Bharuch has expanded along the banks of the river."
Article_11,Urban expansion has come at the cost of agricultural land.
Article_11,"The SEZs have acquired farmland and pastoral land for different industrial projects Increase in surface temperature coupled with loss of vegetation to built-up area over the years has made both the cities more vulnerable to natural hazards, viz."
Article_11,Rapid urban expansion of Surat has further exacerbated the problem.
Article_11,"Urban expansion in Surat along the banks of the river on both the sides has greatly modified the hydrology by increasing the built-up areas, encroachment of constructions in the floodplains adjacent to the river and construction of new bridges which has reduced the capacity of the river and the open space for the floodwaters to spread out."
Article_11,"Additionally, Hazira industrial area located in Hazira SEZ downstream from Surat has grown exponentially over the years by reclaiming sections of the floodplain, reducing the mouth of Tapi River where it meets the sea ( | Conclusion: This study has shown that since 1998-2016 both Surat and Bharuch have experienced a loss in vegetation while land surface temperature during that period has increased Published in partnership with CECCR at King Abdulaziz University consistently rising from 1998 to 2016."
Article_11,"Additionally during this period both the cities have also experienced an increase in its built-up area and a consistent reduction in water, vegetation and soil, indicating a rapid expansion of urban areas at the cost of its vegetation, soil and water bodies."
Article_11,Surat has expanded over an area of approximately 50.51 sq.
Article_11,kms while Bharuch has expanded slightly over an area of 3.4 sq.
Article_11,Surat has grown over a much larger area as compared to Bharuch during the study period.
Article_11,"In case of Surat, land surface temperature was particularly elevated in the central part of the city which is a heavily urbanized area, representing a strong correlation between urban expansion and land surface temperature."
Article_11,"In case of both of the cities, growth along the water body was noticeable."
Article_11,Medium and small urban agglomerations all over the world particularly in developing countries are facing tremendous pressures of urbanization and the process will continue for the next several decades.
Article_11,"Urban areas continue to grow at the cost of green spaces, agricultural land and rural areas."
Article_11,"In many parts of the world, urban areas are pushing into the most vulnerable parts of the environment as also witnessed in Surat and Bharuch."
Article_12,The result showed a decline in forest land from 8632.5 ha (20.9 %) in 1973-5647.23 ha (13.7 %) in 2019.
Article_12,The study further revealed that the total of forest land cleared between 1973 and 2019 was estimated to be 2985.27 ha (7.22 %).
Article_12,"In other words, 34.6 % of the forest cover that existed in 1973 was lost."
Article_12,"Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019."
Article_12,"Similarly, wetlands declined from 9919.5 ha (24.0 %) in 1973-2000.24 ha (4.8 %) in 2019."
Article_12,"On the other hand, cultivated land has increased from 18617.0 ha (45.1 %) to 27708.1 ha (67.1 %)."
Article_12,"Similarly, the increment in settlement areas has elevated from 908.7 ha (2.2 %) to 4436.46 ha (10.7 %) during the same period."
Article_12,"Agricultural expansion, cutting trees for various purposes (such as firewood, charcoal and construction material), overgrazing and the expansion of settlements, were identified as the major proximate causes of these changes."
Article_12,"Moreover, the major underlying drivers of LULC changes include population growth, changes in policy and institutions, poverty and lack of awareness on the importance of natural resource conservation for sustainable livelihoods."
Article_12,"As a result, land use and land cover (LULC) are under a continuous changes mainly because of societal development and natural causes."
Article_12,"LULC changes are fundamental processes on the earth's surface and have significant impacts on human society, climate, biodiversity, hydrological cycles, ecosystems, biogeochemical cycles and many other processes Changes in land cover have become key components of global environmental change and represent impact of human activity Apositive side of LULC change is agricultural land expansion, which increases food production for a rapidly growing population."
Article_12,"Although, LULC change has social and economic benefits, it has also been reported to have an impact on spatial patterns of landscape properties by modifying ecosystems at local, regional and global levels Generally, LULC changes are driven by natural factors and anthropogenic activities Since 1950, the world population has increased exponentially and this growth is producing major changes in LULC."
Article_12,"The district covers a total area of 48,251 ha (482.51 sq.km) (Fig."
Article_12,"The major livelihood activity of the population in the district is mixed-farming  with crop cultivation being the major agricultural activity, which is entirely rain-fed, with livestock rearing as a secondary activity."
Article_12,"| LULC class Description: Settlement area Areas occupied by residential houses and other buildings Bare Land Exposed stone, sand and soil or area with no vegetation or dominated by rock-out crops, roads, eroded and degraded lands Forest Land Land with more than 0.5 ha, with a tree canopy cover of more than 10 %, which is not primarily under agricultural or other specific non-forest land use  Cultivated land Areas of land ploughed/prepared for growing crops by rain fed or irrigation, including fallow plots and degraded grazing land with very few scattered vegetation Water Body Areas of land covered with water (lakes and rivers) Wet Land Areas that is waterlogged or swampy during the wet season and relatively dry during the dry season."
Article_12,"Statistical summaries of the different LULC dynamics are presented in Table | Land Use Land Cover: The highest increment in the percentage of cultivated land (and hence diminishing of wetland and forestland) has been observed between the years of 1987 and 1995, which can be attributed to the spike in small-scale farming (Table It is worth mentioning that this finding is in line with prior studies that reported 44 % growth in agriculture and 36.4 % agricultural land increment, respectively, by | Bare land (BL): ."
Article_12,Bare lands have also been transformed into another land use types.
Article_12,"In the study area under consideration, it was found that the bare land proportion has shown significant declines over the span of years."
