sentence_id,sentence,entity,entity_type,Start_Position,End_Position
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",9,CARDINAL,254,255
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",22%,PERCENT,260,263
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,15,23
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",crop,LULC,51,55
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fallow,LULC,86,92
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",burnt areas,LULC,275,286
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",Rwandan,LOC,10,17
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",agriculture,LULC,18,29
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",less than 10%,PERCENT,68,81
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC,85,93
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,29,38
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",cropped,LULC,52,59
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",the early,DATE,70,79
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",growing,CHANGE,80,87
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,101,122
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",grow,CHANGE,136,140
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",fallows,LULC,144,151
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",1986,DATE,3,7
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",croplands,LULC,124,133
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",16 years,DATE,163,171
11,"In 1990, woodland and tree savanna were still the dominant land cover types",1990,DATE,3,7
11,"In 1990, woodland and tree savanna were still the dominant land cover types",tree,LULC,22,26
11,"In 1990, woodland and tree savanna were still the dominant land cover types",savanna,LULC,27,34
11,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",trees,LULC,29,34
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",tree,LULC,89,93
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",Vitellaria,LOC,95,105
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",cultivation,PROCESS,175,186
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",fallows,LULC,191,198
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",cause,CHANGE,24,29
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",decrease,CHANGE,50,58
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",increasing,CHANGE,66,76
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",growing,CHANGE,226,233
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",urban,LULC,234,239
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",80 km,SURFACE_UNIT,266,271
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",Saloum Senegal,LOC,3,17
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,28,36
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow,LULC,74,80
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow,LULC,152,158
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",gained,CHANGE,189,195
15,Irrigation from rivers is regarded as minor driver of LULCC,driver,CHANGE,44,50
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",tree,LULC,17,21
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",growth,CHANGE,22,28
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,LULC,33,45
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase,CHANGE,71,79
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",year-round,DATE,22,32
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",fallows,LULC,83,90
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",year-round,DATE,92,102
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",the dry season,DATE,114,128
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",crop,LULC,189,193
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",fallow,LULC,10,16
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",0.8,CARDINAL,40,43
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",1.6,CARDINAL,104,107
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Silgey,LOC,111,117
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Kolbila,LOC,122,129
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",fallow,LULC,142,148
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",decline,CHANGE,173,180
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",2,CARDINAL,196,197
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Koho,LOC,201,205
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",fallow,LULC,218,224
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",5,CARDINAL,244,245
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Sayero,LOC,249,255
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,cultivation,PROCESS,8,19
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,trees,LULC,87,92
