from_entity,from_type,from_text,to_entity,to_type,to_text,relationship,sentence,article_id,event_id
Article_1_END_DATE_0,END_DATE,2020,Article_1_DATE_RANGE_0,DATE_RANGE,2010 to 2020,ends,Simulation results reveal that the landscape of Thimphu city has changed considerably during the study period and the change trend is predicted to continue into 2050.,Article_1,0
Article_1_FROM_LULC_1,FROM_LULC,built-up area,Article_1_CHANGE_1,CHANGE,increased,causes,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_FROM_LULC_1,FROM_LULC,built-up area,Article_1_TO_LULC_1,TO_LULC,built-up area,converts_to,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_FROM_LULC_1,FROM_LULC,built-up area,Article_1_PROCESS_1,PROCESS,urbanization,undergoes,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_CHANGE_1,CHANGE,increased,Article_1_PROCESS_1,PROCESS,urbanization,part_of,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_CHANGE_1,CHANGE,increased,Article_1_MAGNITUDE_1,MAGNITUDE,12.77%,has_magnitude,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_PROCESS_1,PROCESS,urbanization,Article_1_MAGNITUDE_1,MAGNITUDE,12.77%,measured_by,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_CHANGE_1,CHANGE,increased,Article_1_DATE_RANGE_1,DATE_RANGE,2002 to 2018,occurs_during,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_PROCESS_1,PROCESS,urbanization,Article_1_DATE_RANGE_1,DATE_RANGE,2002 to 2018,happens_in,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_START_DATE_1,START_DATE,2002,Article_1_END_DATE_1,END_DATE,2018,precedes,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_START_DATE_1,START_DATE,2002,Article_1_DATE_RANGE_1,DATE_RANGE,2002 to 2018,starts,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_END_DATE_1,END_DATE,2018,Article_1_DATE_RANGE_1,DATE_RANGE,2002 to 2018,ends,"The study observed a significant increase (12.77%) in built-up area from 2002 (52.88%) to 2018 (65.5%), followed by a slight increase in the cover of bare ground.",Article_1,1
Article_1_FROM_LULC_2,FROM_LULC,forest,Article_1_CHANGE_2,CHANGE,declined,causes,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_FROM_LULC_2,FROM_LULC,forest,Article_1_TO_LULC_2,TO_LULC,"CHANGE: declined
PROCESS: deforestation
MAGNITUDE: 15%
DATE_RANGE: 2010 to 2020
START_DATE: 2010
END_DATE: 2020",converts_to,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_FROM_LULC_2,FROM_LULC,forest,Article_1_PROCESS_2,PROCESS,deforestation,undergoes,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_CHANGE_2,CHANGE,declined,Article_1_PROCESS_2,PROCESS,deforestation,part_of,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_CHANGE_2,CHANGE,declined,Article_1_MAGNITUDE_2,MAGNITUDE,15%,has_magnitude,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_PROCESS_2,PROCESS,deforestation,Article_1_MAGNITUDE_2,MAGNITUDE,15%,measured_by,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_CHANGE_2,CHANGE,declined,Article_1_DATE_RANGE_2,DATE_RANGE,2010 to 2020,occurs_during,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_PROCESS_2,PROCESS,deforestation,Article_1_DATE_RANGE_2,DATE_RANGE,2010 to 2020,happens_in,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_START_DATE_2,START_DATE,2010,Article_1_END_DATE_2,END_DATE,2020,precedes,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_START_DATE_2,START_DATE,2010,Article_1_DATE_RANGE_2,DATE_RANGE,2010 to 2020,starts,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_END_DATE_2,END_DATE,2020,Article_1_DATE_RANGE_2,DATE_RANGE,2010 to 2020,ends,"On the contrary, forest cover declined drastically (15.25%) followed by agriculture (1.01%).",Article_1,2
Article_1_FROM_LULC_3,FROM_LULC,agricultural land,Article_1_CHANGE_3,CHANGE,converted,causes,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_FROM_LULC_3,FROM_LULC,agricultural land,Article_1_TO_LULC_3,TO_LULC,urban areas,converts_to,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_FROM_LULC_3,FROM_LULC,agricultural land,Article_1_PROCESS_3,PROCESS,urbanization,undergoes,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_CHANGE_3,CHANGE,converted,Article_1_PROCESS_3,PROCESS,urbanization,part_of,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_CHANGE_3,CHANGE,converted,Article_1_MAGNITUDE_3,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",has_magnitude,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_PROCESS_3,PROCESS,urbanization,Article_1_MAGNITUDE_3,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",measured_by,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_CHANGE_3,CHANGE,converted,Article_1_DATE_RANGE_3,DATE_RANGE,2015,occurs_during,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_PROCESS_3,PROCESS,urbanization,Article_1_DATE_RANGE_3,DATE_RANGE,2015,happens_in,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_START_DATE_3,START_DATE,2015,Article_1_DATE_RANGE_3,DATE_RANGE,2015,starts,Rapid population growth triggered by rural urban migration coupled with hasty socio-economic development post democracy are the main drivers of these changes.,Article_1,3
Article_1_FROM_LULC_4,FROM_LULC,built-up area,Article_1_CHANGE_4,CHANGE,increased,causes,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_FROM_LULC_4,FROM_LULC,built-up area,Article_1_TO_LULC_4,TO_LULC,built-up area,converts_to,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_FROM_LULC_4,FROM_LULC,built-up area,Article_1_PROCESS_4,PROCESS,urbanization,undergoes,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_CHANGE_4,CHANGE,increased,Article_1_PROCESS_4,PROCESS,urbanization,part_of,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_CHANGE_4,CHANGE,increased,Article_1_MAGNITUDE_4,MAGNITUDE,12.77%,has_magnitude,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_PROCESS_4,PROCESS,urbanization,Article_1_MAGNITUDE_4,MAGNITUDE,12.77%,measured_by,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_CHANGE_4,CHANGE,increased,Article_1_DATE_RANGE_4,DATE_RANGE,2002 to 2018,occurs_during,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_PROCESS_4,PROCESS,urbanization,Article_1_DATE_RANGE_4,DATE_RANGE,2002 to 2018,happens_in,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_START_DATE_4,START_DATE,2002,Article_1_END_DATE_4,END_DATE,2018,precedes,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_START_DATE_4,START_DATE,2002,Article_1_DATE_RANGE_4,DATE_RANGE,2002 to 2018,starts,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_END_DATE_4,END_DATE,2018,Article_1_DATE_RANGE_4,DATE_RANGE,2002 to 2018,ends,"Under the business as usual scenario, prediction analysis for the year 2050 show that built up area will consume almost all of the city area (73.21%) with forest significantly reduced to patches making up only about 16% of the city.",Article_1,4
Article_1_FROM_LULC_5,FROM_LULC,agricultural land,Article_1_CHANGE_5,CHANGE,converted,causes,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_FROM_LULC_5,FROM_LULC,agricultural land,Article_1_TO_LULC_5,TO_LULC,urban areas,converts_to,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_FROM_LULC_5,FROM_LULC,agricultural land,Article_1_PROCESS_5,PROCESS,urbanization,undergoes,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_CHANGE_5,CHANGE,converted,Article_1_PROCESS_5,PROCESS,urbanization,part_of,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_CHANGE_5,CHANGE,converted,Article_1_MAGNITUDE_5,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",has_magnitude,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_PROCESS_5,PROCESS,urbanization,Article_1_MAGNITUDE_5,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",measured_by,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_CHANGE_5,CHANGE,converted,Article_1_DATE_RANGE_5,DATE_RANGE,2015,occurs_during,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_PROCESS_5,PROCESS,urbanization,Article_1_DATE_RANGE_5,DATE_RANGE,2015,happens_in,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_START_DATE_5,START_DATE,2015,Article_1_DATE_RANGE_5,DATE_RANGE,2015,starts,"Prior to this, the area was occupied by terraced agricultural fields and some 13 villages.",Article_1,5
Article_1_FROM_LULC_6,FROM_LULC,agricultural land,Article_1_CHANGE_6,CHANGE,converted,causes,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_FROM_LULC_6,FROM_LULC,agricultural land,Article_1_TO_LULC_6,TO_LULC,urban areas,converts_to,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_FROM_LULC_6,FROM_LULC,agricultural land,Article_1_PROCESS_6,PROCESS,urbanization,undergoes,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_CHANGE_6,CHANGE,converted,Article_1_PROCESS_6,PROCESS,urbanization,part_of,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_CHANGE_6,CHANGE,converted,Article_1_MAGNITUDE_6,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",has_magnitude,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_PROCESS_6,PROCESS,urbanization,Article_1_MAGNITUDE_6,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",measured_by,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_CHANGE_6,CHANGE,converted,Article_1_DATE_RANGE_6,DATE_RANGE,2015,occurs_during,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_PROCESS_6,PROCESS,urbanization,Article_1_DATE_RANGE_6,DATE_RANGE,2015,happens_in,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_START_DATE_6,START_DATE,2015,Article_1_DATE_RANGE_6,DATE_RANGE,2015,starts,"Expansion of Thimphu city in 2002 added local areas of Lanjophaka, Heo-Samteling, Jungshi-Pamtsho, Taba and Dechencholing in the north and Changjiji, Lungtenphu, Simtokha, and Babesa in the south ( Fig.",Article_1,6
Article_1_FROM_LULC_7,FROM_LULC,forest,Article_1_CHANGE_7,CHANGE,declined,causes,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_FROM_LULC_7,FROM_LULC,forest,Article_1_TO_LULC_7,TO_LULC,"CHANGE: declined
PROCESS: deforestation
MAGNITUDE: 15%
DATE_RANGE: 2010 to 2020
START_DATE: 2010
END_DATE: 2020",converts_to,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_FROM_LULC_7,FROM_LULC,forest,Article_1_PROCESS_7,PROCESS,deforestation,undergoes,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_CHANGE_7,CHANGE,declined,Article_1_PROCESS_7,PROCESS,deforestation,part_of,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_CHANGE_7,CHANGE,declined,Article_1_MAGNITUDE_7,MAGNITUDE,15%,has_magnitude,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_PROCESS_7,PROCESS,deforestation,Article_1_MAGNITUDE_7,MAGNITUDE,15%,measured_by,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_CHANGE_7,CHANGE,declined,Article_1_DATE_RANGE_7,DATE_RANGE,2010 to 2020,occurs_during,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_PROCESS_7,PROCESS,deforestation,Article_1_DATE_RANGE_7,DATE_RANGE,2010 to 2020,happens_in,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_START_DATE_7,START_DATE,2010,Article_1_END_DATE_7,END_DATE,2020,precedes,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_START_DATE_7,START_DATE,2010,Article_1_DATE_RANGE_7,DATE_RANGE,2010 to 2020,starts,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_END_DATE_7,END_DATE,2020,Article_1_DATE_RANGE_7,DATE_RANGE,2010 to 2020,ends,"The period, 2002-2018 represents a rapid expansion of the city accompanied by expediated socio-economic development that led to significant changes in the city's landscape.",Article_1,7
Article_1_FROM_LULC_8,FROM_LULC,agricultural land,Article_1_CHANGE_8,CHANGE,converted,causes,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_FROM_LULC_8,FROM_LULC,agricultural land,Article_1_TO_LULC_8,TO_LULC,urban areas,converts_to,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_FROM_LULC_8,FROM_LULC,agricultural land,Article_1_PROCESS_8,PROCESS,urbanization,undergoes,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_CHANGE_8,CHANGE,converted,Article_1_PROCESS_8,PROCESS,urbanization,part_of,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_CHANGE_8,CHANGE,converted,Article_1_MAGNITUDE_8,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",has_magnitude,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_PROCESS_8,PROCESS,urbanization,Article_1_MAGNITUDE_8,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",measured_by,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_CHANGE_8,CHANGE,converted,Article_1_DATE_RANGE_8,DATE_RANGE,2015,occurs_during,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_PROCESS_8,PROCESS,urbanization,Article_1_DATE_RANGE_8,DATE_RANGE,2015,happens_in,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_START_DATE_8,START_DATE,2015,Article_1_DATE_RANGE_8,DATE_RANGE,2015,starts,"These expediated changes can be attributed to: i) governments approval for expansion of the city in 2002, followed by the hastened construction of city infrastructure post Bhutan's transition to democracy in 2008.",Article_1,8
Article_1_FROM_LULC_9,FROM_LULC,agricultural land,Article_1_CHANGE_9,CHANGE,converted,causes,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_FROM_LULC_9,FROM_LULC,agricultural land,Article_1_TO_LULC_9,TO_LULC,urban areas,converts_to,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_FROM_LULC_9,FROM_LULC,agricultural land,Article_1_PROCESS_9,PROCESS,urbanization,undergoes,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_CHANGE_9,CHANGE,converted,Article_1_PROCESS_9,PROCESS,urbanization,part_of,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_CHANGE_9,CHANGE,converted,Article_1_MAGNITUDE_9,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",has_magnitude,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_PROCESS_9,PROCESS,urbanization,Article_1_MAGNITUDE_9,MAGNITUDE,"DATE_RANGE: 2015
START_DATE: 2015
END_DATE:",measured_by,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_CHANGE_9,CHANGE,converted,Article_1_DATE_RANGE_9,DATE_RANGE,2015,occurs_during,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_PROCESS_9,PROCESS,urbanization,Article_1_DATE_RANGE_9,DATE_RANGE,2015,happens_in,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
Article_1_START_DATE_9,START_DATE,2015,Article_1_DATE_RANGE_9,DATE_RANGE,2015,starts,"The resultant improvement in basic facilities combined with creation of additional jobs further attracted more immigration from rural areas and lesser developed cities, causing a boom in real estate and informal settlements and triggering significant changes in land uses.",Article_1,9
