sentence_id,sentence,entity,entity_type
2,")., head: Land use change in the study site, p: ref: 2a, 2b, From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",64%,PERCENT
3,Agriculture in this region has been dominated over the past three decades by cotton production,Agriculture,LULC
3,Agriculture in this region has been dominated over the past three decades by cotton production,Cotton production,LULC
3,Agriculture in this region has been dominated over the past three decades by cotton production,Region,LOC
3,Agriculture in this region has been dominated over the past three decades by cotton production,Past three decades,TIME_PERIOD
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",Forest land,LULC
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",2002,DATE
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",1984,DATE
4,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",Gallery forest,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",About 26 and 31%,PERCENT
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",total area of natural vegetation,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively","forest, woodland and tree savanna",LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",farmland,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",degraded savanna,LULC
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2050,DATE
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975 to 1990,TIME_PERIOD
5,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990-2010,TIME_PERIOD
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,LULC
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,LULC
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,LULC
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",1990,DATE
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively","5%, 9%, 17%",PERCENT
6,"Assuming the dynamics recorded in the second period , the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively","9%, 22%",PERCENT
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",herbaceous standing crop,LULC
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fallow period,PROCESS
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",cultivated and cleared fields,LULC
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing by cattle,PROCESS
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",landscape discontinuities,PROCESS
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",fire,PROCESS
7,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",burnt areas,LULC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",Rwandan agriculture,LULC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",low investment trap,PROCESS
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",less than 10%,PERCENT
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",cropland,LULC
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",tractors,PROCESS
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",bank credit,PROCESS
8,"describes Rwandan agriculture as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",government aid,PROCESS
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",cropped fields,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",fallows,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",rangelands,LULC
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",early growing season,TIME_PERIOD
9,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",fall,TIME_PERIOD
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",1986,TIME_PERIODS
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",grazing land,LULC
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",total regional area,SURFACE_UNIT
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",croplands,LULC
10,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years (Table )",Table,REFERENCE (assuming a table containing data)
11,"In 1990, woodland and tree savanna were still the dominant land cover types",1990,TIME_PERIODS
11,"In 1990, woodland and tree savanna were still the dominant land cover types",woodland,LULC
11,"In 1990, woodland and tree savanna were still the dominant land cover types",tree savanna,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",NTFP-providing trees,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",baobab,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",Adansonia digitata,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",shea tree,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",Vitellaria paradoxa,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",farmers,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",agricultural cycle,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",cultivation,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",fallows,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",well preserved,CHANGE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",rangelands,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",woody vegetation,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",decreasing,CHANGE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",increasing,CHANGE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",pressure,PROCESS
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",wood resources,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",demand,PROCESS
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",fuel,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",construction wood,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",local rural population,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",urban population,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",Niamey,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",80 km,DISTANCE
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",Saloum,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",Senegal,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow cycles,PROCESS
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",soils,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",villages,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS
15,Irrigation from rivers is regarded as minor driver of LULCC,Irrigation,PROCESS
15,Irrigation from rivers is regarded as minor driver of LULCC,rivers,LOC
15,Irrigation from rivers is regarded as minor driver of LULCC,LULCC,PROCESS
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Tree growth,PROCESS
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Agroforestry,PROCESS
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Woody cover,LULC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Fields,LULC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Village,LOC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Rangelands,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Grazing,PROCESS
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Communal access,PROCESS
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Fallow,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Dry season,TIME_PERIOD
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Crop harvest,EVENT
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Cropped fields,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios,QUANTITY
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Fallow,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Cultivated,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Woure,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Silgey,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Kolbila,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Koho,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Sayero,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush-fallow ""would lead to a steady decline in fertility,"" 2 in Koho, where bush-fallow is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Bushfallow,PROCESS
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation,PROCESS
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Soil,LULC
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Trees,LULC
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Farmers,PERCENTAGE
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Fields,LOC
