sentence_id,sentence,entity,entity_type
10,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",grazing ,PROCESS
10,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",croplands,LULC
11,"In 1990, woodland and tree were still the dominant types",woodland,LULC
11,"In 1990, woodland and tree were still the dominant types", tree savanna,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",Adansonia digitata,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",NTFP-providing trees,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",Vitellaria paradoxa,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",baobab,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",shea tree,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",cultivation,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",agricultural cycle,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",fallows,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",woody vegetation,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",wood resources,LULC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",construction wood,QUANTITY
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",local rural ,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",Niamey,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",80 km,SURFACE_UNIT
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",Saloum,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",fallow land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",fallow cycles,PROCESS
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",Senegal,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",cultivated land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",soils,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",village,LOC
15,Irrigation from rivers is regarded as minor driver of LULCC,Irrigation,PROCESS
15,Irrigation from rivers is regarded as minor driver of,rivers,LULC
15,Irrigation from rivers is regarded as minor driver of LULCC,LULCC,LULC
15,Irrigation from rivers is regarded as minor driver of LULCC,minor,PERCENT
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase ,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village", growth,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Tree ,LULC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Fields,LOC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Woody cover,LULC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",Agroforestry,PROCESS
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,LULC
17,"""Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",Rangelands,LULC
17,"""Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",cropped fields,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Grazing,PROCESS
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Fallow,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Communal access,LOC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Dry season,DATE
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Cropped fields,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",harvest,PROCESS
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios,QUANTITY
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",cultivated area,LULC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Woure,LOC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Silgey,LOC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Kolbila,LOC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",bushfallow,PROCESS
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Koho,LOC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Fallow,LULC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Sayero,LOC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",bush,LULC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",fertility,QUANTITY
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",land,LULC
18,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",available land,LULC
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular,CARDINAL
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Soil,LULC
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,farmers,PERCENT
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,cultivation,PROCESS
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Trees,LULC
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,fields,LOC
19,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation ,PROCESS
