Unnamed: 0,id_segment,text_segment,relevance_label,relevance_type_norm
52,1-s2.0-S0301479717300713-main_226a,"However, some authors from the literature review showed a diverging picture of poverty as a driver of .' , 'ref': ' type': 'bibr', ' target': ' b8', ' ' Antwi-Agyei et al., 2016;' , ' type': 'bibr', ' target': ' b63', ' 'Mertz et al., 2010;' , ' type': 'bibr', ' target': ' b67', ' 'Nielsen and Reenberg, 2010;' , ' type': 'bibr', ' target': ' b68', ' 'Nyantakyi-Frimpong and Bezner-Kerr, 2015 ' , ' type': 'bibr', ' target': ' b52',",0,
53,1-s2.0-S0140196313000608-main_137,"However, the same approach may apply to understand the different combinations of outcomes that are generated by the different causal conditions land increase, decrease, or stability",0,
54,1-s2.0-S0301479717300713-main_881,I doubt that this is for,0,
55,1-s2.0-S030438781000043X-mainext_43,"I find that land tenure affects incentives to leave land and to plant trees, but has a weaker impact on labor and input use",0,
56,1-s2.0-S0304387816300670-main_138,"If the has a tiny or non-existent traded manufacturing sector so that ' , ' ' xml:id': 'fig 13', 'head': '30', 'label': None, 'figDesc':",0,
57,1-s2.0-S0304387816300670-main_558,"If the has a tradable manufacturing sector that is not too small relative to its local service sector so that ', ', a decline in moisture will lead to an increase in population and total income",0,
58,1-s2.0-S016788090800131X-main_82,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years Table",2,LULCC
59,1-s2.0-S0264837715302131-main_74,"In 1990, woodland and tree were still the dominant types",2,LULC
60,1-s2.0-S0168192311001122-main_159,In addition to the decrease in yield the interannual variability is increasing in the yield estimations based on REMO and SMHIRCA scenarios,0,
61,1-s2.0-S0308521X12000157-main_281a,"In Benin, the choice of farmers to switch to subsidized food crops a few years ago motivated institutional reforms to create more realistic opportunities for growers, a natural experiment that we document in detail ."" ,",0,
62,1-s2.0-S003442571730041X-main_4,"In fact, some NTFP-providing trees, such as the baobab Adansonia digitata and the shea tree Vitellaria paradoxa , are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",2,PRACTICES
63,1-s2.0-S030438781000043X-mainext_563a,"In his study of the ICRISAT villages, he argues that, except in Sayero, all ""have passed or are approaching the stage at which reliance on long bush- rotation to maintain soil fertility is no longer feasible.""",1,PRACTICES
64,1-s2.0-S0140196313000608-main_75,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .' , ' 'head': ' n': '2.5.', ' 'conflicts' , 'p': 'ref': , ' ""During the last few years, violent conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",1,DRIVERS
65,1-s2.0-S0140196322000143-main_273,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",2,"DRIVERS, LULCC"
66,1-s2.0-S0140196313000608-main_184,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",2,PRACTICES
67,1-s2.0-S0169204617300270-main_293,"In the case of Ghana, that statement might be true for Kumasi as expanding in the hinterlands, but not for Bolgatanga",1,LULCC
68,1-s2.0-S0140196313000608-main_9,"In the course of the last three to four decades a range of environmental policies has been concerned with sustainable and natural resource management systems, e.g",0,
69,1-s2.0-S0301479717300713-main_147,"In the past, missing or low fertilizer input was compensated by the - practice, but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent of the same crops",1,"DRIVERS, PRACTICES"
70,1-s2.0-S0168192311001122-main_130,"In the scenario run, an EPIC input database file for each of the 1462 LUSAC units was prepared, containing information about the nearest weather station, the predominant soil type and the management including proportion of the - rotations",0,
71,1-s2.0-S0301479717300713-main_99,"In total, 12 documents were identified as relevant in the context of in the UER Table",0,
72,1-s2.0-S016788090800131X-main_77,"In Yale , the size of and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the land and the gallery forests declined by nearly 50% Table and Fig",1,LULCC
73,1-s2.0-S0169204617300270-main_289,Ineffective planning can contribute to an increase in land fragmentation resulting in loss of land for food provision,1,LULCC
74,1-s2.0-S235198941500102X-main_200,"Insights into some of these causes were highlighted in this study.' , ' 'head': ' n': '5.', ' 'Conclusion and implications for management' , 'p': ""This study allows understanding causes of land degradation and LDD in the TWRB",0,
75,1-s2.0-S0167880913003502-main_23,"Intensification can disrupt many of the regulating and supporting ES, including nutrient cycling, climate regulation, regulation of quality and quantity, pollination services, and pest control Fig",0,
76,1-s2.0-S0301479717300713-main_227,Interviews and literature review showed that biophysical factors as drivers of were frequently mentioned in relation to anthropogenic drivers,1,DRIVERS
77,1-s2.0-S0301479717300713-main_134,Irrigation from rivers is regarded as minor driver of,2,DRIVERS
78,1-s2.0-S0304387816300670-main_669,is the number of local intermediate input producers a can support,0,
79,1-s2.0-S235198941500102X-main_122,It is the most common approach used for monitoring changes since it provides more useful information on the initial and final types in a complete matrix of change direction,0,
80,1-s2.0-S0168192311001122-main_23,It is well known that the availability of land and hence the duration of periods decrease with increasing population density in rural areas,1,"DRIVERS, PRACTICES"
81,1-s2.0-S003442571730041X-main_239,"Linear trends are shown for cropped fields, fallowed fields, annual NDVI, and rainfall sum.', 'graphic': ' coords': '9,34.24,53.18,518.02,347.47', ' type': 'bitmap' , ' 'head': None, 'label': None, 'figDesc': None, 'graphic': ' coords': '8,130.79,53.18,342.71,347.02', ' type': 'bitmap' , ' ' type': 'table', ' xml:id': 'tab 0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Selected SPOT and Landsat imageries.', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , ' ' type': 'table', ' xml:id': 'tab 1', 'head': 'Table 2', 'label': '2', 'figDesc': 'Satellite-derived NDVI metrics used in this study.', 'table': 'row': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , ' ' type': 'table', ' xml:id': 'tab 2', 'head': 'Table 3', 'label': '3', 'figDesc': 'Standardized coefficients of linear regression analysis 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 .', 'table': 'row': 'cell': , 'note': 'p': ' Significant at p b 0.05.' note: ' ' place': 'foot', ' xml:id': 'foot 0', 'p': 'X",0,
82,1-s2.0-S0304387816300670-main_144,"Manufacturing arises if either local potential productivity rises with, for example, enhanced education, or if the price of the manufactured good rises relative to the other goods, driven by changes in international prices or changes in the cost of transporting products between the local and a port",0,
83,1-s2.0-S0168192311001122-main_147,"Mean yields are decreasing in scenario L1, L2 and L3 by 16, 24 and 18%, respectively Fig",0,
84,1-s2.0-S0304387816300670-main_306,"Next, we report the effects of dropping controls for initial and log distance to the coast in columns 5-7",0,
85,1-s2.0-S0303243414001718-main_190,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and",1,"DRIVERS, LULCC"
86,1-s2.0-S0303243414001718-main_164,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",2,"LULCC, PRACTICES"
87,1-s2.0-S0301479717300713-main_235,"One explanation could be the indistinct influence of indirect drivers on , for example, changes in religious patterns",1,DRIVERS
88,1-s2.0-S0264837701000205-main_12,"One important issue to address is pattern dynamics with the aim of understanding which forces drive changes in various environmental, socioeconomic and cultural contexts",0,
89,1-s2.0-S0006320709005400-main_54,One of the fundamental factors has been demographic growth and the growth in food demands,1,DRIVERS
90,1-s2.0-S0167880913003502-main_8,Only about half the 100 studies comparing soil carbon sequestration with no-till and conventional tillage indicated increased sequestration with no till; this is despite continued claims that conservation sequesters soil carbon,0,
91,1-s2.0-S0140196313000608-main_210,Other areas have experienced a decrease in land despite a population increase,1,LULCC
92,1-s2.0-S0301479717300713-main_321,"P9: We know that is coming, it 's growing",1,LULCC
93,1-s2.0-S0301479717300713-main_705,projects by SADA Accelerated Development Aniah et al,0,
94,1-s2.0-S0140196322000143-main_50,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",2,PRACTICES
95,1-s2.0-S030438781000043X-mainext_563b,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",2,"LULC, PRACTICES"
96,1-s2.0-S030438781000043X-mainext_722,Regressions estimated using Honore 's Tobit with HH-season- fixed effects,0,
97,1-s2.0-S0140196314000536-main_305,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,2,PRACTICES
98,1-s2.0-S095937809800003X-main_159,"Secondary crops are cowpeas, , sorrel, and okra",1,"LULC, PRACTICES"
99,1-s2.0-S0304387816300670-main_354,"Similarly, Br ckner 2012 uses a larger sample at 1-year intervals.', 'In column 5 we consider growth of primacy: the share of the largest in national population",0,
100,1-s2.0-S0168192311001122-main_122,"Since livestock does not play a major role in this region, except for some herds belonging to pastoralists, it has been assumed that all residues remain in the field",0,
101,1-s2.0-S0140196314000536-main_330,"Since the 1960s, the natural vegetation has been completely transformed and today many trees and have become rare or disappeared Fig",2,LULCC
102,1-s2.0-S0140196313000608-main_61,"Since the creation of the CMDT Compagnie Malienne pour le D velopement du Textile in 1974, production has increased markedly with policies that guaranteed purchase, a fixed floor price, and credit for agricultural inputs",0,
103,1-s2.0-S0303243414001718-main_117,"Site visits provided information on and land use, woody species composition, tree height and condition as well as on degradation processes",1,LULC
104,1-s2.0-S030438781000043X-mainext_95,"Solanke 's father Olulo had taken the farm from during the Makun war of 1862-64, and had worked it until his death shortly after the Ibadan-Oshielle war of 1877, when Solanke inherited it",0,
105,1-s2.0-S0140196313000608-main_242,"Some publications describe several case studies when land trends are described in different geographic locations.', 'table': 'row': , 'cell': land change', 'Drivers of change', 'Impacts of change', None , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': note: ' ' place': 'foot', ' n': '1', ' xml:id': 'foot 0', 'p': 'Definitions of woodland, and were not necessarily exactly the same in all case studies",1,LULC
106,1-s2.0-S0167880913003502-main_329,"Some soil quality indicators relate fairly directly to an ES, such as soil aggregation and macroporosity to soil movement",0,
107,1-s2.0-S0304387816300670-main_541,Stability of migration between the and rural sectors requires that the differential in B5 be decreasing in N U,0,
108,1-s2.0-S003442571730041X-main_19,"Still at present, little scientific empirical evidence for the link between NDVI trends and cropland changes is provided for drylands in general, and for the Sahel region in particular."" , 'ref': , ' ""Several local scale studies showed a general increase in cropped areas since the 1950s and in recent years, a few studies have indicated that cropland has a higher annual NDVI than in Sahelian areas, supporting a possible link between cropland expansion cropping intensification and the observed positive trends in NDVI",1,LULCC
109,1-s2.0-S0301479717300713-main_504,"Temperature variability P3: So it has the potential to lead to because the temperatures become very, very high",1,"DRIVERS, LULCC"
110,1-s2.0-S0169204617300270-main_106,"The has been declared as a free trade zone and an industrial core region in order to attract foreign investment, thus aiming to accelerate the rate of economic growth and pushing Ghana's decentralisation",0,
111,1-s2.0-S016788090800131X-main_81,The actual size and proportion of the different types changed during the study period,1,LULCC
112,1-s2.0-S0006320709005400-main_5,"The available evidence suggests that loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",2,"DRIVERS, LULCC"
113,1-s2.0-S0308521X12000157-main_84,The classic study that started the diffusion of innovations research tradition tracked the rapid and autonomous diffusion of hybrid in Iowa,0,
114,1-s2.0-S095937809800003X-main_135,The classification of was on visual interpretation only,0,
115,1-s2.0-S0304387816300670-main_610,The dependent variable is growth in the rate,1,LULCC
116,1-s2.0-S0301479717300713-main_50,The expert interviews were used to collect expert opinion on the relevant driving forces of and subsequently developed a questionnaire addressing the relevance of the most prominent driving forces,0,
117,1-s2.0-S0169204617300270-main_46,The Land Administration Project from 2003 to pushed planning in Ghana forward,0,
118,1-s2.0-S003442571730041X-main_61,"The land use cover has been recorded repetitively over the years along transects as cropland, , or uncultivable rangeland",0,
119,1-s2.0-S0167880913003502-main_69,"The lower soil C is related to reduced yields and C inputs caused by lower soil temperatures under surface residue retention compared with CT systems .' , 'ref': ' type': 'bibr', ' ' Chivenge et al., 2011 ' , ' type': 'bibr', ' ' Powlson et al., 2011b;' , ' type': 'bibr', ' target': ' b88', ' 'Ladha et al., 2011 ' , ' type': 'bibr', ' target': ' b54', ' 'Ghimire et al",0,
120,1-s2.0-S095937809800003X-main_120,"The majority 94% of the households keep livestock which plays an important role as a saving and security system, especially in years with failure",1,PRACTICES
121,1-s2.0-S095937809800003X-main_75a,"The mobility of livestock, which is an important element of the pastoral strategy, enables an efficient use of temporally and spatially variable fodder and resources.' , 'ref': , '",0,
122,1-s2.0-S0140196314000536-main_244,The MODIS mean amplitude exposes these green productive belts around the villages indicating active fields with a dense woody vegetation see Fig,0,
123,1-s2.0-S0140196322000143-main_262,"The plots were only cropped one year and with little success, after which irreversible soil started to take place",1,DRIVERS
124,1-s2.0-S0140196313000608-main_166,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed that farmers abandoned their crops in favour of other economic activities",1,"DRIVERS, LULCC"
125,1-s2.0-S0169204617300270-main_9,The remote sensing analysis revealed that development was stronger in than in,0,
126,1-s2.0-S0301479717300713-main_615,"The results can be found in Annex 3 and Annex 4.', 'table': 'row': ', 'Interviews: % no. ', 'Literature: % no. of authors' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': ', '100% 13 ', '33% 4 ' , 'cell': , 'cell': , 'cell': , 'cell': ', '0% 0 -only as', '0% 0 ' , 'cell': , 'cell': , 'cell': , 'cell': varieties', '39% 5 ', '17% 2 ' , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'note': 'p': 'Bold indicates the highest rank in the respective method.' , ' ' type': 'table', ' xml:id': 'tab 8', 'head': 'Table 9', 'label': '9', 'figDesc': 'Confidence levels for the different drivers of and change; RS remote sensing GIS spatio-temporal analysis quantitative ; I Interviews qualitative ; L Literature qualitative ; Q Questionnaires quantitative ; detailed results in Annex 2, Annex 3, Annex 4 and Annex 5.', 'table': 'row': ', 'RS', 'L', 'I', 'Q', 'Level of' , 'cell': , 'cell': , 'cell': ', '-', 'X', 'XX', 'XX', 'High' , 'cell': ', None, None, None, None, None , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': , 'cell': ', '-', ' ', ' ', ' ', 'Low' , 'cell': , 'cell': , 'cell': varieties', '-', ' ', 'X', ' ', 'Low' , 'cell': , ' ' type': 'table', ' xml:id': 'tab 10', 'head': 'Table 10', 'label': '10', 'figDesc': 'Strengths and weaknesses of individual methods used in our study; and change; UER Upper East Region.', 'table': None , ' ' type': 'table', ' xml:id': 'tab 11', 'head': None, 'label': None, 'figDesc': ""Use of hybrids and or genetically modified plants e.g",0,
127,1-s2.0-S000632071100245X-main_231,The shortening of periods may hamper a successful establishment of A,1,PRACTICES
