sentence_id,sentence,source,relationship,target,confidence
18,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types",1990,OCCURS_DURING,1990,HIGH
19,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",cultivation,OCCURS_DURING,agricultural cycle,HIGH
19,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",fallows,LOCATED_IN,agricultural cycle,MEDIUM
20,"In his study of the ICRISAT villages, he argues that, except in Sayero, all ""have passed or are approaching the stage at which reliance on long bush-[fallow] rotation to maintain soil fertility is no longer feasible.""",fallow,AFFECTS,soil fertility,HIGH
21,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use] conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",change,CAUSES,[land use conflicts],MEDIUM
22,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing [urban] population of Niamey only 80 km away",increasing,CAUSES,decrease,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",increase,CAUSES,decrease,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,LOCATED_IN,Saloum,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,LOCATED_IN,Senegal,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,CAUSES,less_fertile,MEDIUM
24,"In the case of Ghana, that statement might be true for Kumasi as expanding [city] in the hinterlands, but not for Bolgatanga",Ghana,LOCATED_IN,Africa,HIGH
25,"In the past, missing or low fertilizer input was compensated by the [crop]-[fallow] practice, but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent [cultivation] of the same crops",growth,CAUSES,land_pressure,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",crop,INCREASES_BY,9,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",crop,INCREASES_BY,18%,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",forest,DECREASES_BY,nearly 50%,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",9,OCCURS_DURING,past,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",2002,OCCURS_DURING,past,HIGH
28,Interviews and literature review showed that biophysical factors as drivers of [LULCC] were frequently mentioned in relation to anthropogenic drivers,drivers,CAUSES,LULCC,HIGH
32,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",tree,INCREASES_BY,[woody cover],HIGH
32,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",agroforestry,CAUSES,tree,MEDIUM
33,"One explanation could be the indistinct influence of indirect drivers on [LULCC], for example, changes in religious patterns",drivers,CAUSES,changes,HIGH
34,One of the fundamental factors has been demographic growth and the growth in [urban] food demands,growth,CAUSES,growth,HIGH
35,Other areas have experienced a decrease in [crop] land despite a population increase,increase,CAUSES,increase,HIGH
35,Other areas have experienced a decrease in [crop] land despite a population increase,decrease,DECREASES_BY,population_growth,MEDIUM
36,"P9: We know that [urbanisation] is coming, it\'s growing",urbanisation,AFFECTS,,HIGH
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",year-round,OCCURS_DURING,grazing,MEDIUM
39,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,cultivation,LOCATED_IN,fields,HIGH
39,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,trees,LOCATED_IN,fields,HIGH
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",forest,CAUSES,forest,HIGH
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",forest,ENABLES,expansion,MEDIUM
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",expansion,CHANGE_TO,cropland,HIGH
48,The dependent variable is growth in the [urbanization] rate,growth,INCREASES_BY,urbanization,MEDIUM
48,The dependent variable is growth in the [urbanization] rate,urbanization,CAUSES,growth,LOW
49,"The majority (94%) of the households keep livestock which plays an important role as a saving and security system, especially in years with [crop] failure",94,MEASURES,majority (of households),HIGH
51,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",declining,CAUSES,decline,HIGH
51,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",the past 30 years,OCCURS_DURING,decline,HIGH
56,"Thus, changes in [land use] strategies result not only in a simple expansion of fields to new and less attractive land",changes,CAUSES,expansion,HIGH
58,"Thus, the coherence between spatially related socio-economic characteristics of the households, agricultural strategies and pastoral strategies at the household level and the [land use] patterns can be investigated.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Results of the [land use] analysis', 'p': [{'ref': {'@type': 'figure', '@target': '#fig_9', '#text': '3c'}, '#text': 'Farmers in Yomboli distinguish between four main landscape units: the dune, the pediplain, the piedmont and the border of the mare",Yomboli,LOCATED_IN,{unspecified},HIGH
59,To investigate and quantify [land cover] changes over 44 years including aspects of degradation and human expansion,CHANGE,OCCURS_DURING,44 years,HIGH
61,"Tree cover, in both dense [forest] and the agricultural mosaics, is lost as a result",forest,DECREASES_BY,Tree cover,HIGH
63,"We then turn to evidence on the migration channel itself.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.1.', '#text': 'Conflict'}, 'p': [{'ref': [{'@type': 'bibr', '#text': '25'}, {'@type': 'bibr', '#text': '26'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}], '#text': 'Conflict could influence [urbanization] in strikingly different ways depending on where it occurs",urbanization,LOCATED_IN,7.1,MEDIUM
63,"We then turn to evidence on the migration channel itself.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.1.', '#text': 'Conflict'}, 'p': [{'ref': [{'@type': 'bibr', '#text': '25'}, {'@type': 'bibr', '#text': '26'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}], '#text': 'Conflict could influence [urbanization] in strikingly different ways depending on where it occurs",urbanization,OCCURS_DURING,study_period,MEDIUM
63,"We then turn to evidence on the migration channel itself.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.1.', '#text': 'Conflict'}, 'p': [{'ref': [{'@type': 'bibr', '#text': '25'}, {'@type': 'bibr', '#text': '26'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}], '#text': 'Conflict could influence [urbanization] in strikingly different ways depending on where it occurs",urbanization,INCREASES_BY,urban_growth_rate,HIGH
63,"We then turn to evidence on the migration channel itself.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.1.', '#text': 'Conflict'}, 'p': [{'ref': [{'@type': 'bibr', '#text': '25'}, {'@type': 'bibr', '#text': '26'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}], '#text': 'Conflict could influence [urbanization] in strikingly different ways depending on where it occurs",urbanization,LOCATED_IN,study_area,HIGH
65,"(2004)'}], '#text': 'With regard to population growth, the literature analysis revealed that only rural population growth can be considered as driver of [LULCC] with high agreement, while [urban] population growth was considered with medium agreement (33%, see Table )",growth,CAUSES,LULCC,HIGH
65,"(2004)'}], '#text': 'With regard to population growth, the literature analysis revealed that only rural population growth can be considered as driver of [LULCC] with high agreement, while [urban] population growth was considered with medium agreement (33%, see Table )",growth,CAUSES,LULCC,MEDIUM
66,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}",Africa,LOCATED_IN,Africa,HIGH
66,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}",Africa,LOCATED_IN,Africa,MEDIUM
66,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}",Africa,LOCATED_IN,Africa,MEDIUM
66,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}",growing,AFFECTS,Africa,HIGH
68,"[Land use] and [land cover] in West African savannas are mainly driven by population pressure, infrastructural drivers (road network) and legal constraint in the framework of nature protection",drivers,CAUSES,land_cover_change,HIGH
68,"[Land use] and [land cover] in West African savannas are mainly driven by population pressure, infrastructural drivers (road network) and legal constraint in the framework of nature protection",savannas,LOCATED_IN,West_Africa,HIGH
69,"Furthermore, the general infrastructural develop-ment of electricity and hospitals, for example, as drivers of [[urban] development] could not be confirmed",urban,CAUSES,urban,HIGH
69,"Furthermore, the general infrastructural develop-ment of electricity and hospitals, for example, as drivers of [[urban] development] could not be confirmed",urban,AFFECTS,urban,HIGH
69,"Furthermore, the general infrastructural develop-ment of electricity and hospitals, for example, as drivers of [[urban] development] could not be confirmed",urban,LOCATED_IN,development,LOW
75,"As expected, plant species statistically linked with frequent fire landscape units are typical of sudanian [savanna]: many are endemic to the sudanian area, many are perennial [grasses] ethe constituent life form of sudanian savannas , some are woody species typical of sudanian woodlands e",savanna,LOCATED_IN,sudanian area,HIGH
76,"The interrelations between [savanna] fire regimes and vegetation dynamics are indeed complex; they are conditioned by various climatic, biotic and anthropogenic factors involving different feedbacks and they are still not well understood either in their ecological or in their human dimensions .'}, {'ref': [{'@type': 'bibr', '@target': '#b9', '#text': '(Chuvieco et al., 2008;'}, {'@type': 'bibr', '@target': '#b54', '#text': 'Lentile et al., 2006;'}, {'@type': 'bibr', '@target': '#b56', '#text': 'Mayaux et al., 2003'}, {'@type': 'bibr', '@target': '#b57', '#text': 'Mayaux et al., , 2007) )'}, {'@type': 'bibr', '@target': '#b48', '#text': '(Justice et al., 2006)'}, {'@type': 'bibr', '@target': '#b13', '#text': '(De Klerk, 2008)'}, {'@type': 'bibr', '@target': '#b49', '#text': '(Justice et al., 2002)'}, {'@type': 'bibr', '@target': '#b37', '#text': 'Giglio (2005)'}],",savanna,AFFECTS,vegetation_dynamics,HIGH
77,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",increase,INCREASES_BY,9% (to 16%),HIGH
77,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",increase,INCREASES_BY,9% (from 7% to 16%),HIGH
77,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",savanna,LOCATED_IN,Sahelian,HIGH
77,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",increase,CAUSES,savanna,MEDIUM
78,New settlements caused an initial decrease of the vegetation due to [[land use]] change (bushland to fields),change,CHANGE_TO,bushland,MEDIUM
78,New settlements caused an initial decrease of the vegetation due to [[land use]] change (bushland to fields),change,CHANGE_TO,fields,HIGH
79,"Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical [deforestation]",road,INCREASES_BY,population,HIGH
79,"Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical [deforestation]",expansion,ENABLES,deforestation,HIGH
79,"Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical [deforestation]",deforestation,OCCURS_DURING,tropical,MEDIUM
79,"Apparently, the proximity of Yale ´to the road made influx of people higher than Boala, which is in line with the important synergetic cause-effect relation between population-infrastructure and agricultural expansion on tropical [deforestation]",Boala,LOCATED_IN,tropical,HIGH
80,"Recently, obtained a [deforestation] rate of 11% in the [grassland] areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso",deforestation,CAUSES,forest_loss,HIGH
80,"Recently, obtained a [deforestation] rate of 11% in the [grassland] areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso",grassland,DECREASES_BY,11%,HIGH
80,"Recently, obtained a [deforestation] rate of 11% in the [grassland] areas and a degradation of 17% in the woodlands of the northern region of Ghana for the period 1984-1999, which has a similar ecological zone as the southern Burkina Faso",Ghana,LOCATED_IN,Ghana,HIGH
81,During this time the land required for [agriculture] increased significantly so that large areas of natural bushland were deforested for [cultivation] purposes,agriculture,INCREASES_BY,significant amount,HIGH
81,During this time the land required for [agriculture] increased significantly so that large areas of natural bushland were deforested for [cultivation] purposes,agriculture,CAUSES,deforestation,MEDIUM
82,The capacity of some of these so-called dry [forest] species to colonize unburnt areas has also been demonstrated; thus some wooded areas may be recent,forest,LOCATED_IN,wooded areas,HIGH
83,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",expansion,CAUSES,savanna,HIGH
83,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",expansion,CHANGE_TO,cropland,HIGH
83,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",Sudan,CAUSES,abandonment,HIGH
84,National and local management policies are currently addressing the decrease in woody vegetation and related soil [erosion] by encouraging more sustainable practices such as [tree] planting on marginal land or the adoption of FMNR,decrease,CAUSES,erosion,HIGH
84,National and local management policies are currently addressing the decrease in woody vegetation and related soil [erosion] by encouraging more sustainable practices such as [tree] planting on marginal land or the adoption of FMNR,decrease,CAUSES,decrease,HIGH
85,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune,decrease,CAUSES,concentration,HIGH
86,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune,decrease,CAUSES,concentration,HIGH
88,"In fact, a major reason why farmers grow [cotton] is to gain access to fertilisers for their subsistence food",grow,INCREASES_BY,fertiliser_access,MEDIUM
90,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",1975-1990,OCCURS_DURING,period,HIGH
90,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",1990-2010,OCCURS_DURING,period,HIGH
90,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",1.28 million,DECREASES_BY,26,HIGH
