article_id,sentence,relation_type,matched_text_by_pattern,entities_in_match
Article_19,| Mangrove: Dense and evergreen forest formation often flooded by tide and associated with the mangrove coastal ecosystem.,LULC_TRANSFORMATION,evergreen forest,"[{'text': 'evergreen forest', 'label': 'LULC'}]"
Article_19,"Other Non-Forest Formation Natural grasslands, Savanna, Park Savanna, Steppe Savanna, Woody-Grassland Savanna, ""Campinarana"" in the Amazon biome.",LULC_TRANSFORMATION,Grassland Savanna,"[{'text': 'Grassland', 'label': 'LULC'}, {'text': 'Savanna', 'label': 'LULC'}]"
Article_19,"The minority land cover classes in terms of extent were non-forest formation (63.4 Mha, 7.48%), followed by surface water with 12.5 Mha (1.47%) and non-vegetated area (2.17 Mha, 0.25%) (Table At the country level, the water class showed the lowest annual average percent change (0.17% per year; s ± 7.12%) with a more pronounced trend towards reducing surface water between 2010 and 2017 in the Caatinga and Cerrado biomes (Figure Non-vegetated area was the LULC class with the smallest extent, but showed a rapid increase in area from 1985 to 2017 with an average expansion rate of 1.72% per year (s ± 10.2%) in the whole country (Figure The farming class also expanded between 1985 and 2017 at rate of 1.7% per year (s ± 3.8%) (Figure The non-forested formation class showed an annual change of -0.34% per year (s ± 2.8%) between 1985 and 2017.",CHANGE_HAS_MAGNITUDE,change of -0.34,"[{'text': 'change', 'label': 'CHANGE'}]"
Article_19,"Overall, the pasture area increased by 45.4 Mha in Brazil from 1985 to 2017 (Table River, lakes and ocean (RLO), as well as urban infrastructure LULC classes had an increase in area between 1985 and 2017 of 1.0 Mha each (Table | LULC Biome Transitions: We estimated 63.5% of the Brazilian territory did not undergo change in its original land cover class from 1985 to 2017, totaling 540.7 Mha (Table The vegetation loss totaled 102.4 Mha, representing 33% of the total area that underwent LULC change between 1985 and 2017 (i.e., 310.8 Mha; Table Shifting land-use was responsible for 31.6% of the total LULC change between 1985 and 2017 (Table Remote Sens.",CHANGE_HAS_MAGNITUDE,increased by 45.4,"[{'text': 'increased', 'label': 'CHANGE'}, {'text': '45.4', 'label': 'CARDINAL'}]"
Article_19,"Pasture expanded by 46% in the country, mainly in the Amazon and Pantanal biomes, while agriculture increased by 172%, mostly in the Atlantic Forest replacing old pastures and in the Cerrado biomes converting savanna and grasslands formations.",CHANGE_HAS_MAGNITUDE,expanded by 46,"[{'text': 'expanded', 'label': 'CHANGE'}]"
Article_19,"Pasture expanded by 46% in the country, mainly in the Amazon and Pantanal biomes, while agriculture increased by 172%, mostly in the Atlantic Forest replacing old pastures and in the Cerrado biomes converting savanna and grasslands formations.",CHANGE_HAS_MAGNITUDE,increased by 172,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_20,Agriculture lands and water bodies were dynamically transformed into impervious infrastructures in order to meet the demands of a rapidly expanding population.,LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_20,"Hence, a significant decrease in agricultural land (-1.50 % and -5.93 %) and water bodies (-0.47 % and -2.24 %) were also identified in 2029 and 2039, respectively.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_20,"The total area of agricultural lands was decreased by 8.27 % from 1999 to 2019, while the built-up area was increased by 7.81 %.",CHANGE_HAS_MAGNITUDE,decreased by 8.27,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_20,"The total area of agricultural lands was decreased by 8.27 % from 1999 to 2019, while the built-up area was increased by 7.81 %.",CHANGE_HAS_MAGNITUDE,increased by 7.81,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_20,"Besides, negative impacts of seasonal temperature rise include a decline in the number and quality of crops as a consequence of the low growth cycle for high-temperature rises, decrease in the sugar content and fruit store stability, poor coloring, rising weeds, and harmful insects in crops and decreasing soil productivity (Figure According to the Bangladesh Agricultural Development Corporation, ""Boro rice"" production will significantly be decreased from 13.5 % to 2.6 % in upcoming years, with an increase of 2 C mean temperature in the study region.",CHANGE_HAS_MAGNITUDE,increase of 2,"[{'text': 'increase', 'label': 'CHANGE'}, {'text': '2', 'label': 'CARDINAL'}]"
Article_20,The LULC analysis demonstrates a significant increase in the built-up area with a net increase of þ7.81 % from 1999 to 2019.,CHANGE_HAS_MAGNITUDE,increase of þ7.81,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_20,"Meanwhile, agricultural land and water bodies were decreased by -8.27 % and -4.75 % from 1999 to 2019.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_20,"Meanwhile, agricultural land and water bodies were decreased by -8.27 % and -4.75 % from 1999 to 2019.",CHANGE_HAS_MAGNITUDE,decreased by -8.27,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_21,"Agricultural and settlements have grown significant expansion in the study watershed, increasing by 24.49% and 54.78%, respectively during this period .",CHANGE_HAS_MAGNITUDE,increasing by 24.49,"[{'text': 'increasing', 'label': 'CHANGE'}]"
Article_22,"According to the results obtained through a 36-year research, the rates of settlement, forest, and water body areas have increased by 11.91%, 13.67%, and 0.82%, respectively whereas the rates of barren land and agricultural areas have reduced by 22.25% and 4.15%, respectively.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_22,"According to the results obtained through a 36-year research, the rates of settlement, forest, and water body areas have increased by 11.91%, 13.67%, and 0.82%, respectively whereas the rates of barren land and agricultural areas have reduced by 22.25% and 4.15%, respectively.",CHANGE_HAS_MAGNITUDE,increased by 11.91,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_22,The land use map modeled for 2040 predicts the settlement areas to expand by 5.46% and the agricultural areas to shrink by 4.21% by comparison with 2021.,CHANGE_HAS_MAGNITUDE,expand by 5.46,"[{'text': 'expand', 'label': 'CHANGE'}]"
Article_22,"An expansion was noted in forests by 13.67%, in built-up areas by 11.91%, and in water body areas by 0.82% during this 36-year period.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_22,"Figure The statistics for 2040 year predict that of the total area, 30.11% will be agricultural area, 25.25% water body area, 24.78% forest, 19.18% built-up area, and 0.68% barren area.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_22,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",CHANGE_HAS_MAGNITUDE,expand by 5.46,"[{'text': 'expand', 'label': 'CHANGE'}]"
Article_22,The future changes in the water body areas (0.03%) are predicted to be insigni cant.,LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_22,This partial expansion in the water body areas was due to the construction of arti cial ponds with landscape in golf courses.,LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_23,"The LULC of Sharqiyah is divided into four classes (vegetation, builtup, bare land, and water bodies) based on Landsat pictures for an increase in the built-up area; furthermore, there is a decline in the vegetation cover.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_23,"In contrast, vegetation reduced substantially from 66.15 % to 53.39 %, and bare land decreased by 5.63 %.",CHANGE_HAS_MAGNITUDE,decreased by 5.63,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_24,"After 1998, the urban settlement area in Samsun increased by 96.32% and grew to approximately 32 km², and this growth generally developed towards agricultural areas.",CHANGE_HAS_MAGNITUDE,increased by 96.32,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_24,The decrease in green areas shows the transformation into bare soil areas.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_26,"Other cultivated areas of cropland, built-up, oil palm, and banana plantation covers increased by 21,360 ha (10.5%), 3152 ha (1.6%), 5721 ha (2.8%), and 1823 ha (0.9%), while dense forest, rubber and tea plantation covers decreased by -44,945 ha (-22.1%), -15,557 ha (-7.7%), and -110 ha (-0.1%), respectively, from 1986 to 2018.",CHANGE_HAS_MAGNITUDE,"increased by 21,360","[{'text': 'increased', 'label': 'CHANGE'}]"
Article_26,"Other cultivated areas of cropland, built-up, oil palm, and banana plantation covers increased by 21,360 ha (10.5%), 3152 ha (1.6%), 5721 ha (2.8%), and 1823 ha (0.9%), while dense forest, rubber and tea plantation covers decreased by -44,945 ha (-22.1%), -15,557 ha (-7.7%), and -110 ha (-0.1%), respectively, from 1986 to 2018.",CHANGE_HAS_MAGNITUDE,"decreased by -44,945","[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_26,"Beyond 2000, much of the expansion in built-up areas and other cultivated areas of cropland occurred more in non-forest than forest areas in Buea and Limbe subdivisions, leading to a decrease in the area cover of agro-industrial plantations.",LULC_TRANSFORMATION,forest than forest,"[{'text': 'forest', 'label': 'LULC'}, {'text': 'forest', 'label': 'LULC'}]"
Article_27,"The outcomes revealed that most urbanization occurred in the outskirts of the cities, where previously there were bare soil lands.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_27,The results showed that urban areas increased by approximately 628% between 1990 and 2022.,CHANGE_HAS_MAGNITUDE,increased by approximately,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_27,The results showed that there had been a significant increase in urbanization and a decrease in bare soil and green spaces during this period.,LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_27,"Most of the urbanization occurred in the outskirts of the cities, where previously there was bare soil.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_28,"LU/LC analysis shows that there was a drastic decrease of grassland by 15.64% and shrubland by 9.56% while an increase of agricultural land and settlement by 18.01% and 13.01%, respectively, for 30 years.",CHANGE_HAS_MAGNITUDE,decrease of grassland by 15.64,"[{'text': 'decrease', 'label': 'CHANGE'}, {'text': 'grassland', 'label': 'LULC'}]"
Article_28,Agricultural land increased by 18.01% during the study period.,CHANGE_HAS_MAGNITUDE,increased by 18.01,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_28,"is is due to the increase of population growth that causes the increase in demand for cultivation land for different agricultural products like cereal crops, field crops, industrial crops, whereas the forest area was diminished.",LULC_TRANSFORMATION,cereal crops,"[{'text': 'cereal', 'label': 'LULC'}, {'text': 'crops', 'label': 'LULC'}]"
Article_30,Analysis reveals that forests have undergone continuous change and have witnessed a dramatic decline leading to the loss of 16.9 hectares of (-2.45% net decline) forest during this two-year period.,CHANGE_HAS_MAGNITUDE,loss of 16.9,"[{'text': 'loss', 'label': 'CHANGE'}]"
Article_31,"The results show that the type of built-up land cover and open land continued to increase in area, while agricultural and non-agricultural areas continued to experience a decrease in area and water bodies did not experience a decrease in area.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_33,"Areas without a specific cover, such as areas of bare rock or bare soil, are also regarded as land covers.",LULC_TRANSFORMATION,bare soil,"[{'text': 'bare soil', 'label': 'LULC'}]"
Article_33,"For instance, a given forest category could show an absolute change of -2 ha, which could be erroneously interpreted as very little change, but in fact is the result of two opposing processes: the deforestation of 202 ha compensated by the reforestation of 200 ha.",CHANGE_HAS_MAGNITUDE,change of -2,"[{'text': 'change', 'label': 'CHANGE'}]"
Article_33,"For instance, a given forest category could show an absolute change of -2 ha, which could be erroneously interpreted as very little change, but in fact is the result of two opposing processes: the deforestation of 202 ha compensated by the reforestation of 200 ha.",CHANGE_HAS_MAGNITUDE,result of two,"[{'text': 'result', 'label': 'CHANGE'}, {'text': 'two', 'label': 'CARDINAL'}]"
Article_33,The built-up area increased by over 50%.,CHANGE_HAS_MAGNITUDE,increased by over,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_33,"Over the period 2000-2018, the area covered by these categories increased by around 2.5% a year.",CHANGE_HAS_MAGNITUDE,increased by around,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_36,"However, the expansion of the urban class is not substantial with respect to the total area of the catchment, i.e., an increase of 1.5% (50.2 km 2 ).",CHANGE_HAS_MAGNITUDE,increase of 1.5,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_36,"The estimated ET, WYLD, and SURQ in the dynamic land use model increased by 0.9%, 1%, and 2.8%, respectively.",CHANGE_HAS_MAGNITUDE,increased by 0.9,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_36,A possible reason for the increase in ET is the conversion of forest to irrigated paddy fields.,LULC_TRANSFORMATION,paddy fields,"[{'text': 'paddy fields', 'label': 'LULC'}]"
Article_36,"Also, a positive impact on SURQ and WYLD can be observed as almost 80% of the irrigation water for the expanded rice fields are taken from outside the catchment (Sefidrood river).",LULC_TRANSFORMATION,rice fields,"[{'text': 'rice fields', 'label': 'LULC'}]"
Article_38,"The agricultural land in 1990 was 41,587.21 ha which increased to 57,868.95 ha in 2019 with an average growth rate of 39.15%.",CHANGE_HAS_MAGNITUDE,"increased to 57,868.95","[{'text': 'increased', 'label': 'CHANGE'}]"
Article_38,"The predicted LULC map shows that the forest cover will further degrade from 16.94% in 2019 to 8.07% in 2050, while agricultural land would be expanded to 69,021.20 ha and 69,264.44 ha in 2035 and 2050 from 57,868.95 ha in 2019.",CHANGE_HAS_MAGNITUDE,"expanded to 69,021.20","[{'text': 'expanded', 'label': 'CHANGE'}]"
Article_38,"| Forest Land: Areas covered with dense trees (deciduous forests, evergreen forests, mixed forests).",LULC_TRANSFORMATION,evergreen forests,"[{'text': 'evergreen forests', 'label': 'LULC'}]"
Article_38,"The predicted results of the year 2035 and 2050 show an increase in agriculture, water body and urban land.",LULC_TRANSFORMATION,water body,"[{'text': 'water body', 'label': 'LULC'}]"
Article_39,The changing land use and land cover patterns show that the coal mine areas have been increased by 15% and urban areas also increased by 60%.,CHANGE_HAS_MAGNITUDE,increased by 15,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_39,The changing land use and land cover patterns show that the coal mine areas have been increased by 15% and urban areas also increased by 60%.,CHANGE_HAS_MAGNITUDE,increased by 60,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_39,"settlement, water bodies, coal mines, agricultural land, fallow land, industry, vegetation, and wasteland.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_39,"The changing trend of ground surface temperature depicts that maximum and minimum temperature during the summer season has been increased about 0.15 °C and Moreover, the unused fallow land should be converted into vegetation land so that increasing surface temperature will be under control.",CHANGE_HAS_MAGNITUDE,increased about,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_41,"The simulation illustrates that the 2025 projected map indicates the trend observed from 2009 to 2018, revealing that the natural forest area will continue to decrease by more than 23 thousand ha.",CHANGE_HAS_MAGNITUDE,decrease by more,"[{'text': 'decrease', 'label': 'CHANGE'}]"
Article_41,"By contrast, rubber, residential area, and agricultural land are predicted to increase by approximately 460 ha, 3000 ha, and 20,000 ha, respectively.",CHANGE_HAS_MAGNITUDE,increase by approximately,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_43,"From the above results, the following conclusions have been drawn: (1) The total ESV during the study period was reduced from USD 7.1557 million in 2010 to USD 6.5941 million in 2020, a reduction of -8.51%.",CHANGE_HAS_MAGNITUDE,reduction of -8.51,"[{'text': 'reduction', 'label': 'CHANGE'}]"
Article_44,Agriculture lands and water bodies were dynamically transformed into impervious infrastructures in order to meet the demands of a rapidly expanding population.,LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_44,"Hence, a significant decrease in agricultural land (-1.50 % and -5.93 %) and water bodies (-0.47 % and -2.24 %) were also identified in 2029 and 2039, respectively.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_44,"The total area of agricultural lands was decreased by 8.27 % from 1999 to 2019, while the built-up area was increased by 7.81 %.",CHANGE_HAS_MAGNITUDE,decreased by 8.27,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_44,"The total area of agricultural lands was decreased by 8.27 % from 1999 to 2019, while the built-up area was increased by 7.81 %.",CHANGE_HAS_MAGNITUDE,increased by 7.81,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_44,"Besides, negative impacts of seasonal temperature rise include a decline in the number and quality of crops as a consequence of the low growth cycle for high-temperature rises, decrease in the sugar content and fruit store stability, poor coloring, rising weeds, and harmful insects in crops and decreasing soil productivity (Figure According to the Bangladesh Agricultural Development Corporation, ""Boro rice"" production will significantly be decreased from 13.5 % to 2.6 % in upcoming years, with an increase of 2 C mean temperature in the study region.",CHANGE_HAS_MAGNITUDE,increase of 2,"[{'text': 'increase', 'label': 'CHANGE'}, {'text': '2', 'label': 'CARDINAL'}]"
Article_44,The LULC analysis demonstrates a significant increase in the built-up area with a net increase of þ7.81 % from 1999 to 2019.,CHANGE_HAS_MAGNITUDE,increase of þ7.81,"[{'text': 'increase', 'label': 'CHANGE'}]"
Article_44,"Meanwhile, agricultural land and water bodies were decreased by -8.27 % and -4.75 % from 1999 to 2019.",LULC_TRANSFORMATION,water bodies,"[{'text': 'water bodies', 'label': 'LULC'}]"
Article_44,"Meanwhile, agricultural land and water bodies were decreased by -8.27 % and -4.75 % from 1999 to 2019.",CHANGE_HAS_MAGNITUDE,decreased by -8.27,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_46,"For example, if forest area decreased by 1 ha and crop area increased by 1 ha, then we assigned 1 ha as converted from forest to crop.",LULC_HAS_AREA,forest area,"[{'text': 'forest', 'label': 'LULC'}]"
Article_46,"For example, if forest area decreased by 1 ha and crop area increased by 1 ha, then we assigned 1 ha as converted from forest to crop.",LULC_HAS_AREA,forest area decreased,"[{'text': 'forest', 'label': 'LULC'}]"
Article_46,"For example, if forest area decreased by 1 ha and crop area increased by 1 ha, then we assigned 1 ha as converted from forest to crop.",LULC_HAS_AREA,crop area,"[{'text': 'crop', 'label': 'LULC'}]"
Article_46,"For example, if forest area decreased by 1 ha and crop area increased by 1 ha, then we assigned 1 ha as converted from forest to crop.",LULC_HAS_AREA,crop area increased,"[{'text': 'crop', 'label': 'LULC'}]"
Article_46,"For example, if forest area decreased by 1 ha and crop area increased by 1 ha, then we assigned 1 ha as converted from forest to crop.",LULC_TRANSFORMATION,forest to crop,"[{'text': 'forest', 'label': 'LULC'}, {'text': 'crop', 'label': 'LULC'}]"
Article_46,"It is possible, however, that 2 ha was deforested and 1 ha was converted from crop to forest, thus yielding the same net change: 1 ha from forest to cropland.",LULC_TRANSFORMATION,crop to forest,"[{'text': 'crop', 'label': 'LULC'}, {'text': 'forest', 'label': 'LULC'}]"
Article_46,"For example, if both forest and other land each decreased by 1 ha while cropland and pasture each increased by 1 ha, it was unclear how much forest area was converted to crop as opposed to pasture and how much other land was converted to either.",CHANGE_HAS_MAGNITUDE,decreased by 1,"[{'text': 'decreased', 'label': 'CHANGE'}]"
Article_46,"For example, if both forest and other land each decreased by 1 ha while cropland and pasture each increased by 1 ha, it was unclear how much forest area was converted to crop as opposed to pasture and how much other land was converted to either.",CHANGE_HAS_MAGNITUDE,increased by 1,"[{'text': 'increased', 'label': 'CHANGE'}]"
Article_46,"First, we compared each country's area of other land in 1980 (based on our extrapola-tion of FAOSTAT data) with that country's area of forest fallow (shifting cultivation) in 1980 as reported by FAO/UNEP Annual increases (or decreases) in shifting cultivation were based on FCO between 1990 and 2020 and were estimated to remain a constant fraction of other land for prior years (1700 to 1980).",LULC_TRANSFORMATION,forest fallow,"[{'text': 'forest', 'label': 'LULC'}, {'text': 'fallow', 'label': 'LULC'}]"
Article_46,"For example, the degradation interpretation applies to more than the conversion of forest to croplands and the simultaneous abandonment of croplands.",LULC_TRANSFORMATION,forest to croplands,"[{'text': 'forest', 'label': 'LULC'}, {'text': 'croplands', 'label': 'LULC'}]"
Article_47,"Compared to 2013, there was an average reduction of 2%, equivalent to 9123.65 ha of native forest (Caatinga), while in 2019, the reduction was only 0.45% (Table In 2013, the areas occupied with pasture represented 11.7%, agriculture 7.0%, and the mosaic of agriculture and pasture 8.64%, while areas with urban infrastructure and water bodies presented an occupation of 1.06 and 1.40%, respectively (Figure Drought is costly to Brazil, for it causes strong impacts on agriculture and cattle ranching.",CHANGE_HAS_MAGNITUDE,reduction of 2,"[{'text': 'reduction', 'label': 'CHANGE'}]"
