sentence_id,document_id,sentence_number,sentence_text,similarity_score,matching_query,matching_query_idx
Article_75_54,Article_75,54,the extracted and predicted LC maps showed a large expansion of saline lands in the basin.,0.9267218,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_26_21,Article_26,21,"The sub-region presents the best example of historically human-induced progressive conversion and changes in lowland dense forest and grassland cover in Cameroon, predominantly for plantation agriculture, a legacy of German colonial administration.",0.92666787,The transhumance shed provides a useful geographic scale between the individual village territory and the regional agro pastoral belt that allows for a more accurate assessment of the relationship between herd mobility crop damage and conflict that reflects the environmental changes taking place across dryland West Africa. ,161
Article_94_21,Article_94,21,"The sub-region presents the best example of historically human-induced progressive conversion and changes in lowland dense forest and grassland cover in Cameroon, predominantly for plantation agriculture, a legacy of German colonial administration.",0.92666787,The transhumance shed provides a useful geographic scale between the individual village territory and the regional agro pastoral belt that allows for a more accurate assessment of the relationship between herd mobility crop damage and conflict that reflects the environmental changes taking place across dryland West Africa. ,161
Article_68_41,Article_68,41,"Similarly, Dense mixed forest and Sal mixed forest types reduced to 66.72% in 2018 against 69% in 2008 due to increasing biotic interference inside the biosphere reserve ( Table Medium resolution (Landsat 7 image) and high-resolution satellite images (i.e.",0.92579997,The area of natural vegetation forest woodland and tree savanna that was considered degraded increased by 4.1% between the first and the second time periods i.e,230
Article_77_47,Article_77,47,"Elgon forest and adjacent regions (1986): Between 1977 and 2019, the size of land under natural forest also declined by 18%, bamboo forests declined by 15.19%, while grasslands declined by 13% (Figure | | DISCUSS ION: Results of this analysis on trends of land use/land cover changes between 1973 and 2019 clearly show that there were notable changes Fallow Land Planted Forest Tea with an annual average decline of 1.24%.",0.92564225,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_91_7,Article_91,7,"It is worth noting that a decrease in natural forests can drive an increase in soil erosion, fostering siltation in the water reservoirs located in the sub-basin.",0.92449176,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_43_78,Article_43,78,"Land-use types changed significantly from 2010 to 2020 due to intensification of human activities, proved by the dramatic farmland expansion and increased artificial surfaces which have led to the large shrinkage of grazing land, shrubland and forests.",0.924445,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_95_159,Article_95,159,"Figure | Discussion: | Land Use/Land Cover Changes: The LULCC analysis of Finchaa catchment over 30 years (1987-2017) revealed a dramatic LULCC (Table Although deforestation occurred throughout the catchment, the high decline of forest cover was because of the expansion of the commercial farms, land expansion, and continuous wood extraction.",0.92402315,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_71_82,Article_71,82,"This means that as the PD of CL, ED of bare soil and residential and MPA of GL increase, the proportion of | Discussion: | LULC Dynamics in the Yangambi Watersheds: Most of the five watersheds have DF as the highest proportion of LULC.",0.92317986,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_77_50,Article_77,50,"The result imply that increase in the size of land under agriculture is the major contributor to a decline in natural forests, grasslands and bamboo forests in the Mt.",0.9230857,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_100_43,Article_100,43,"The maximum change is noticed from the built-up area which has increased to about 326.65 percent, followed by open/fallow land which is increased by about 41.98 percent during 1990-2018.",0.92274916,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_30_56,Article_30,56,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",0.9221899,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",90
Article_94_3,Article_94,3,"Most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial and built-up areas expansion.",0.9220709,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_26_3,Article_26,3,"Most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial and built-up areas expansion.",0.9220709,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_19_62,Article_19,62,"The total extent of the farming class reached 172 Mha in that year, with the second largest extent of land cover (20.3% of the territory).",0.9218693,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_12_88,Article_12,88,"Lack of awareness about the negative impacts of forest conversion, distribution of land and other resources are the socio-cultural causes for the expansion of agricultural lands at the expense of other LULC types, mainly wetland and forests.",0.9218439,Only a small percentage of people interviewed stated that overgrazing war and conflict inappropriate irrigation and the occurrence and spread of weeds and invader plants and bush encroachment could contribute to land degradation in the study area. ,212
Article_37_19,Article_37,19,"These rapid changes have therefore resulted in increased land consumption, which causes the modification and alterations in the status of LU-LC and the temperature pattern associated with them.",0.92178434,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_26_82,Article_26,82,"However, most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial and built-up areas expansion.",0.9217022,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_94_82,Article_94,82,"However, most of the deforestation and LULCC was caused by expansion of other cultivated areas of cropland by smallholders, contrary to the widely publicised narrative of agro-industrial and built-up areas expansion.",0.9217022,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_115_41,Article_115,41,"Among all the changes of LULC classes, the rapid expansion of built-up and orchards and the dramatic decrease of barren land were the most significant changes in the Dong Trieu district.",0.9216622,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_102_6,Article_102,6,"Agricultural change represented 15.9% of the change, with total agricultural spatial extent showing only a slight increase of 4778 km 2 , however there was a substantial decline (7.94%) in pasture/hay during this time, transitioning mostly to cultivated crop.",0.9214657,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_33_91,Article_33,91,"The most notable LUC dynamics are reforestation and the increase in built-up areas, which are mainly concentrated along the river.",0.92119664,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_22_8,Article_22,8,"According to the results obtained through a 36-year research, the rates of settlement, forest, and water body areas have increased by 11.91%, 13.67%, and 0.82%, respectively whereas the rates of barren land and agricultural areas have reduced by 22.25% and 4.15%, respectively.",0.92115057,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_19_8,Article_19,8,"The 33 years of LULC change data series revealed that Brazil lost 71 Mha of natural vegetation, mostly to cattle ranching and agriculture activities.",0.92103225,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_110_56,Article_110,56,Savannah land cover saw a significant reduction to 9365.4 hectares (16.2%) which is a considerable reason for a rise in settlement ( Fig.,0.9209944,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_111_40,Article_111,40,"In contrast, evergreen forest shows a relatively low correlation with other hydrological components (Table In general, the surface runoff and water yield are profoundly related to change in the cultivated and urban areas.",0.9208265,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_51_59,Article_51,59,"The area shows significant changes in soil cover in the period 2001-2017, influencing surface runoff, such as increased sugar cane cultivation and pasture, in the entire sub-basin; and decrease of exposed soil areas.",0.9206233,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_61_24,Article_61,24,": Trends in South Asia are largely driven by India and Sri Lanka, which contain the largest remaining wild populations (Table The relationship between people and nature today is complicated by the ongoing expansion of population centers, agriculture sectors, and extractive economic activity that places additional pressure on forest resources This longer perspective also contextualizes another recent study in Nepal that documented changes in forest cover between 1930 and 2020 using topographic maps and satellite imagery Table quantified directly using data on forest cover change over the past century but negative incidents may be most prevalent in areas of relatively recent deforestation as remnant elephant populations continue to be displaced.",0.9205667,The transhumance shed provides a useful geographic scale between the individual village territory and the regional agro pastoral belt that allows for a more accurate assessment of the relationship between herd mobility crop damage and conflict that reflects the environmental changes taking place across dryland West Africa. ,161
Article_104_165,Article_104,165,"The Upper Blue Nile basin will face regional water scarcity regardless of whether the precipitation is increased, constant or decreased The study analysis suggests that the impact assessments of the combined land use/land cover and climate change in the Finchaa catchments are well-represented by the SWAT simulations.",0.9205292,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_80_5,Article_80,5,The comparison between the OMR analysis and LULC changes indicated that the warming over NI during 1981-2006 is due to the expansion of the dry land and the decline of dense forest.,0.9204581,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_63_48,Article_63,48,")ey also mentioned that as a result of the resettlement program there was huge loss of forests within which indigenous trees were removed due to selective logging for house construction, fuel wood, and expansion of crop production.",0.9204032,During this time the land required for [agriculture] increased significantly so that large areas of natural bushland were deforested for [cultivation] purposes,81
Article_43_8,Article_43,8,"Uncontrolled changes in LULC from forest land and waterbodies are the main causes of the loss in total ESV, necessitating urgent measures to improve the coastal ecosystem sustainability through effective planning and policies.",0.9203416,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_118_107,Article_118,107,"The major contributing factors to LULC change were the expansion of hydropower and irrigation projects, mostly at the downstream, for expansion of a sugar factory.",0.9202884,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_38_107,Article_38,107,"The major contributing factors to LULC change were the expansion of hydropower and irrigation projects, mostly at the downstream, for expansion of a sugar factory.",0.9202884,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_84_43,Article_84,43,"The growth of plantation forests has also been linked to large-scale government initiated reforestation programs elsewhere | Land cover change and water balance: Although the plant physiology and management govern negative and positive environmental interactions of plantation land cover types, there are significant differences between annual crops and plantations.",0.9202654,Perhaps the most relevant aspect of the relationships between climate change and peasant agriculture is the realization that many small farmers cope with and even prepare for climate change minimizing crop failure through increased use of drought tolerant local varieties water harvesting mixed cropping agroforestry soil conservation practices and a series of other traditional techniques .,203
Article_24_90,Article_24,90,"The matrix represents that the need for accelerated construction was came primarily by the decline in scrub and soil bare, followed by farmland and sparse vegetation.",0.9200337,Thus farmland persists and increases each year at the expense of forest woodland and tree savanna . ,229
Article_117_46,Article_117,46,High population growth and the intention of young people to intrude and farm both forest and area closures are among the significant threats raised during respective discussions.,0.9194123,Only a small percentage of people interviewed stated that overgrazing war and conflict inappropriate irrigation and the occurrence and spread of weeds and invader plants and bush encroachment could contribute to land degradation in the study area. ,212
Article_104_142,Article_104,142,"Consequently, the effect of climate change is decisive compared to the LULCC in the Finchaa catchment.",0.9192472,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_112_26,Article_112,26,"During that period, the sparse forest has slightly increased by 1.47% whilst, agricultural land and urban area have significantly increased by 223.2% (300 km 2 to 973 km 2 ), and 448.84% (29 km 2 to 161 km 2 ) respectively.",0.91905975,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_54_8,Article_54,8,"The expansion of farmlands, for example, has occurred at the expense of grasslands, forestlands and shrublands.",0.91896856,Thus farmland persists and increases each year at the expense of forest woodland and tree savanna . ,229
Article_95_11,Article_95,11,The socio-economic developments and population growth have amplified the prolonged discrepancy between supply and demand for land and water in the catchment.,0.9189466,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_104_105,Article_104,105,The recent evidence by The increase in surface water has increased the total water yield of the catchment.,0.9188863,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_52_82,Article_52,82,The results show the reduction of global tree cover extent and expansion of cropland and settlements.,0.91887635,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_14_114,Article_14,114,"According to the quantitative results of the LULC mapping with the RS approach, the natural land cover has been lost, while built-up areas (larger roads, new development areas) have significantly increased since the beginning of the construction of the Akkuyu NPP.",0.9188425,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_117_3,Article_117,3,It explores the LULCC and the key anthropogenic drivers of the change over the past 20 years through a mix of satellite imagery and a survey of local understandings.,0.91869414,The transhumance shed provides a useful geographic scale between the individual village territory and the regional agro pastoral belt that allows for a more accurate assessment of the relationship between herd mobility crop damage and conflict that reflects the environmental changes taking place across dryland West Africa. ,161
Article_104_137,Article_104,137,"The increase of temperature and decreasing precipitation under a varying LULC in Finchaa catchment shows a decline of surface runoff, groundwater and total water yield, whereas the projected evapotranspiration is increasing.",0.91856563,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_104_132,Article_104,132,"The increase of temperature and decreasing precipitation under a varying LULC in Finchaa catchment shows a decline of surface runoff, groundwater and total water yield, whereas the projected evapotranspiration is increasing.",0.9185656,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_95_180,Article_95,180,The increase in the longer dry season has amplified the effects of water security in the catchment.,0.91844165,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_72_57,Article_72,57,"Economic growth and population increase are the main factors leading to the change of artificial surfaces The conversion of water bodies and cultivated land is mainly concentrated in Jining City, which is also the region where changes in vegetation carbon storage are more pronounced.",0.9184142,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_89_79,Article_89,79,"Built-up and bare soil areas increased by 13.61% and 25.24% from losing water bodies, vegetation and lowland during the study period.",0.9182954,The area of natural vegetation forest woodland and tree savanna that was considered degraded increased by 4.1% between the first and the second time periods i.e,230
Article_94_91,Article_94,91,"The west and south facing slopes of Mount Cameroon harbours high value forests with high endemism and conservation attractiveness, and remains a key biodiversity hot spot, watershed providing clean water, healthy soil and regulating the climate in the central Africa sub-region and beyond.",0.917974,The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic,148
Article_26_91,Article_26,91,"The west and south facing slopes of Mount Cameroon harbours high value forests with high endemism and conservation attractiveness, and remains a key biodiversity hot spot, watershed providing clean water, healthy soil and regulating the climate in the central Africa sub-region and beyond.",0.917974,The Upper Guinean forest is a global biodiversity hotspot and has become one of the most human modified forest ecosystems in the tropics having lost over 80% of its original forest cover with the remainder distributed in a fragmented agriculture forest mosaic,148
Article_95_60,Article_95,60,The result was helpful to see how continuous demand for agricultural land had brought changes in LULC of higher slope areas.,0.91788983,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_48_6,Article_48,6,"Settlement increased by 25.93% whereas water, vegetation, and bare land reduced by 0.08%, 16.00%, and 9.86% respectively.",0.9178402,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_102_112,Article_102,112,"However, the change in wetland extent was greatest in the southeast U.S., driven by precipitation and the historical pattern of human caused land cover change influencing natural processes The change in cropland footprint (including both classes of pasture/ hay and cultivated crop) was nearly static across the 15 years with only a slight increase of 4778 km 2 .",0.91772056,c Proportions of persistence and change trajectories along the rainfall gradient show steep increase in human dominated land cover across the Sahel sub region fewest natural land cover from the Sudano Sahelian through the northern Guinean sub regions and a predominance of recent transitions to human dominated land cover in the recent 2000 2013 compared to the earlier 1975 2000 time interval. http www.tei c.org ns 1.0 xml id fig 6 Fig,192
Article_86_79,Article_86,79,"This paper further summarized how the infrastructural development in IITB has changed the LULC pattern and documented the potential impacts of the same on the green cover, runoff patterns and hydrological balance inside the campus.",0.91761637,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_100_5,Article_100,5,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,0.9175744,The result reveals that the Mono basin Table land cover presents an increase in built up agricultural land and water bodies while the vegetative clusters such as forest savanna and herbaceous savanna have declined for the three study periods,220
Article_21_6,Article_21,6,"On the other hand, bushlands, forest areas, and grasslands LULC classes in the study area decreased from 26.18% to 19.30%, 4.94%-1.92%, and 11.77%-7.16%, respectively.",0.9174652,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_110_55,Article_110,55,There was also an increase in closed forest coverage to a total area of 1314.6 hectares which is 2.3% of the study area.,0.9174418,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_26_62,Article_26,62,"Built-up land expansion due to urban growth usually occurs at the expense of ecological land cover classes in many developing countries In addition, the rapid population growth is causing high land value and increasing competition for farmland, leading to increased food prices, and threatening food security in Buea and Limbe sub-divisions.",0.9172052,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_94_62,Article_94,62,"Built-up land expansion due to urban growth usually occurs at the expense of ecological land cover classes in many developing countries In addition, the rapid population growth is causing high land value and increasing competition for farmland, leading to increased food prices, and threatening food security in Buea and Limbe sub-divisions.",0.9172052,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_2_40,Article_2,40,"While non-agricultural land is reported to have increased, the area of this GIS layer showed a 21.5% decrease when verified by the land cover map.",0.91704106,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_79_60,Article_79,60,"The decline in shrub lands by 40.63%, grasslands by 84.86%, forests by 52.90%, water by 82.03%, and wetlands by 38.44%; coupled with increased cultivated land by 34.25%, bare land by 132.28%, and built-up areas by 461.20% over the period under review indicate that the natural landscapes in the watershed are undergoing destruction at the expense of human settlement and infrastructural developments.",0.9169475,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_16_9,Article_16,9,"From these findings, change detection analysis shows that the area used for agricultural land, barren land, forest, built-up areas, and waterbodies has increased by 5.17%, 3.39%, 0.84%, and 0.26%, respectively, between 1996 and 2019.",0.9168026,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_16_59,Article_16,59,"From these findings, change detection analysis shows that the area used for agricultural land, barren land, forest, built-up areas, and waterbodies has increased by 5.17 %, 3.39 %, 0.84 %, and 0.26 %, respectively, between 1996 and 2019.",0.9168025,"From 1984 to 2001, [tree] savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], [shrub] savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",94
Article_95_148,Article_95,148,The other implication of LULCC revealed in the catchment was the decline of water resources.,0.91675997,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_36_50,Article_36,50,"Also, a positive impact on SURQ and WYLD can be observed as almost 80% of the irrigation water for the expanded rice fields are taken from outside the catchment (Sefidrood river).",0.91661674,The man made LULC changes had a crucial contribution to the increase of actual ET and SURQ mainly by the expansion of cropland in the Niger River and Lake Chad basins.,162
Article_53_23,Article_53,23,"On the other hand, in 1996 about 15.08% of the area was covered by agricultural land against 20.46% area in 1988 showed a decrease in cultivated land.",0.91660804,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_38_61,Article_38,61,"Change analysis was performed by using the classified maps | Percent of change =: Ay -Ax Ax * 100 Rate of change (ha/year) = Ay -Ax T where Ax is the area of LULC (ha) of an earlier land cover image, Ay is the area of LULC (ha) of a later land cover image, T is the time interval between Ax and Ay in years.",0.9165942,The average annual rate of change between two periods was computed by a slightly modified formula used by A2 A1 A1 100 T2 T1 where Average annual rate of change % A1 Amount of land cover type in time 1 T1 A2 Amount of land cover type in time 2 T2 .,176
Article_118_61,Article_118,61,"Change analysis was performed by using the classified maps | Percent of change =: Ay -Ax Ax * 100 Rate of change (ha/year) = Ay -Ax T where Ax is the area of LULC (ha) of an earlier land cover image, Ay is the area of LULC (ha) of a later land cover image, T is the time interval between Ax and Ay in years.",0.9165942,The average annual rate of change between two periods was computed by a slightly modified formula used by A2 A1 A1 100 T2 T1 where Average annual rate of change % A1 Amount of land cover type in time 1 T1 A2 Amount of land cover type in time 2 T2 .,176
Article_84_6,Article_84,6,Results showed that the percentage of the plantation land cover types decreased slightly between 2009 (25.4%) and 2017 (22.5%).,0.91658115,A high increase occurred for farm fallow land rising from 0.022% of the protected area in 1984 to 12.59% in 2013 by which time it was the largest single cover class Fig.4,223
Article_50_540,Article_50,540,"Existing policies focused on GHG management in agriculture and forestry is less advanced in Africa than in Latin American and Asia, however, The agricultural sector throughout the world is influenced by many policies that affect production practices, crop choices and land use.",0.9165029,Perhaps the most relevant aspect of the relationships between climate change and peasant agriculture is the realization that many small farmers cope with and even prepare for climate change minimizing crop failure through increased use of drought tolerant local varieties water harvesting mixed cropping agroforestry soil conservation practices and a series of other traditional techniques .,203
Article_94_77,Article_94,77,"This is consistent with reports that arable production in Cameroon is declining or stagnating, and the situation is pushing more people to facing the problems of food insecurity The expert stakeholders ranked sustainable land management, good governance, conservation, and reforestation, respectively, as the highest impact drivers and predictors of green economy development, with only small variations in stakeholder perceptions between the sub-divisions.",0.9164722,Perhaps the most relevant aspect of the relationships between climate change and peasant agriculture is the realization that many small farmers cope with and even prepare for climate change minimizing crop failure through increased use of drought tolerant local varieties water harvesting mixed cropping agroforestry soil conservation practices and a series of other traditional techniques .,203
