sentence_id,query_id,query_text,paper_id,chunk_idx,rank,similarity_score,paper_title,section_name,chunk_text,RELEVENT_RAHAM,RELEVANT_SARAH,COMMENT_SARAH
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,26,59,2,0.7136147,"Land Use/Land Cover Change Impact on Hydrological Process in the Upper Baro Basin, Ethiopia",content,"Forest land and shrubland decreased after 1987-2002, with -3.41% and -4.65%, respectively (Figure 
 In the last 30 years, the study displays an increase in agriculture, bare land, urban, and shrubland, whereas the forest, grassland, water, and wetland were noted declined.",YES,2,
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",28,53,9,0.6578185,Land use and land cover changes along the China-Myanmar Oil and Gas pipelines -Monitoring infrastructure development in remote conflict-prone regions,content,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",YES,1,no quantitative
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,28,53,5,0.55929232,Land use and land cover changes along the China-Myanmar Oil and Gas pipelines -Monitoring infrastructure development in remote conflict-prone regions,content,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",YES,1,no quantitative
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",91,11,5,0.66631985,Comparison of Land Use Land Cover Classifiers Using Different Satellite Imagery and Machine Learning Techniques,abstract,"Furthermore, change detection results show that 13.80% and 14.10% of forest areas have been turned into bare land and urban class, respectively, and 3.90% of the land has been converted into the urban area from 2017 to 2021, suggesting the intensive urbanization.",YES,2,
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,3,48,1,0.62907267,Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,content,Grassland was mainly converted to forest land.,YES,1,no quantitative
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,92,98,3,0.7072531,ISPRS Journal of Photogrammetry and Remote Sensing,content,"However, the change in wetland extent was greatest in the southeast U.S., driven by precipitation and the historical pattern of human caused land cover change influencing natural processes 
 The change in cropland footprint (including both classes of pasture/ hay and cultivated crop) was nearly static across the 15 years with only a slight increase of 4778 km 2 .",YES,2,
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",3,30,9,0.67783409,Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,content,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased.",YES,1,no quantitative
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",3,30,2,0.68710011,Land Use/Land Cover Changes and Their Driving Factors in the Northeastern Tibetan Plateau Based on Geographical Detectors and Google Earth Engine: A Case Study in Gannan Prefecture,content,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased.",YES,1,no quantitative
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,9,58,7,0.6855557,"Vegetation Trends, Drought Severity and Land Use-Land Cover Change during the Growing Season in Semi-Arid Contexts",content,"In land change areas, the trend of declining vegetation was equally high.",YES,1,no quantitative
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,24,42,3,0.59633803,Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,content,"In the 1980s, landscape transformation in the study area was mainly dominated by conversion of lowland dense forest and grassland to agro-industrial plantations in a time of low population growth and low land and food demand, thus producing more resilient and adaptable SES.",YES,1,no quantitative
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,75,45,8,0.68515897,"Assessing land use and land cover change detection using remote sensing in the Lake Tana Basin, Northwest Ethiopia",content,"Land use land cover change (Figure 
 Analyses of the result indicated that bushland was the dominant land cover class of 19.",NO,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,68,89,1,0.80038655,Comprehensive review on land use/land cover change classification in remote sensing,content,"LU/LC change has been explained for various application areas such as deforestation, urban expansion, agriculture/crop damage, vegetation loss and wetland change.",NO,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,42,16,7,0.71637654,"Impact of land use and land cover change on the environmental quality of a region: A case of Ernakulam district in Kerala, India",content,LULC change has a large impact on the environmental status of a region or an area.,NO,0,general definition/info
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,11,2,6,0.71720433,Land Use Policy,content,"LULC changes are fundamental processes on the earth's surface and have significant impacts on human society, climate, biodiversity, hydrological cycles, ecosystems, biogeochemical cycles and many other processes 
 Changes in land cover have become key components of global environmental change and represent impact of human activity 
 Apositive side of LULC change is agricultural land expansion, which increases food production for a rapidly growing population.",YES,0,general definition/info
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",34,34,1,0.69144571,J o u r n a l P r e -p r o o f,content,Most of the lost forest area was converted to agriculture (91%) and about 9% was converted to grassland.,YES,2,
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,34,34,4,0.56599694,J o u r n a l P r e -p r o o f,content,Most of the lost forest area was converted to agriculture (91%) and about 9% was converted to grassland.,YES,2,
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",58,4,7,0.65922582,"Analysis of Land Use/Land Cover Change and Its Implication On Natural Resources of the Dedo Watershed, Southwest Ethiopia",abstract,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",YES,2,
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,98,51,9,0.68349493,"The impact of land use and land cover changes on socioeconomic factors and livelihood in the Atwima Nwabiagya district of the Ashanti region, Ghana",content,Savannah land cover saw a significant reduction to 9365.4 hectares (16.2%) which is a considerable reason for a rise in settlement ( Fig.,YES,2,
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,26,78,2,0.6055547,"Land Use/Land Cover Change Impact on Hydrological Process in the Upper Baro Basin, Ethiopia",content,"Similarly, grasslands and bushes have also been converted to agricultural areas.",YES,1,no quantitative
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",73,50,6,0.66540879,"Dynamics and Drivers of Land Use and Land Cover Changes in Migori River Watershed, Western Kenya Region",content,"The decline in shrub lands by 40.63%, grasslands by 84.86%, forests by 52.90%, water by 82.03%, and wetlands by 38.44%; coupled with increased cultivated land by 34.25%, bare land by 132.28%, and built-up areas by 461.20% over the period under review indicate that the natural landscapes in the watershed are undergoing destruction at the expense of human settlement and infrastructural developments.",YES,2,
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,11,49,10,0.54583842,Land Use Policy,content,The dominant contributors to the decline of forest cover were the conversions of forest land to cultivated land 3608.44,YES,2,
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",64,20,3,0.71052575,"Spatiotemporal change detection of land use land cover (LULC) in Fashiakhali wildlife sanctuary (FKWS) impact area, Bangladesh, employing multispectral images and GIS",content,"The forest cover, predominantly accounting for almost 50% of the entire land area, drastically reduced over the years, especially within the first evaluation period",YES,2,
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,36,39,3,0.73675841,"Modeling and Prediction of Land Use Land Cover Change Dynamics Based on Land Change Modeler (LCM) in Nashe Watershed, Upper Blue Nile Basin, Ethiopia",content,"The LCM determines how the factors influence future LULC change, how much land cover change took place between earlier and later LULC, and then calculates a relative amount of transitions 
 The trend variations of LULC changes for the years 1990, 2005, and 2019 were analyzed to predict future years of the watershed.",NO,0,methods
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,24,61,6,0.55646807,Land use land cover change and the resilience of social-ecological systems in a sub-region in South west Cameroon,content,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",YES,2,
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,52,3,9,0.71007705,Assessment of land use/land cover changes and their impacts on land surface temperature in Bangui (the capital of Central African Republic),abstract,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,YES,1,no quantitative
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,90,4,10,0.70928913,Analyses of land use land cover (LULC) change and built-up expansion in the suburb of a metropolitan city: Spatio-temporal analysis of Delhi NCR using landsat datasets,abstract,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,YES,1,no quantitative
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",88,30,1,0.72349495,"Spatio-Temporal Changes of Land-Use/Land Cover Change and the Effects on Ecosystem Service Values in Derong County, China, from 1992-2018",content,"The results of land-use dynamics from 1992 to 2018 showed that shrubland and grassland decreased, with dynamics of -0.79% and -0.22%, respectively.",YES,2,
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",88,30,4,0.66894054,"Spatio-Temporal Changes of Land-Use/Land Cover Change and the Effects on Ecosystem Service Values in Derong County, China, from 1992-2018",content,"The results of land-use dynamics from 1992 to 2018 showed that shrubland and grassland decreased, with dynamics of -0.79% and -0.22%, respectively.",YES,2,
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,88,30,4,0.7069692,"Spatio-Temporal Changes of Land-Use/Land Cover Change and the Effects on Ecosystem Service Values in Derong County, China, from 1992-2018",content,"The results of land-use dynamics from 1992 to 2018 showed that shrubland and grassland decreased, with dynamics of -0.79% and -0.22%, respectively.",YES,2,
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",73,3,7,0.68360496,"Dynamics and Drivers of Land Use and Land Cover Changes in Migori River Watershed, Western Kenya Region",abstract,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (Ã€235.97 km 2 ), grasslands by 84.86% (Ã€59.14 km 2 ), forests by 52.90% (Ã€98.36 km 2 ), water by 82.03% (Ã€39.27 km 2 ) and wetlands by 38.44% (Ã€3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",YES,2,
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",73,3,10,0.65526432,"Dynamics and Drivers of Land Use and Land Cover Changes in Migori River Watershed, Western Kenya Region",abstract,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (Ã€235.97 km 2 ), grasslands by 84.86% (Ã€59.14 km 2 ), forests by 52.90% (Ã€98.36 km 2 ), water by 82.03% (Ã€39.27 km 2 ) and wetlands by 38.44% (Ã€3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",YES,2,
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",88,4,5,0.6980173,"Spatio-Temporal Changes of Land-Use/Land Cover Change and the Effects on Ecosystem Service Values in Derong County, China, from 1992-2018",abstract,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",YES,1,no quantitative
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,88,4,1,0.71618974,"Spatio-Temporal Changes of Land-Use/Land Cover Change and the Effects on Ecosystem Service Values in Derong County, China, from 1992-2018",abstract,"The results showed that: (1) From 1992 to 2018, shrubland and grassland decreased, while built-up land, snow, forestland, water body, and cropland area increased.",YES,1,no quantitative
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",66,6,4,0.69938117,"Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province, China",abstract,The total carbon stock of vegetation affected by land cover change decreased by 463.96 Ã— 10 4 t and 193.50 Ã— 10 4 t in 2000-2010 and 2010-2020 respectively.,YES,0,carbon stock : out of topic
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,66,6,5,0.69926584,"Analysis of carbon emissions from land cover change during 2000 to 2020 in Shandong Province, China",abstract,The total carbon stock of vegetation affected by land cover change decreased by 463.96 Ã— 10 4 t and 193.50 Ã— 10 4 t in 2000-2010 and 2010-2020 respectively.,YES,0,carbon stock : out of topic
,Query_3,reported a moderate land cover change from 1965 to 2000 a decrease in savanna from 74% to 70% concurring with an expansion of cropland from 17% to 21%,45,44,6,0.68816185,"Urban sprawl and its impact on land use land cover dynamics of Sekondi-Takoradi metropolitan assembly, Ghana",content,Vegetation and bare land showed a constant decrease from 1991 to 2018.,YES,1,no quantitative
,Query_4,The major LULC changes in LCB from 1975 to 2013 stated by were the transition of water bodies and wetland around the Lake to cropland the loss of water bodies to other vegetation and an increase in urban area at the expense of other vegetation,68,7,2,0.74650919,Comprehensive review on land use/land cover change classification in remote sensing,content,"We can see LU/LC change happening during the loss or development of forests, agricultural land, bodies of water and urban areas.",YES,0,general
,Query_5,In Fakara the landscape was converted from a Sahelian savanna to largely eroded agricultural agroforestry parkland during the 20th century,51,36,9,0.54850924,"Effects of Long-Term Land Use and Land Cover Changes on Ecosystem Service Values: An Example from the Central Rift Valley, Ethiopia",content,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",yes,1,no quantitative
,Query_1,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",20,65,6,0.69716775,"Analysis of Land Use/land Cover Changes and Prediction of Future Changes With Land Change Modeler: Case of Belek, Turkey",content,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",YES,1,hypothetical
,Query_2,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",20,65,3,0.66978538,"Analysis of Land Use/land Cover Changes and Prediction of Future Changes With Land Change Modeler: Case of Belek, Turkey",content,"Within the period of 2021 and 2040, it is expected that built-up areas and forests will expand by 5.46% and 1.28%, whereas agricultural areas and barren areas will shrink by 4.21% and 2.56%, respectively.",YES,1,hypothetical
