paper_id,chunk_idx,TEXT_SEGMENT,SOURCE,RELATION,TARGET,RELATION_VALID,
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",wetlands,DECREASES_BY,38.44%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",cultivated land,INCREASES_BY,34.25%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",bare land,INCREASES_BY,132.28%,1,comment : could be interesting to also extract the absolute area values (km2)
73,3,"The results show that between 1980 and 2020, the watershed experienced a considerable decline in shrub lands by 40.63% (−235.97 km 2 ), grasslands by 84.86% (−59.14 km 2 ), forests by 52.90% (−98.36 km 2 ), water by 82.03% (−39.27 km 2 ) and wetlands by 38.44% (−3.69 km 2 ); whereas cultivated land, bare land and built-up areas expanded over the same period by 34.25% (+347.42 km 2 ), 132.28% (+60.95 km 2 ) and 461.20% (+25.32 km 2 ), respectively.",built-up areas,INCREASES_BY,461.20%,1,comment : could be interesting to also extract the absolute area values (km2)
3,6,"During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees.",grassland area,DECREASE,null,1,
3,6,"During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees.",forest land,INCREASE,null,1,
3,6,"During the study period, the grassland area decreased, while the area of forest land and construction land increased to varying degrees.",construction land,INCREASE,null,1,
3,30,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased.",grassland,DECREASE,null,1,
3,30,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased.",forest land,INCREASE,null,1,
3,30,"In general, between 2000-2018, the grassland was continuously degraded, and the area under forest land and construction land gradually increased.",construction land,INCREASE,null,1,
34,34,Most of the lost forest area was converted to agriculture (91%) and about 9% was converted to grassland.,forest area,CHANGE_TO,agriculture,1,"here, add another attribute to extract the % of change (91%)"
34,34,Most of the lost forest area was converted to agriculture (91%) and about 9% was converted to grassland.,forest area,CHANGE_TO,grassland,1,"here, add another attribute to extract the % of change (9%)"
91,11,"Furthermore, change detection results show that 13.80% and 14.10% of forest areas have been turned into bare land and urban class, respectively, and 3.90% of the land has been converted into the urban area from 2017 to 2021, suggesting the intensive urbanization.",forest areas,CHANGE_TO,bare land,1,idem
91,11,"Furthermore, change detection results show that 13.80% and 14.10% of forest areas have been turned into bare land and urban class, respectively, and 3.90% of the land has been converted into the urban area from 2017 to 2021, suggesting the intensive urbanization.",forest areas,CHANGE_TO,urban class,1,
91,11,"Furthermore, change detection results show that 13.80% and 14.10% of forest areas have been turned into bare land and urban class, respectively, and 3.90% of the land has been converted into the urban area from 2017 to 2021, suggesting the intensive urbanization.",land,CHANGE_TO,urban area,1,
58,4,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",cultivation,INCREASES_BY,15.70%,1,
58,4,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",settlement land,INCREASES_BY,0.34%,1,
58,4,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",dense forest,DECREASES_BY,9.20%,1,
58,4,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",light vegetation,DECREASES_BY,4.97%,1,
58,4,"Over the last 33 years, cultivation and settlement land expanded by 15.7% and 0.34%, whereas dense forest, light vegetation, and grazing land declined by 9.2%, 4.97%, and 1.85%, respectively.",grazing land,DECREASES_BY,1.85%,1,
28,53,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",forests,CHANGE_TO,anthropogenic use,1,
28,53,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",forests,CHANGE_TO,agricultural land,1,
28,53,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",forests,CHANGE_TO,scrubland,1,
28,53,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",scrubland,CHANGE_TO,forests,1,
28,53,"From 2010 to 2012, a large area of forests was converted into anthropogenic use, agricultural land, and scrubland (deforestation) and an extensive area of scrubland and agricultural lands was converted into forests (due to afforestation efforts).",agricultural lands,CHANGE_TO,forests,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",dense forest,CHANGE_TO,cultivated areas,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",grassland covers,CHANGE_TO,cultivated areas,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",dense forest,CHANGE_TO,oil palm,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",grassland covers,CHANGE_TO,oil palm,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",dense forest,CHANGE_TO,banana plantations,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",grassland covers,CHANGE_TO,banana plantations,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",dense forest,CHANGE_TO,built-up areas,1,
24,61,"The lowland dense forest and grassland covers were converted to other land uses, mainly other cultivated areas (10.51%), oil palm (2.82%), banana (0.92%) plantations, and built-up areas (1.6%).",grassland covers,CHANGE_TO,built-up areas,1,
71,13,"Land scarcity in the highlands of East Africa has converted forested lands to agriculture, reducing forest cover.",forested lands,CHANGE_TO,agriculture,1,
71,13,"Land scarcity in the highlands of East Africa has converted forested lands to agriculture, reducing forest cover.",forest cover,DECREASE,null,"to see, if a LULC changes to another one, necessaerily there is a DECREASE",
3,48,Grassland was mainly converted to forest land.,Grassland,CHANGE_TO,forest land,1,
26,78,"Similarly, grasslands and bushes have also been converted to agricultural areas.",grasslands,CHANGE_TO,agricultural areas,1,
26,78,"Similarly, grasslands and bushes have also been converted to agricultural areas.",bushes,CHANGE_TO,agricultural areas,1,
24,42,"In the 1980s, landscape transformation in the study area was mainly dominated by conversion of lowland dense forest and grassland to agro-industrial plantations in a time of low population growth and low land and food demand, thus producing more resilient and adaptable SES.",lowland dense forest,CHANGE_TO,agro-industrial plantations,1,
24,42,"In the 1980s, landscape transformation in the study area was mainly dominated by conversion of lowland dense forest and grassland to agro-industrial plantations in a time of low population growth and low land and food demand, thus producing more resilient and adaptable SES.",grassland,CHANGE_TO,agro-industrial plantations,1,
45,44,Vegetation and bare land showed a constant decrease from 1991 to 2018.,Vegetation,DECREASE,null,1,
45,44,Vegetation and bare land showed a constant decrease from 1991 to 2018.,bare land,DECREASE,null,1,
9,58,"In land change areas, the trend of declining vegetation was equally high.",vegetation,DECREASE,null,1,
98,51,Savannah land cover saw a significant reduction to 9365.4 hectares (16.2%) which is a considerable reason for a rise in settlement,Savannah land cover,DECREASE,null,1,
98,51,Savannah land cover saw a significant reduction to 9365.4 hectares (16.2%) which is a considerable reason for a rise in settlement,settlement,INCREASE,null,1,
58,52,"e major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.
 )e results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",cultivation,INCREASE,null,,why the content is different for the same paper id et chunck id ?
58,52,"e major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.
 )e results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",settlement land,INCREASE,null,,why the content is different for the same paper id et chunck id ?
58,52,"e major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.
 )e results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",grazing,DECREASE,null,,why the content is different for the same paper id et chunck id ?
58,52,"The major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.",dense forest,DECREASE,null,,why the content is different for the same paper id et chunck id ?
58,52,"e major changes were expansions of cultivation and settlement land and a decline in grazing, dense forest, and light vegetation land use/cover categories.
 )e results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",light vegetation,DECREASE,null,,why the content is different for the same paper id et chunck id ?
58,52,"The results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",dense vegetation land cover,CHANGE_TO,other LULC types,,why the content is different for the same paper id et chunck id ?
58,52,"The results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",dense vegetation land cover,DECREASE_BY,14.70%,ajoutée,why the content is different for the same paper id et chunck id ?
58,52,"The results indicated that dense vegetation land cover was among the most affected land cover with nearly 14.7 and 23.64% of its total area converted into other LULC types between the 1984 to 2000 and 2000 to 2017 periods, respectively.",dense vegetation land cover,DECREASE_BY,23.64%,ajoutée,why the content is different for the same paper id et chunck id ?
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",Farmlands,INCREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",bare lands,INCREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",settlement areas,INCREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",forest,DECREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",grasslands,DECREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",shrublands,DECREASE,null,1,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",waterbodies,DECREASE,null,1,
52,3,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,vegetation,INCREASE,null,1,
52,3,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,built-up areas,INCREASE,null,1,
52,3,The result of this study indicates that there was a significant change in LULC between 1986 and 2017 particularly expanded in vegetation and built-up areas and declined in bare soil.,bare soil,DECREASE,null,1,
90,4,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,built-up area,INCREASE,null,1,
90,4,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,open/fallow land,INCREASE,null,1,
90,4,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,agriculture land,DECREASE,null,1,
90,4,The result shows that the considerable changes in LULC have occurred with continuous increase in built-up area and open/fallow land and decrease in agriculture land and vegetation over the study time period.,vegetation,DECREASE,null,1,
47,407,Agroforestry is a set of diverse land management systems that integrate trees and shrubs with crops and/or livestock in space and/or time.,N/A,N/A,N/A,not relevant sentence,
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure",agricultural lands,INCREASE,null,0,no mention of agricultural lands in the sentence
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",forestland,DECREASE,null,duplicated (see rows 85 - 91),
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",shrubland,DECREASE,null,duplicated (see rows 85 - 91),
51,36,"We detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",grassland,DECREASE,null,duplicated (see rows 85 - 91),
51,36,"The expansion of agricultural lands and the associated decrease in forestland, shrublanWe detected that farmlands, grasslands and shrublands are distributed throughout the basin, but forestlands are dominantly found in the highlands (i.e., in eastern and western escarpments), and waterbodies (mainly lakes) and bare lands are concentrated in the valley floor (Figure 
 Farmlands, bare lands and settlement areas showed positive changes, while forest, grasslands, shrublands and waterbodies showed negative changes over the analyzed 47-year period (Table 
 The expansion of agricultural lands and the associated decrease in forestland, shrubland and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.d and grassland, as well as the expansion of bare lands at the expense of waterbodies can be explained by the growing pressures on land from increasing population and livestock in the basin.",bare lands,INCREASE,null,duplicated (see rows 85 - 91),
11,49,The dominant contributors to the decline of forest cover were the conversions of forest land to cultivated land 3608.44,forest cover,DECREASE,null,1,
11,49,The dominant contributors to the decline of forest cover were the conversions of forest land to cultivated land 3608.44,forest land,CHANGE_TO,cultivated land,1,
9,41,"With about 90% of the land area in the CDB experiencing negative vegetation trends, we investigated how changes in vegetation productivity (i.e., increasing, stable and decreasing) are associated with land change.",vegetation,DECREASE,null,1,
92,98,"However, the change in wetland extent was greatest in the southeast U.S., driven by precipitation and the historical pattern of human caused land cover change influencing natural processes 
 The change in cropland footprint (including both classes of pasture/ hay and cultivated crop) was nearly static across the 15 years with only a slight increase of 4778 km 2 .",wetland,CHANGE_TO,null,1,
92,98,"However, the change in wetland extent was greatest in the southeast U.S., driven by precipitation and the historical pattern of human caused land cover change influencing natural processes 
 The change in cropland footprint (including both classes of pasture/ hay and cultivated crop) was nearly static across the 15 years with only a slight increase of 4778 km 2 .",cropland footprint,INCREASES_BY,4778 km 2,1,"but ""cropland"" instead of ""cropalnd footprint"""
