sentence_id,sentence,source,source_type,relationship,target,target_type
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",shea trees,LULC,AFFECTS,protected,PROCESS
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,baobab,LULC
12,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",baobab,LULC,AFFECTS,protected,PROCESS
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",increasing pressure,PROCESS,CAUSES,decrease,CHANGE
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",growing,CHANGE,LOCATED_IN,Niamey,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",growing,CHANGE,LOCATED_IN,Niamey,LOC
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",demand,QUANTITY,LOCATED_IN,Niamey,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow land,LULC,LOCATED_IN,Saloum Senegal,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,LOCATED_IN,Saloum Senegal,LOC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",less fertile,PROCESS,AFFECTS,cultivated land,LULC
14,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS,CAUSES,gained in size,CHANGE
15,Irrigation from rivers is regarded as minor driver of LULCC,N/A,N/A,N/A,N/A,N/A
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",tree growth,PROCESS,CAUSES,increase,CHANGE
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase,CHANGE,AFFECTS,woody cover,LULC
16,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,PROCESS,CAUSES,increase,CHANGE
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,fallows,LULC
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,cropped fields,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",0.8,QUANTITY,MEASURES,fallow,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",1.6,QUANTITY,MEASURES,fallow,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",2,QUANTITY,MEASURES,fallow,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",5,QUANTITY,MEASURES,fallow,LULC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",fallow,LULC,LOCATED_IN,Silgey,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",fallow,LULC,LOCATED_IN,Koho,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",fallow,LULC,LOCATED_IN,Woure,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",fallow,LULC,LOCATED_IN,Kolbila,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",fallow,LULC,LOCATED_IN,Kolbila,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",cultivated are,LULC,LOCATED_IN,Koho,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",cultivated are,LULC,LOCATED_IN,Woure,LOC
18,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",cultivated are,LULC,LOCATED_IN,Silgey,LOC
19,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation,PROCESS,AFFECTS,soil penetrable,LULC
