sentenceID,sentence,source,source_type,relationship,target,target_type,comment,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,CAUSES,increased,CHANGE,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CHANGE,AFFECTS,fallows,LULC,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASED_BY,from 40% to 51.3%,PERCENT,,
3,"From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",cropped fields,LULC,INCREASED_BY,from 47% to 64%,PERCENT,,
4,Agriculture in this region has been dominated over the past three decades by cotton production,cotton production,PROCESS,AFFECTS,agricultural land,LULC,,
4,Agriculture in this region has been dominated over the past three decades by cotton production,cotton production,PROCESS,OCCURS_DURING,three decades,TIME_PERIODS,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",forest land,LULC,DECREASES_BY,half,PERCENT,,
5,"Forest land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery forest did not change much",decreased,CHANGE,OCCURS_DURING,1984 to 2002,TIME_PERIODS,"it's more OCCURS BETWEEN, ""1984 and 2002"" not extracted from text",
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,farmland,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",forest,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",woodland,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",tree savanna,LULC,CHANGE_TO,degraded savanna,LULC,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,PERCENT,MEASURES,converted,CHANGE,here we have to model the fact that the measure is related to the farmalnd,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",31%,PERCENT,MEASURES,converted,CHANGE,,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",converted,CHANGE,OCCURS_IN,2050,DATE,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,LULC,DECREASES_BY,5%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,9%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,LULC,DECREASES_BY,17%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,LULC,INCREASES_BY,9%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,herbaceous standing crop,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,AFFECTS,fallows,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension,CHANGE,AFFECTS,cultivated fields,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening of the fallow period,PROCESS,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas","extension of cultivated and cleared fields,",PROCESS,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing by cattle,PROCESS,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas", increment in landscape discontinuities,PROCESS,CAUSES,decrease,CHANGE,,
9,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",irrigated,,,,,to remove : it's about agricultural practices,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,rangelands,LULC,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,MEASURES,grazing land,LULC,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,OCCURS_IN,1986,DATE,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",,LULC,OCCURS_IN,croplands,TIME_PERIODS,,
12,"In 1990, woodland and tree savanna were still the dominant land cover types",dominant,CHANGE,OCCURS_IN,1990,DATE,dominant is not a change,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,shea trees,LULC,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",shea trees,LULC,AFFECTS,protected ,PROCESS,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,baobab ,LULC,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",baobab ,LULC,AFFECTS,protected ,PROCESS,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",increasing pressure on wood resources ,PROCESS,CAUSES,decrease,CHANGE,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",growing,CHANGE,LOCATED_IN,Niamey,LOC,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",growing,CHANGE,LOCATED_IN,Niamey,LOC,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",demand,QUANTITY,LOCATED_IN,Niamey,LOC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,LOCATED_IN,Saloum Senegal,LOC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",less fertile,CHANGE,AFFECTS,cultivated land,LULC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS,CAUSES,gained in size,CHANGE,,
16,Irrigation from rivers is regarded as minor driver of LULCC,N/A,N/A,N/A,N/A,N/A,,
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",tree growth,PROCESS,CAUSES,increase,CHANGE,,
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,PROCESS,CAUSES,increase,CHANGE,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,fallows,LULC,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,cropped fields,LULC,,
19,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",Ratios,PERCENT,MEASURES,cultivated area,LULC,,
20,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation ,PROCESS,AFFECTS,soil penetrable,LULC,,
