sentenceID,sentence,source,source_type,relationship,target,target_type,Comments,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",dynamics,PROCESS,OCCURS_IN,1975 to 1990,TIME_PERIODS,not sure,
6,"About 26 and 31% of the total area of natural vegetation (forest, woodland and tree savanna) will be converted to farmland and degraded savanna by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",dynamics,PROCESS,OCCURS_IN,1990-2010,TIME_PERIODS,not sure,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",forest,LULC,DECREASES_BY,5%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",woodland,LULC,DECREASES_BY,9%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",tree savanna,LULC,DECREASES_BY,17%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",degraded savanna,LULC,INCREASES_BY,9%,PERCENT,,
7,"Assuming the dynamics recorded in the second period, the amounts of land covered by forest, woodland and tree savanna will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded savanna and farmland will increase by 9 and 22% of the total area, respectively",farmland,LULC,INCREASES_BY,22%,PERCENT,"The change occurs wrt 1990, but difficult to put in a relation given the syntax of the sentence",
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,herbaceous standing crop,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,AFFECTS,fallows,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening,CHANGE,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension,CHANGE,AFFECTS,cultivated and cleared fields,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing,PROCESS,CAUSES,decrease,CHANGE,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,spread of fire,PROCESS,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,AFFECTS,burnt areas,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increment,CHANGE,AFFECTS,landscape discontinuities,LULC,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increment,CHANGE,AFFECTS,spread of fire,PROCESS,,
8,"Conversely the decrease in the herbaceous standing crop, due to the shortening of the fallow period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increment,CHANGE,AFFECTS,burnt areas,LULC,,
9,"describes Rwandan agriculture as caught in a 'low investment trap'; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",less than 10%,PERCENT,MEASURES,irrigated cropland,LULC,we can consider the irrigation as process and name the relation affect between the irrigation and the cropland,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,AFFECTS,bare soil,LULC,,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,LOCATED_IN,cropped fields,LULC,,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,fallows,LULC,,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,LOCATED_IN,rangelands,LULC,,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",bare soil,LULC,OCCURS_IN,early growing season,TIME_PERIODS,,
10,"Due to the weeding practice, bare soil dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",grow,CHANGE,AFFECTS,herbaceous vegetation,LULC,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,MEASURES,grazing land,LULC,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,OCCURS_IN,1986,DATE,,
11,"In 1986, the grazing land had much higher proportion of the total regional area than other land use types while the size of croplands was substantially high after 16 years",higher proportion,QUANTITY,MEASURES,croplands,LULC,,
12,"In 1990, woodland and tree savanna were still the dominant land cover types",woodland,LULC,OCCURS_IN,1990,DATE,,
12,"In 1990, woodland and tree savanna were still the dominant land cover types",tree savanna,LULC,OCCURS_IN,1990,DATE,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,shea trees,LULC,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",preserved,PROCESS,AFFECTS,baobab,LULC,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of cultivation and fallows and are therefore still well preserved",protected,PROCESS,OCCURS_IN,agricultural cycle,TIME_PERIODS,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",woody vegetation,LULC,LOCATED_IN,rangelands,LOC,,
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing urban population of Niamey only 80 km away",decrease,CHANGE,AFFECTS,woody vegetation,LULC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,LOCATED_IN,Saloum Senegal,LOC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",less fertile,CHANGE,AFFECTS,cultivated land,LULC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",out-migration,PROCESS,CAUSES,gained in size,CHANGE,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,AFFECTS,cultivated land,LULC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",shortening,CHANGE,AFFECTS,fallow cycles,PROCESS,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",fallow,LULC,LOCATED_IN,away from the settlement,LOC,,
15,"In Saloum Senegal, with the increase of cultivated land and shortening of fallow cycles, soils have become less fertile close to the villages, although fallow land away from the settlement gained in size, mainly due to out-migration",gained in size,CHANGE,AFFECTS,fallow,LULC,,
16,Irrigation from rivers is regarded as minor driver of LULCC,irrigation,PROCESS,CAUSES,LULCC,PROCESS,,
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",tree growth,PROCESS,CAUSES,increase,CHANGE,,
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",agroforestry,PROCESS,CAUSES,increase,CHANGE,,
17,"On the one hand, tree growth and agroforestry on fields have led to an increase of woody cover in proximity to the village",increase,CHANGE,AFFECTS,woody cover,LULC,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,fallows,LULC,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,AFFECTS,cropped fields,LULC,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,OCCURS_IN,year-round,TIME_PERIODS,,
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the crop harvest",grazing,PROCESS,OCCURS_IN,dry season,TIME_PERIODS,,
19,"Ratios of fallow to cultivated area are 0.8 in Woure, where the bushfallow system is 'already defunct,' 1.6 in Silgey and Kolbila, where bush-fallow 'would lead to a steady decline in fertility,' 2 in Koho, where bush-fallow is 'marginal,' and 5 in Sayero, where available land is still 'more than adequate.'",N/A,N/A,N/A,N/A,N/A,Too convoluted to label correctly according to me ,
20,Regular cultivation keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,Regular cultivation,PROCESS,AFFECTS,soil,LULC,Relatively uninteresting sentence,
