source_id,authors,year,type,value,geography,context,source_column
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,,land_cover,,"['Tibetan Plateau', 'Andorra', 'China', 'Gannan Prefecture', 'the Ganan Prefecture']",", while the area of forest land and construction land increased",abstract
5,Andreas Rienow; Jan Schweighöfer; Torben Dedring; Marcus Goebel; Valerie Graw,,land_cover,,"['Andorra', 'Barbuda', 'Codrington']",accusations of degrading the Codrington Lagoon National Park and contravening the,abstract
5,Andreas Rienow; Jan Schweighöfer; Torben Dedring; Marcus Goebel; Valerie Graw,,change_process,,"['Andorra', 'Barbuda', 'Codrington']",", we estimated a total increase of vegetated areas by 6.56",abstract
5,Andreas Rienow; Jan Schweighöfer; Torben Dedring; Marcus Goebel; Valerie Graw,,change_process,,"['Andorra', 'Barbuda', 'Codrington']",", and a simultaneous slight increase in roads and buildings with",abstract
5,Andreas Rienow; Jan Schweighöfer; Torben Dedring; Marcus Goebel; Valerie Graw,,change_process,,"['Andorra', 'Barbuda', 'Codrington']",condition itself depict a steady decrease since 2017. New hotspots,abstract
5,Andreas Rienow; Jan Schweighöfer; Torben Dedring; Marcus Goebel; Valerie Graw,,land_cover,,"['Andorra', 'Barbuda', 'Codrington']",the island in the Codrington Lagoon National Park.,abstract
7,Buddhi Gyawali; Sandesh Shrestha; Aman Bhatta; Bijay Pokhr; Richard Cristan; George Antonious; Swagata Banerjee; Krishna Paudel,,change_process,,"['Kentucky', 'Andorra', 'USA', 'United States']","in a Rural Coal-Mine Dominated Watershed in Kentucky,",title
7,Buddhi Gyawali; Sandesh Shrestha; Aman Bhatta; Bijay Pokhr; Richard Cristan; George Antonious; Swagata Banerjee; Krishna Paudel,,change_process,,"['Andorra', 'USA', 'Kentucky', 'the Yellow Creek Watershed', 'streamflow', 'Yellow Creek Watershed', 'Canada', 'United States']",The calibrated model showed an increase in surface runoff and sediment,abstract
8,Justine Luwa; Yazidhi Bamutaze; Jackson-Gilbert Majaliwa Mwanjalolo; Daniel Waiswa; Petter Pilesjö; Espoir Mukengere,,land_cover,,"['woodland', 'Andorra', 'Uganda']","in Uganda indicate agriculture, forest, grassland, and woodland",abstract
8,Justine Luwa; Yazidhi Bamutaze; Jackson-Gilbert Majaliwa Mwanjalolo; Daniel Waiswa; Petter Pilesjö; Espoir Mukengere,,land_cover,,"['woodland', 'Andorra', 'Uganda']","indicate agriculture, forest, grassland, and woodland as the",abstract
8,Justine Luwa; Yazidhi Bamutaze; Jackson-Gilbert Majaliwa Mwanjalolo; Daniel Waiswa; Petter Pilesjö; Espoir Mukengere,,land_cover,,"['woodland', 'Andorra', 'Uganda']","forest, grassland, and woodland as the major land use",abstract
9,Felicia Akinyemi,,land_cover,,"['Andorra', 'Botswana', 'the Central District', 'Mahalapye', 'United Arab Emirates', 'Canada']","forests and woodlands), grassland/rangelands and croplands.",abstract
9,Felicia Akinyemi,,change_process,,"['Andorra', 'Botswana', 'the Central District', 'Mahalapye', 'United Arab Emirates', 'Canada']",extreme drought intersected vegetation productivity decline. The most impacted constituencies,abstract
10,Falguni Mukherjee; Deepika Singh,,land_cover,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']","witnessed a dramatic growth in built-up area, systematic reduction in green",abstract
10,Falguni Mukherjee; Deepika Singh,,change_process,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",reduction in green space and increase in LST. There is,abstract
10,Falguni Mukherjee; Deepika Singh,,change_process,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",. There is 85% increase in builtup area in Surat,abstract
10,Falguni Mukherjee; Deepika Singh,,change_process,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",2 decades and 31% increase in built-up area,abstract
10,Falguni Mukherjee; Deepika Singh,,land_cover,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",and 31% increase in built-up area in Bharuch during the same,abstract
10,Falguni Mukherjee; Deepika Singh,,change_process,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",in Surat has shown an increase of 2.42 °C per,abstract
10,Falguni Mukherjee; Deepika Singh,,change_process,,"['Andorra', 'Peru', 'Bharuch', 'United Arab Emirates', 'North to South']",Directional profiles showed a continued increase in temperature from 2008 to,abstract
11,Alemenesh Hailu; Siraj Mammo; Moges Kidane,,change_process,,"['Andorra', 'LULC', 'United Arab Emirates', 'Canada']",. The result showed a decline in forest land from 8632.5,abstract
11,Alemenesh Hailu; Siraj Mammo; Moges Kidane,,land_cover,,"['Andorra', 'LULC', 'United Arab Emirates', 'Canada']",result showed a decline in forest land from 8632.5 ha (,abstract
11,Alemenesh Hailu; Siraj Mammo; Moges Kidane,,land_cover,,"['Andorra', 'LULC', 'United Arab Emirates', 'Canada']",revealed that the total of forest land cleared between 1973 and,abstract
11,Alemenesh Hailu; Siraj Mammo; Moges Kidane,,land_cover,,"['Andorra', 'LULC', 'United Arab Emirates', 'Canada']",", 34.6 % of the forest cover that existed in 1973",abstract
12,Jacob Mensah; Eric Ofosu; Mark Yidana; Komlavi Akpoti; Amos Kabo-Bah,,land_cover,,"['Andorra', 'United Arab Emirates']",for assessing these impacts on river basins. This systematic review,abstract
12,Jacob Mensah; Eric Ofosu; Mark Yidana; Komlavi Akpoti; Amos Kabo-Bah,,change_process,,"['Andorra', 'United Arab Emirates']",recharge models are essential to increase the long-term viability,abstract
12,Jacob Mensah; Eric Ofosu; Mark Yidana; Komlavi Akpoti; Amos Kabo-Bah,,land_cover,,"['Andorra', 'United Arab Emirates']",natural and anthropogenic drivers on river basin interactions require integrating knowledge,abstract
13,Muzaffer Can; Ezgi Sahin; M Iban,,land_cover,,['Andorra'],", and 21.7% to forest. The rise in the",abstract
13,Muzaffer Can; Ezgi Sahin; M Iban,,change_process,,['Andorra'],% to forest. The rise in the area of artificial,abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,change_process,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",The study observed a significant increase (12.77%) in,abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",(12.77%) in built-up area from 2002 (52.88%,abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,change_process,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",", followed by a slight increase in the cover of bare",abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']","increase in the cover of bare ground. On the contrary,",abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",". On the contrary, forest cover declined drastically (15.25",abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",". These changes have fragmentated forest cover, increased soil/",abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",(73.21%) with forest significantly reduced to patches making,abstract
14,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,,land_cover,,"['Andorra', 'Thimphu', 'United Arab Emirates', 'Canada']",specially to protect the existing forest and water resources from further,abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']","Five major LULC categories (agricultural land, forest, barren land",abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']","categories (agricultural land, forest, barren land, built",abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']","forest, barren land, built-up area, and waterbodies) from",abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']","that the area used for agricultural land, barren land, forest",abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']","land, barren land, forest, built-up areas",abstract
15,Padala Raja; Aneesh Mathew,,land_cover,,"['Andorra', 'Telangana', 'United Arab Emirates', 'India']",1996 and 2019. The forest area has decreased by 9.67,abstract
16,Sunan Shi; Yanfei Zhong; Ji Zhao; Pengyuan Lv; Yinhe Liu; Liangpei Zhang,,change_process,,"['Andorra', 'Canada']",prior knowledge is used to improve the construction of the unary,abstract
16,Sunan Shi; Yanfei Zhong; Ji Zhao; Pengyuan Lv; Yinhe Liu; Liangpei Zhang,,change_process,,"['Andorra', 'Canada']",the objects is added to improve the smoothness in local objects,abstract
17,John Mawenda; Teiji Watanabe; Ram Avtar,,change_process,,"['Andorra', 'Blantyre city', 'sub-Saharan Africa', 'Blantyre', 'Africa']",be investigated in order to enhance effective planning and sustainable growth,abstract
17,John Mawenda; Teiji Watanabe; Ram Avtar,,change_process,,"['Andorra', 'Blantyre city', 'sub-Saharan Africa', 'Blantyre', 'Africa']","or no vegetation, hilly clear-cut areas and other",abstract
17,John Mawenda; Teiji Watanabe; Ram Avtar,,change_process,,"['Andorra', 'Blantyre city', 'sub-Saharan Africa', 'Blantyre', 'Africa']",the results revealed that the increase in built-up areas,abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']",monitoring system to track annual forest conversion in the Amazon and,abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']","Brazil, based on random forest applied to Landsat archive using",abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']","mapped five major classes: forest, non-forest natural",abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']",": forest, non-forest natural formation, farming,",abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']",ranching and agriculture activities. Pasture expanded by 46% from,abstract
18,Carlos Souza; Julia Shimbo; Marcos Rosa; Leandro Parente; Ane Alencar; Bernardo Rudorff; Heinrich Hasenack; Marcelo Matsumoto; Laerte Ferreira; Pedro Souza-Filho; Sergio De Oliveira; Washington Rocha; Antônio Fonseca; Camila Marques; Cesar Diniz; Diego Costa; Dyeden Monteiro; Eduardo Rosa; Eduardo Vélez-Martin; Eliseu Weber; Felipe Lenti; Fernando Paternost; Frans Pareyn; João Siqueira; José Viera; Luiz Ferreira Neto; Marciano Saraiva; Marcio Sales; Moises Salgado; Rodrigo Vasconcelos; Soltan Galano; Vinicius Mesquita; Tasso Azevedo,,land_cover,,"['Brazil', 'Amazon', 'Andorra', 'United Arab Emirates']","%, mostly replacing old pasture fields. We also identified",abstract
19,Abdulla -Al Kafy; Abdullah Al-Faisal; Abdullah Al Rakib; Sumita Roy; Jannatul Ferdousi; Vinay Raikwar; Marium Kona; S Abdullah; Al Fatin; H I G H L I G H T S,,land_cover,,"['Andorra', 'Peru', 'Bangladesh']",of Bangladesh were analyzed. Built-up area expansion contributed to increased summer,abstract
19,Abdulla -Al Kafy; Abdullah Al-Faisal; Abdullah Al Rakib; Sumita Roy; Jannatul Ferdousi; Vinay Raikwar; Marium Kona; S Abdullah; Al Fatin; H I G H L I G H T S,,change_process,,"['Andorra', 'Peru', 'Bangladesh']",have resulted in a significant decline in agricultural productivity over the,abstract
20,Demelash Malede; Tena Alamirew; Job Kosgie; Gebrie Tesfa; Andualem,,land_cover,,"['the Birr River', 'Andorra', 'United Arab Emirates']","Focusing on the Ethiopian Birr river watershed, the study investigates",abstract
20,Demelash Malede; Tena Alamirew; Job Kosgie; Gebrie Tesfa; Andualem,,land_cover,,"['the Birr River', 'Andorra', 'United Arab Emirates']","Between 1986 and 2018, agricultural land increased significantly from 56.39%",abstract
20,Demelash Malede; Tena Alamirew; Job Kosgie; Gebrie Tesfa; Andualem,,land_cover,,"['the Birr River', 'Andorra', 'United Arab Emirates']","other hand, bushlands, forest areas, and grasslands LULC",abstract
20,Demelash Malede; Tena Alamirew; Job Kosgie; Gebrie Tesfa; Andualem,,land_cover,,"['the Birr River', 'Andorra', 'United Arab Emirates']",and implemented in the Birr River watershed.,abstract
21,Halil Akdeniz,,land_cover,,"['Turkey', 'Andorra', 'United Arab Emirates']","the rates of settlement, forest, and water body areas",abstract
21,Halil Akdeniz,,land_cover,,"['Turkey', 'Andorra', 'United Arab Emirates']","settlement, forest, and water body areas have increased by 11.91",abstract
21,Halil Akdeniz,,change_process,,"['Turkey', 'Andorra', 'United Arab Emirates']",predicts the settlement areas to expand by 5.46% and the,abstract
21,Halil Akdeniz,,change_process,,"['Turkey', 'Andorra', 'United Arab Emirates']",and the agricultural areas to shrink by 4.21% by comparison,abstract
22,Asmaa Fahmy; Mohamed Abdelfatah; Gamal El-Fiky,,land_cover,,"['Sharqiyah', 'Andorra']",a noticeable trend. The built-up area increased by 18.9% during,abstract
23,Burcu Değerli; Mehmet Çetin,,change_process,,['Andorra'],model 2030 results were an increase of 73.33 km² in built,abstract
23,Burcu Değerli; Mehmet Çetin,,change_process,,['Andorra'],"built up areas, an increase of 56.89 km² in bare",abstract
23,Burcu Değerli; Mehmet Çetin,,change_process,,['Andorra'],"bare areas, and a decrease of 129.66 km² in green",abstract
24,Wu Xiao; Qiusheng Wu; Xuecao Li; Zander Venter; David Barton; Tirthankar Chakraborty; Trond Simensen; Geethen Singh,,land_cover,,['Andorra'],"accuracies, particularly in the tundra biome, included shrub and",abstract
24,Wu Xiao; Qiusheng Wu; Xuecao Li; Zander Venter; David Barton; Tirthankar Chakraborty; Trond Simensen; Geethen Singh,,land_cover,,['Andorra'],"(34%), bare ground (57%) and",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",". Other cultivated areas of cropland, built-up,",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","oil palm, and banana plantation covers increased by 21,360 ha",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","%), while dense forest, rubber and tea plantation",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","forest, rubber and tea plantation covers decreased by -44,945 ha",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","of other cultivated areas of cropland by smallholders, contrary to",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",of other cultivated areas of cropland and agro-industrial plantations,abstract
25,Ewane Ewane,,change_process,,"['Andorra', 'Cameroon', 'United Arab Emirates']",expansion of builtup areas and decrease in agro-industrial plantation,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",decrease in agro-industrial plantation covers were highest in the,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",paradigm of horizontal expansion of agricultural land and built-up areas,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","of other cultivated areas of cropland by smallholders, contrary to",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",narrative of agro-industrial plantation and built-up area,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",agro-industrial plantation and built-up area expansion from 1986 to 2018,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']",to 2018. • Dense forest and rubber plantation covers decreased,abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","• Dense forest and rubber plantation covers decreased, while oil",abstract
25,Ewane Ewane,,land_cover,,"['Andorra', 'Cameroon', 'United Arab Emirates']","while oil palm and banana plantation covers increased, owing to",abstract
25,Ewane Ewane,,change_process,,"['Andorra', 'Cameroon', 'United Arab Emirates']",owing to local economics and increase in local and international palm,abstract
26,Abdulbasit Darem; Asma Alhashmi; Aloyoun Almadani; Ali Alanazi; Geraldine Sutantra,,change_process,,"['the Northern Border Region', 'Andorra', 'the Kingdom of Saudi Arabia', 'Saudi Arabia']",and natural resource management to develop sustainable development in vegetation changes,abstract
26,Abdulbasit Darem; Asma Alhashmi; Aloyoun Almadani; Ali Alanazi; Geraldine Sutantra,,land_cover,,"['the Northern Border Region', 'Andorra', 'the Kingdom of Saudi Arabia', 'Saudi Arabia']","classes: bare land, built-up area, rocks, and vegetation",abstract
26,Abdulbasit Darem; Asma Alhashmi; Aloyoun Almadani; Ali Alanazi; Geraldine Sutantra,,change_process,,"['the Northern Border Region', 'Andorra', 'the Kingdom of Saudi Arabia', 'Saudi Arabia']",The results indicate a significant increase in urban development. The,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,change_process,,"['Andorra', 'United Arab Emirates', 'United States']",that there was a drastic decrease of grassland by 15.64%,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,land_cover,,"['Andorra', 'United Arab Emirates', 'United States']",was a drastic decrease of grassland by 15.64% and shrubland,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,land_cover,,"['Andorra', 'United Arab Emirates', 'United States']",grassland by 15.64% and shrubland by 9.56% while an,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,change_process,,"['Andorra', 'United Arab Emirates', 'United States']",by 9.56% while an increase of agricultural land and settlement,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,land_cover,,"['Andorra', 'United Arab Emirates', 'United States']",% while an increase of agricultural land and settlement by 18.01%,abstract
27,Tewodros Getu Engida; Tewodros Nigussie; Abreham Aneseyee; John Barnabas,,change_process,,"['Andorra', 'United Arab Emirates', 'United States']","2017 such as change of flood frequency, increased peak flows",abstract
28,Dizhou Guo; Wenzhong Shi; Ming Hao; Xiaolin Zhu,,change_process,,"['Andorra', 'Canada', 'Earth']",2.0) was proposed to improve the aforementioned problems. Based,abstract
28,Dizhou Guo; Wenzhong Shi; Ming Hao; Xiaolin Zhu,,change_process,,"['Andorra', 'Canada', 'Earth']",provides a feasible way to improve the performance of retrieving land,abstract
29,Thiri Shwesin Aung; Thomas Fischer; John Buchanan,,land_cover,,"['Andorra', 'Myanmar', 'China', 'Ann township', 'United Arab Emirates', 'Canada']",study which employed the Random Forest Classifier and Land Change Modeler,abstract
29,Thiri Shwesin Aung; Thomas Fischer; John Buchanan,,land_cover,,"['Andorra', 'Myanmar', 'China', 'Ann township', 'United Arab Emirates', 'Canada']",are compared. Whilst substantial forest areas were lost along the,abstract
30,Heinrich Rakuasa; Daniel Sihasale; Glendy Somae; Philia Latue,,change_process,,"['Andorra', 'Ambon City', 'United Arab Emirates', 'Ambon city center']","and open land continued to increase in area, while agricultural",abstract
30,Heinrich Rakuasa; Daniel Sihasale; Glendy Somae; Philia Latue,,change_process,,"['Andorra', 'Ambon City', 'United Arab Emirates', 'Ambon city center']",areas continued to experience a decrease in area and water bodies,abstract
30,Heinrich Rakuasa; Daniel Sihasale; Glendy Somae; Philia Latue,,change_process,,"['Andorra', 'Ambon City', 'United Arab Emirates', 'Ambon city center']",bodies did not experience a decrease in area. The results,abstract
31,Kongcao Xiao; Junjie Tang; Hao Chen; Dejun Li; Yongxian Liu,,land_cover,,['Andorra'],Soil Se retention increased after cropland abandonment mainly due to SOC,abstract
33,Ilunga Kikombo; Ngoy; Feng Qi; Daniela Shebitz,,land_cover,,"['New Jersey', 'Andorra', 'the United States', 'United Arab Emirates', 'Jersey', 'United States']","brush/grasslands, mixed forest lands, farmlands and urban",abstract
33,Ilunga Kikombo; Ngoy; Feng Qi; Daniela Shebitz,,land_cover,,"['New Jersey', 'Andorra', 'the United States', 'United Arab Emirates', 'Jersey', 'United States']",lands and the mixed-forest cover gained while farmlands lost,abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']","soil carbon model), cropland and grassland (DayCent model",abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']","model), cropland and grassland (DayCent model structure and",abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']","US NGHGI, including Alaskan grassland and wetland soil carbon stock",abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']",", including Alaskan grassland and wetland soil carbon stock change (",abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']","2 ), and federal cropland and grassland N 2 O",abstract
34,Emily Mcglynn; Serena Li; Michael Berger; Meredith Amend; Kandice Harper,,land_cover,,"['Andorra', 'USA', 'US', 'Canada', 'United Arab Emirates', 'United States']",", and federal cropland and grassland N 2 O (21.8",abstract
