original_row,authors,source_column,type,term,value,geography,context
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,next time period) and transition area matrix (which represents
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,in cells) expected to change from one LULC class to
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,time units). The transition probability matrix is expressed in
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,"other category, while the transition area matrix, also represented"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,number of pixels required to transition from one land use and
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,1; Pij is the transition probability matrix in a state
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,next time period. Low transition will have a probability near
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,(0) and high transition probability near (1)
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,this model to obtain the transition matrix between 2002 and 2018
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,multiplying each column in the transition probability matrix by the number
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,) was used to build transition suitability maps which show the
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,probability of a pixel to change to another class or remain
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,-Markov model: The transition probability matrix and transition area
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,The transition probability matrix and transition area matrix from 2002 to
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,was estimated based on the transition probabilities. These areas were
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,"environmental quality, loss of forest and agricultural lands what are"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,water body,,,"LULC types were classified; water body, bare ground, built"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,bare ground,,,"classified; water body, bare ground, built-up area"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,built-up area,,,"body, bare ground, built-up area, forest, and agriculture"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,"built-up area, forest, and agriculture ( Fig"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,city infrastructure post Bhutan's transition to democracy in 2008.
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,Studies by  | LULC transition between years: To deepen
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,to continue remain high with transition probabilities of 0.83 for bare
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,bare ground,,,transition probabilities of 0.83 for bare ground and 0.58 for forest to
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,bare ground and 0.58 for forest to transition to built-
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,and 0.58 for forest to transition to built-up area
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,built-up area,,,"for forest to transition to built-up area. Although small, agriculture"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,transition,,,shows a significant probability to transition to built-up area
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,built-up area,,,significant probability to transition to built-up area which has been the trend
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,lead to sharp declines in forest and agriculture and increase in
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,increase,,,in forest and agriculture and increase in urban population. These
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,of land use land cover change: Results of LULC prediction
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,increase,,,2002 to 2018. Significant increase in built-up areas
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,land cover types such as forest and agriculture. Significant changes
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,expand,,,the government's decision to expand the city northwards and southwards
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,factors have reduced and fragmented forest cover which will degrade ecosystem
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest cover,,,factors have reduced and fragmented forest cover which will degrade ecosystem services
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,change,,,in the face of climate change are disproportionately felt by the
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,"for Thimphu city, with forest cover diminishing to a mere"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest cover,,,"for Thimphu city, with forest cover diminishing to a mere 4.28"
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,highly fragmented. Loss of forest cover will degrade important ecological
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest cover,,,highly fragmented. Loss of forest cover will degrade important ecological services
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,increase,,,degrade important ecological services and increase vulnerability of the city to
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest,,,implemented to protect the current forest cover as well as rehabilitate
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,land_cover,forest cover,,,implemented to protect the current forest cover as well as rehabilitate and
0,Sonam Wang; Lamchin Munkhnasan; Woo-Kyun Lee,sections,change_process,increase,,,". These will significantly, increase water retention, protect soil"
1,Tran Nguyen; Tuan,abstract,change_process,change,,,Land-use change is a human process aimed
1,Tran Nguyen; Tuan,abstract,change_process,transition,,,not know how the land transition in Vietnam has been proceeding
1,Tran Nguyen; Tuan,abstract,change_process,change,,,"the current situation and recent change of land use, the"
1,Tran Nguyen; Tuan,abstract,change_process,transition,,,results show that the land transition in Vietnam has been similar
1,Tran Nguyen; Tuan,abstract,land_cover,agricultural land,,,"regions, but conversion of agricultural land for urbanization is mainly in"
1,Tran Nguyen; Tuan,sections,percentage_change,,37.6%,,"which agricultural land accounts for 37.6%, equivalent to"
1,Tran Nguyen; Tuan,sections,percentage_change,,3%,,"area of about 1-3% in 2005,"
1,Tran Nguyen; Tuan,sections,percentage_change,,5%,,hectares (about 4-5%) by 2050
1,Tran Nguyen; Tuan,sections,percentage_change,,3.6%,,"in developing countries is about 3.6%, while 2.9"
1,Tran Nguyen; Tuan,sections,percentage_change,,2.9%,,"about 3.6%, while 2.9% is the average"
1,Tran Nguyen; Tuan,sections,percentage_change,,7.2%,,"1990 to 2000, at 7.2% and 6.4%"
1,Tran Nguyen; Tuan,sections,percentage_change,,6.4%,,", at 7.2% and 6.4%, respectively ("
1,Tran Nguyen; Tuan,sections,percentage_change,,90%,,. Overall accuracy is above 90% (kappa factor
1,Tran Nguyen; Tuan,sections,percentage_change,,21.5%,,this GIS layer showed a 21.5% decrease when verified
1,Tran Nguyen; Tuan,sections,percentage_change,,56.9%,,"thousand hectares, accounting for 56.9% of the total"
1,Tran Nguyen; Tuan,sections,percentage_change,,57.4%,,"is low, at about 57.4%. Some localities"
1,Tran Nguyen; Tuan,sections,percentage_change,,17%,,the urbanization rate was about 17%. By 2019
1,Tran Nguyen; Tuan,sections,percentage_change,,7%,,"has mostly increased by over 7%, while unused"
1,Tran Nguyen; Tuan,sections,percentage_change,,100%,,unused land decreased by over 100%. These regions
1,Tran Nguyen; Tuan,sections,change_process,change,,,"landscape. Therefore, landuse change is seen as a human"
1,Tran Nguyen; Tuan,sections,change_process,change,,,as a human activity to change the natural landscape and emphasize
1,Tran Nguyen; Tuan,sections,change_process,increase,,,process manifested by a rapid increase in the number and size
1,Tran Nguyen; Tuan,sections,change_process,change,,,angles  | Land use change in the World: a
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"billion hectares, of which agricultural land accounts for 37.6%,"
1,Tran Nguyen; Tuan,sections,change_process,increase,,,but it is expected to increase to about 260 to 420
1,Tran Nguyen; Tuan,sections,change_process,expand,,,"land, this area could expand from 40 to 143 million"
1,Tran Nguyen; Tuan,sections,change_process,increase,,,2010). The annual increase in built-up land
1,Tran Nguyen; Tuan,sections,change_process,increase,,,2.9% is the average increase in industrial countries. The
1,Tran Nguyen; Tuan,sections,change_process,change,,,"to evaluate land-use change, the author had to"
1,Tran Nguyen; Tuan,sections,change_process,change,,, | Results -land use change in Vietnam: Due to
1,Tran Nguyen; Tuan,sections,land_cover,cropland,,,for production agriculture includes annual cropland (paddy land and other
1,Tran Nguyen; Tuan,sections,land_cover,cropland,,,and other short-term cropland) and perennial cropland.
1,Tran Nguyen; Tuan,sections,land_cover,cropland,,,term cropland) and perennial cropland. The forest land is
1,Tran Nguyen; Tuan,sections,land_cover,forest,,,and perennial cropland. The forest land is divided into protection
1,Tran Nguyen; Tuan,sections,land_cover,forest,,,", and special-use forest land. Fig. 
"
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,maps. While non-agricultural land is reported to have increased
1,Tran Nguyen; Tuan,sections,change_process,decrease,,,layer showed a 21.5% decrease when verified by the land
1,Tran Nguyen; Tuan,sections,change_process,decrease,,,"low, leading to a decrease in land-use efficiency"
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,", emphasizing the conversion of agricultural land to built-up land"
1,Tran Nguyen; Tuan,sections,change_process,reduce,,,"in urban areas is to reduce agricultural land, unused land"
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"urban areas is to reduce agricultural land, unused land and increase"
1,Tran Nguyen; Tuan,sections,change_process,increase,,,"land, unused land and increase non-agricultural land."
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,land and increase non-agricultural land. Growth in the non
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,Growth in the non-agricultural land area is mainly due to
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"due to the conversion from agricultural land, of which rice land"
1,Tran Nguyen; Tuan,sections,change_process,transition,,,cover maps). This transition is mainly concentrated in three
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"Delta.
Conversion of agricultural land for investment in urban,"
1,Tran Nguyen; Tuan,sections,change_process,change,,,". Socially, the lifestyle change from rural to urban residents"
1,Tran Nguyen; Tuan,sections,change_process,change,,,2020). Land use change has also created social conflicts
1,Tran Nguyen; Tuan,sections,land_cover,urban area,,,"Land in the peri-urban area is becoming increasingly scarce,"
1,Tran Nguyen; Tuan,sections,change_process,change,,,"terms, urbanization creates a change in land use in the"
1,Tran Nguyen; Tuan,sections,land_cover,urban area,,,use in the peri-urban area. The transfer of a
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,a large part of the agricultural land into the construction or industrial
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,of agricultural and non-agricultural land in these regions' provinces
1,Tran Nguyen; Tuan,sections,change_process,transition,,,"Delta. Furthermore, the transition trend has also shifted to"
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"-urban residents after converting agricultural land. Economically, urbanization and"
1,Tran Nguyen; Tuan,sections,land_cover,agricultural land,,,"addition, the transformation of agricultural land to non-agricultural also"
1,Tran Nguyen; Tuan,sections,change_process,transition,,,'s lifestyles also require a transition from rural to urban.
1,Tran Nguyen; Tuan,sections,change_process,change,,,rural to urban. The change in land use has also
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,title,change_process,change,,,Land-use change and biodiversity: Challenges for
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,Land-use change is considered the greatest threat
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,"increasing research on this global change driver, there are still"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,impact of land-use change on biodiversity can depend on
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,of how land-use change affects ecosystem feedback. Research
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,effects of land-use change under novel climates. Various
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,abstract,change_process,change,,,"understanding of land-use change impacts on biodiversity, limit"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,50%,,to account for more than 50% of the human
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,9.9%,,". In these cases (9.9%), we"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,8.5%,,from the same abstract (8.5%) or all
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,1.5%,,were no direct matches (1.5%). Furthermore
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,93%,,searched 16/07/2020 (more than 93% of papers in
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,1%,,"resolved species in a random 1% of papers,"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,7.8%,,an abbreviated accepted name; 7.8% were matched to
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,1.1%,,"to a synonym, and 1.1% were matched to"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,60%,,", with most genera (60%) being mentioned"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,45%,,"
Plants were mentioned in 45% of all papers"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,43%,,"
Vertebrates were mentioned in 43% of papers,"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,percentage_change,,20%,,sustained human use (>20% of area used
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,report ranked land-use change as the greatest driver of
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"fifth 
Land-use change can have direct impacts on"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"environment 
Land-use change also interacts with other global"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"also interacts with other global change drivers. For example,"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,impacts of land-use change on biodiversity. These studies
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,report that land-use change substantially reduces local species richness
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"responses to land-use change 
A frequent observation of"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,review the land-use change and biodiversity literature to describe
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,impact of land-use change on species and to suggest
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,land use or land cover change on any aspect of species
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,research investigating land-use change impacts on species. Our
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,impact of land-use change on species are increasing faster
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"approaches used for studying landuse change impacts on species, we"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,impact of land-use change on species biology; however
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,impact of land-use change on species depends on context
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,| Measuring land-use change: Land-use change
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,change: Land-use change is challenging to quantify and
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,land_cover,forest,,,"anthropocentric cover categories such as forest, agriculture, and urban"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"to measure land-use change 
Data on land-"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,facets of land-use change  | | Measuring biodiversity
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"interpretation of land-use change impacts, with the perceived"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"effects of land-use change, ""diversity"" was"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"effects of land-use change on biodiversity, it is"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"relationship between land-use change and their prevalence 
Taxonomic"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,the conclusions of many landuse change meta-analyses. Some
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"patterns of land-use change, identify regional mechanisms,"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,-specific land-use change drivers and how they may
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,land_cover,forest,,,was most apparent for temperate forest biomes. The most underrepresented
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,responses to land-use change can vary geographically due to
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,dimensions of land-use change:  | | The
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,: Land use and climate change interact with the implications for
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"
Synthesizing land-use change research requires covering the full"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,land_cover,forest,,,outlook. A bias toward forest ecosystems may be at the
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"of how land-use change affects biodiversity, we need"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,change,,,"interaction of land-use change with other global drivers 
"
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,land_cover,vegetation,,,Global submeter resolution maps of vegetation and land use will be
2,Charles Davison; | Carsten Rahbek; Naia Morueta-Holme; Carsten Rahbek,sections,change_process,increase,,,climate loggers will also help increase the effectiveness of data collection
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,percentage_change,,89.14%,,overall classification accuracy varied between 89.14% and 91.41%
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,percentage_change,,91.41%,,"varied between 89.14% and 91.41%, and the"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,percentage_change,,86.55%,,"kappa values were greater than 86.55%, indicating that"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,percentage_change,,50%,,and their area accounted for 50% and 25%
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,percentage_change,,25%,,"accounted for 50% and 25%, respectively."
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,change_process,change,,,"human activities and continuous climate change. However, extensive cloud"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,land_cover,forest,,,temporal Landsat images and random forest algorithm based on the Google
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,land_cover,forest,,,"study area were grassland and forest, and their area accounted"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,abstract,land_cover,forest,,,", while the area of forest land and construction land increased"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,percentage_change,,85%,,", the recommended threshold is 85%, and Gashaw"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,vegetation,,,"concerned about long-term vegetation change on the TP 
"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,change,,,"about long-term vegetation change on the TP 
However"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,change,,,"improve the efficiency of LULC change research 
The driving force"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,change,,,"reveal the regional ecological environment change mechanism 
Gannan Prefecture is"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,change,,,2) analyze the spatiotemporal change pattern of land-use
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,transition,,,"Province, located in the transition zone between the northeastern Tibetan"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,transition,,,"Province, located in the transition zone between the northeastern Tibetan"
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,forest,,,: We selected a random forest (RF) algorithm as
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,forest,,,: We selected a random forest (RF) algorithm as
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,water body,,,important for the identification of water body and vegetation. The importance
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,vegetation,,,identification of water body and vegetation. The importance score of
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,change_process,transition,,,2000-2018 LULC changes transition matrix and mapped them.
3,Chenli Liu; Wenlong Li; Gaofeng Zhu; Huakun Zhou; Hepiao Yan; Pengfei Xue,sections,land_cover,farmland,,,"and wetlands decreased, and farmland, forest land, and"
