sentenceID,sentence,source,source_type,relationship,target,target_type
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,PROCESS,AFFECTS,cropped fields,LULC | HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",cropped fields,LULC,CONTAINS,herbaceous vegetation,LULC | HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,GROWS_IN,fallows,LULC | HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",herbaceous vegetation,LULC,GROWS_IN,rangelands,LULC | HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",early growing season,DATE,TIME_OF,cropped fields,LULC | HIGH
10,"Due to the weeding practice, dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",fall,DATE,TIME_OF,herbaceous vegetation,LULC | HIGH
11,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",grazing land,LULC,IS_HIGHER_THAN,total regional area: SURFACE_UNIT | HIGH,The proportion of grazing land is higher compared to the total regional area.
11,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",croplands,LULC,IS_SUBSTANTIALLY_HIGH,| MEDIUM,"The size of croplands is significantly high, but no specific value is mentioned."
11,"In 1986, the grazing land had much higher proportion of the total regional area than other types while the size of croplands was substantially high after 16 years (Table)",croplands,LULC,AFTER,16 years | HIGH,There is a temporal relationship indicating that the size of croplands increased over time.
12,"In 1990, woodland and tree were still the dominant types",,,,,
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",Adansonia digitata,LULC,PROTECTED_BY,farmers,PERCENT | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",Vitellaria paradoxa,LULC,PROTECTED_BY,farmers,PERCENT | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",baobab,LULC,IS_SAME_AS,Adansonia digitata,LULC | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",shea tree,LULC,IS_SAME_AS,Vitellaria paradoxa,LULC | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",agricultural cycle,PROCESS,OCCURS_DURING,fallows,PROCESS | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",farmers,PERCENT,PROTECT,Adansonia digitata,LULC | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved",farmers,PERCENT,PROTECT,Vitellaria paradoxa,LULC | HIGH
13,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of and fallows and are therefore still well preserved","Note: The relations ""baobab",LULC,IS_SAME_AS,"Adansonia digitata: LULC"" and ""shea tree",LULC
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LOC,LOCATED_IN,woody vegetation,LULC | HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",wood resources,QUANTITY,CAUSES,woody vegetation,LULC
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",fuel,QUANTITY,MEASURES,wood resources,QUANTITY | LOW
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",construction wood,QUANTITY,MEASURES,wood resources,QUANTITY | LOW
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",local rural population,PERCENT,AFFECTS,wood resources,QUANTITY | MEDIUM
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",Niamey,LOC,LOCATED_IN,rangelands,LOC | HIGH
14,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",rangelands,LOC,IS_NEAR,Niamey,LOC | HIGH
15,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",land,LULC,AWAY_FROM,settlement,LOC
15,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration","* The relation ""land",LULC,AWAY_FROM,settlement,"LOC"" implies a spatial relationship between land and settlement, which is correct according to the rules."
16,Irrigation from rivers is regarded as minor driver of,,,,,
17,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",Tree growth,PROCESS,AFFECTS,Woody cover,LULC
17,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",Fields,LOC,LOCATED_IN,Woody cover,LULC
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Rangelands,LULC,GRAZED,by Grazing,PROCESS | HIGH
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Grazing,PROCESS,EXTENDS_TO,Fallows,LULC | MEDIUM
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Grazing,PROCESS,EXTENDS_TO,Cropped fields,LULC | MEDIUM
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Grazing,PROCESS,DEPENDS_ON,Accessibility,LOC | MEDIUM
18,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",Grazing,PROCESS,DEPENDS_ON,Dry season,DATE | MEDIUM
19,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",Ratios,QUANTITY,MEASURES,cultivated area,CARDINAL | HIGH
19,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",bushfallow system,PROCESS,CAUSES,decline in fertility,QUANTITY | HIGH
19,"Ratios of to cultivated area are 0.8 in Woure, where the bushfallow system is ""already defunct,"" 1.6 in Silgey and Kolbila, where bush- ""would lead to a steady decline in fertility,"" 2 in Koho, where bush- is ""marginal,"" and 5 in Sayero, where available land is still ""more than adequate.""",bush,LULC,AFFECTS,fertility,QUANTITY | MEDIUM
20,Regular keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,,,,,
