sentence_id,sentence,source,relationship,target,confidence
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",loss,CAUSES,change,MEDIUM
5,").'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': '[Land use ]change in the study site'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2a'}, {'@type': 'figure', '@target': '#fig_1', '#text': '2b'}], '#text': 'From 1996 to 2017, the area covered by cropped fields, C, has increased from 40% to 51.3% over the study site area, and from 47% to 64% of the arable lands in the study site due to the loss fallows",study_site,LOCATED_IN,study_site_area,HIGH
7,"[Forest] land was decreased nearly by half in 2002 compared to its coverage in 1984, while the size of the gallery [forest] did not change much",forest (1984),DECREASES_BY,forest (2002),HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",26%,DECREASES_BY,forest,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively","forest, woodland, tree savanna",CHANGE_TO,farmland,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",farmland,LOCATED_IN,total area,MEDIUM
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",2050,OCCURS_DURING,future,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1975,OCCURS_DURING,past,HIGH
8,"About 26 and 31% of the total area of natural vegetation ([forest], woodland and tree [savanna]) will be converted to farmland and degraded [savanna] by 2050 if we assume the dynamics recorded from 1975 to 1990 and 1990-2010, respectively",1990,OCCURS_DURING,past,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity",West_Africa,LOCATED_IN,tropical_zone,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity",centuries_of_human_modification,CAUSES,substantial_decline,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,variable means of all recorded trees and shrubs,MEASURES,differences in woody vegetation between land use types,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,another variance analysis using GLM,ENABLES,assessment of contribution of size of individual trees and shrubs,MEDIUM
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,variable means of all recorded trees and shrubs,AFFECTS,differences in woody vegetation between land use types,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,assessment of contribution of size of individual trees and shrubs,CAUSES,variation analysis using GLM,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",forest,DECREASES_BY,5%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",forest,DECREASES_BY,17%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",woodland,DECREASES_BY,9%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",savanna,DECREASES_BY,5%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",savanna,DECREASES_BY,17%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",savanna,INCREASES_BY,9%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",farmland,INCREASES_BY,22%,HIGH
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",degraded_savanna,INCREASES_BY,9%,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease in herbaceous standing,CAUSES,limitation in fire spread,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease in herbaceous standing,CAUSES,limitation in burnt areas size,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",shortening of fallow period,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension of cultivated and cleared fields,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing by cattle,CAUSES,decrease in herbaceous standing,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increase in landscape discontinuities,CAUSES,limitation in fire spread,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",increase in landscape discontinuities,CAUSES,limitation in burnt areas size,MEDIUM
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",urban sprawl,CAUSES,local food crises,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",Bolgatanga,LOCATED_IN,area,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",urban,CHANGE_TO,sprawl,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",agriculture,CHANGE_TO,land becomes useless,MEDIUM
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",urban development,ENABLES,urban sprawl,HIGH
13,"Coping capacities were therefore assumed to be lower for the Bolgatanga area, which could lead to local food crises provoked by [urban] sprawl where land becomes useless for [agriculture].']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.2.', '#text': 'Driving forces of [[urban] development]'}, 'p': [{'ref': {'@type': 'table', '#text': '6a'}, '#text': 'Our three data sets show at a high confidence level that population growth is a driving force of [[urban] development] in both study areas (Table )",urban development,OCCURS_DURING,both study areas,HIGH
14,"describes Rwandan [agriculture] as caught in a ""low investment trap""; less than 10% of cropland is irrigated, while tractors, bank credit and government aid are all scarce",less_than_10_percent,CAUSES,low_irrigation,LOW
15,"Due to the weeding practice, [bare soil] dominates in cropped fields in the early growing season while herbaceous vegetation continues to grow in fallows and rangelands",weeding practice,CAUSES,change in LULC,HIGH
16,"From the expert interviews, we learned that migration is a driver and a consequence of [LULCC] and population pressure to which the driver ""labour shortage"" is related",labour_shortage,CAUSES,[LULCC],HIGH
17,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use] types while the size of croplands was substantially high after 16 years (Table )",1986,OCCURS_DURING,[event],HIGH
17,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use] types while the size of croplands was substantially high after 16 years (Table )",croplands,INCREASES_BY,[quantity],MEDIUM
17,"In 1986, the grazing land had much higher proportion of the total regional area than other [land use] types while the size of croplands was substantially high after 16 years (Table )",grazing_land,CHANGE_TO,[other_type],MEDIUM
18,"In 1990, woodland and tree [savanna] were still the dominant [land cover] types",1990,OCCURS_DURING,"""In 1990""",HIGH
19,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",cultivation,OCCURS_DURING,agricultural cycle,HIGH
19,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",fallows,LOCATED_IN,agricultural cycle,MEDIUM
20,"In his study of the ICRISAT villages, he argues that, except in Sayero, all ""have passed or are approaching the stage at which reliance on long bush-[fallow] rotation to maintain soil fertility is no longer feasible.""",bush-[fallow] rotation,AFFECTS,soil fertility,HIGH
21,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use] conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",[Land use conflicts],OCCURS_DURING,[last few years],HIGH
21,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use] conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",[Sahel region],LOCATED_IN,[northern Burkina Faso],HIGH
21,"In northern Burkina Faso, temporary migration is also one of the diversification strategies observed .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.5.', '#text': '[Land use ]conflicts'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b34', '#text': '(Homer-Dixon, 1994)'}, {'@type': 'bibr', '@target': '#b7', '#text': '(Benjaminsen and Ba, 2009)'}, {'@type': 'bibr', '@target': '#b4', '#text': 'Bassett, 1988;'}, {'@type': 'bibr', '@target': '#b7', '#text': 'Benjaminsen and Ba, 2009;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Moritz, 2008;'}, {'@type': 'bibr', '@target': '#b83', '#text': 'Turner, 2004)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hesse and Cotula, 2006'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Behnke and Scoones, 1993;'}, {'@type': 'bibr', '@target': '#b17', '#text': 'Ellis, 1988;'}, {'@type': 'bibr', '@target': '#b81', '#text': 'Turner, 1999)'}], '#text': ""During the last few years, violent [land use] conflicts in the Sahel have become the most popular example of the alleged link between global climate change and conflict",[Global climate change],CAUSES,[land use conflicts],MEDIUM
22,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing [urban] population of Niamey only 80 km away",increasing pressure,CAUSES,decrease in woody vegetation,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",increase,CAUSES,decrease,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",decrease,INCREASES_BY,gain,MEDIUM
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,LOCATED_IN,Saloum,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,LOCATED_IN,Senegal,HIGH
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",fallow,CAUSES,less_fertile,MEDIUM
23,"In Saloum Senegal, with the increase of cultivated land and shortening of [fallow] cycles, soils have become less fertile close to the villages, although [fallow] land away from the settlement gained in size, mainly due to out-migration",out-migration,CAUSES,gain,MEDIUM
24,"In the case of Ghana, that statement might be true for Kumasi as expanding [city] in the hinterlands, but not for Bolgatanga",Ghana,LOCATED_IN,Africa,HIGH
25,"In the past, missing or low fertilizer input was compensated by the [crop]-[fallow] practice, but land pressure due to population growth has led to permanent and recurrent use of agricultural parcels and recurrent [cultivation] of the same crops",population_growth,CAUSES,land_pressure,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",crop,INCREASES_BY,9%,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",crop,INCREASES_BY,18%,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",forest,DECREASES_BY,nearly 50%,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",1984,OCCURS_DURING,past,HIGH
26,"In Yale ´, the size of [crop] and grazing lands increased by 9 and 18% in 2002 compared to the sizes in 1984, while the [forest] land and the gallery forests declined by nearly 50% (Table and Fig",2002,OCCURS_DURING,past,HIGH
27,Ineffective [land use] planning can contribute to an increase in land fragmentation resulting in loss of land for food provision,Ineffective [land use] planning,CAUSES,increase | CHANGE,HIGH
28,Interviews and literature review showed that biophysical factors as drivers of [LULCC] were frequently mentioned in relation to anthropogenic drivers,drivers,CAUSES,LULCC,HIGH
30,It is well known that the availability of [fallow] land and hence the duration of [fallow] periods decrease with increasing population density in rural areas,population density,INCREASES_BY,increasing,HIGH
31,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and [shrubs]",droughts,CAUSES,dying,HIGH
31,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and [shrubs]",dying,AFFECTS,trees,HIGH
31,"On the one hand, the shallow soils were not able to temper droughts, leading to a massive dying of trees and [shrubs]",dying,AFFECTS,shrubs,HIGH
32,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",[tree growth],INCREASES_BY,[woody cover],HIGH
32,"On the one hand, tree growth and [agroforestry] on fields have led to an increase of woody cover in proximity to the village",[agroforestry],CAUSES,[tree growth],MEDIUM
33,"One explanation could be the indistinct influence of indirect drivers on [LULCC], for example, changes in religious patterns",drivers,CAUSES,changes,HIGH
33,"One explanation could be the indistinct influence of indirect drivers on [LULCC], for example, changes in religious patterns",religious_patterns,CAUSES,changes,MEDIUM
34,One of the fundamental factors has been demographic growth and the growth in [urban] food demands,demographic_growth,CAUSES,growth,HIGH
35,Other areas have experienced a decrease in [crop] land despite a population increase,population_increase,CAUSES,increase_in_demand_for_resources,HIGH
35,Other areas have experienced a decrease in [crop] land despite a population increase,decrease_in_crop_land,DECREASES_BY,population_growth,MEDIUM
36,"P9: We know that [urbanisation] is coming, it\'s growing",urbanisation,AFFECTS,,HIGH
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",rangelands,LOCATED_IN,communal_access,HIGH
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",grazing,AFFECTS,rangelands,MEDIUM
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",year-round,OCCURS_DURING,grazing,MEDIUM
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",dry_season,OCCURS_DURING,grazing,MEDIUM
37,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the [crop] harvest",accessibility,AFFECTS,grazing_on_fallow,MEDIUM
39,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,cultivation,LOCATED_IN,fields,HIGH
39,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,trees,LOCATED_IN,fields,HIGH
46,The actual size and proportion of the different [land use] types changed during the study period,study_period,OCCURS_DURING,change,HIGH
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",forest_loss,CAUSES,deforestation,HIGH
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",deforestation,ENABLES,agricultural_expansion,MEDIUM
47,"The available evidence suggests that [forest] loss and degradation has been caused primarily by agricultural expansion, sometimes facilitated by other human activities such as wood extraction",agricultural_expansion,CHANGE_TO,cropland,HIGH
48,The dependent variable is growth in the [urbanization] rate,growth,INCREASES_BY,urbanization_rate,MEDIUM
48,The dependent variable is growth in the [urbanization] rate,urbanization,CAUSES,growth,LOW
49,"The majority (94%) of the households keep livestock which plays an important role as a saving and security system, especially in years with [crop] failure",94%,MEASURES,majority (of households),HIGH
50,"The plots were only cropped one year and with little success, after which irreversible soil [erosion] started to take place",agricultural land,DECREASES_BY,productivity,HIGH
50,"The plots were only cropped one year and with little success, after which irreversible soil [erosion] started to take place",agricultural land,CAUSES,soil erosion,MEDIUM
51,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",droughts and declining rainfall,CAUSES,decline,HIGH
51,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",the past 30 years,OCCURS_DURING,decline,HIGH
51,"The reasons for the decline described by the authors are droughts and declining rainfall in the past 30 years, bringing about such risks in rain-fed [cultivation] that farmers abandoned their crops in favour of other economic activities",risk,AFFECTS,rain-fed cultivation,MEDIUM
