sentence_id,sentence,source,source_label,relationship,target,target_label,confidence
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity","""human modification""",PROCESS,CAUSES,"""substantial decline""",QUANTITY,HIGH
9,"Although such schemes clearly have the potential to benefit biodiversity and the wider environment, further research is required to quantify the benefits and risks, assess the scales over which benefits are being and are likely to be delivered, and to assess the socio-economic implications for livelihoods and land-use .'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.3.', '#text': 'Wider implications'}, 'p': {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Laporte et al., 2007)'}, {'@type': 'bibr', '#text': '(Laurance et al., 2006a,b;'}, {'@type': 'bibr', '@target': '#b89', '#text': 'Wilkie et al., 2000;'}, {'@type': 'bibr', '@target': '#b92', '#text': 'Zhang et al., 2006)'}, {'@type': 'bibr', '@target': '#b16', '#text': '(Butler and Laurance, 2008)'}], '#text': 'The tropical [forest] zone in West Africa has experienced centuries of human modification, leading to a substantial decline in [forest] cover and loss of [forest] biodiversity","""substantial decline""",QUANTITY,DECREASES_BY,"""forest cover""",LULC,HIGH
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,of individual trees,LULC,INCREASES_BY,> the differences,QUANTITY,MEDIUM
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,and shrubs,LULC,INCREASES_BY,> the differences,QUANTITY,MEDIUM
10,Another variance analysis using GLM was conducted for the variable means of all recorded trees and [shrubs] per [land use] type to assess the contribution of the size of individual trees and [shrubs] to the differences in woody vegetation between [land use] types,to the differences,QUANTITY,MEASURES,> in woody vegetation,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",amounts_of_land,QUANTITY,DECREASES_BY,forest,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",amounts_of_land,QUANTITY,DECREASES_BY,woodland,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",amounts_of_land,QUANTITY,DECREASES_BY,tree_savanna,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",amounts_of_land,QUANTITY,INCREASES_BY,degraded_savanna,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",amounts_of_land,QUANTITY,INCREASES_BY,farmland,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",assuming_dynamics,CHANGE,CAUSES,forest,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",assuming_dynamics,CHANGE,CAUSES,woodland,LULC,MEDIUM
11,"Assuming the dynamics recorded in the second period , the amounts of land covered by [forest], woodland and tree [savanna] will decrease by 5, 9 and 17% of their cover in 1990, respectively, while the amount of degraded [savanna] and farmland will increase by 9 and 22% of the total area, respectively",assuming_dynamics,CHANGE,CAUSES,tree_savanna,LULC,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",decrease,CHANGE,DECREASES_BY,herbaceous standing crop,LULC,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",herbaceous standing crop,LULC,CHANGE_TO,,LULC,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",extension of cultivated and cleared fields,CHANGE,CAUSES,decrease,CHANGE,MEDIUM
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",grazing by cattle,PROCESS,AFFECTS,herbaceous standing crop,LULC,HIGH
12,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas",spread of fire,PROCESS,AFFECTS,size of burnt areas,QUANTITY,HIGH
19,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",agricultural cycle,PROCESS,OCCURS_DURING,[cultivation and fallows],PROCESS,MEDIUM
