sentence_id,sentence,source,source_label,relationship,target,target_label,confidence
13,"In rangelands, the main cause of woody vegetation decrease is the increasing pressure on wood resources to satisfy the demand for fuel and construction wood, not only from the local rural population, but also from the rapidly growing population of Niamey only 80 km away",decrease,CHANGE,DECREASES_BY,woody_vegetation,LULC_TYPE,HIGH
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",Saloum Senegal,LOC,LOCATED_IN,Senegal,LOC,HIGH
14,"In Saloum Senegal, with the increase of cultivated land and shortening of cycles, soils have become less fertile close to the villages, although land away from the settlement gained in size, mainly due to out-migration",increase,CHANGE,INCREASES_BY,size,QUANTITY,MEDIUM
15,Irrigation from rivers is regarded as minor driver of,irrigation,PROCESS,CAUSES,deforestation,CHANGE,MEDIUM
15,Irrigation from rivers is regarded as minor driver of,deforestation,CHANGE,ENABLES,urbanization,PROCESS,HIGH
15,Irrigation from rivers is regarded as minor driver of,deforestation,CHANGE,AFFECTS,forest,LULC_TYPE,HIGH
16,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",tree,LULC_TYPE,CAUSES,increase,CHANGE,HIGH
16,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",field,LULC_TYPE,CAUSES,increase,CHANGE,HIGH
16,"On the one hand, tree growth and on fields have led to an increase of woody cover in proximity to the village",increase,CHANGE,INCREASES_BY,woody_cover,LULC_TYPE,HIGH
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",grazing,PROCESS,AFFECTS,rangelands,LULC,HIGH
17,"Rangelands are grazed year-round under communal access but grazing also extends to fallows, year-round or only in the dry season depending on accessibility, and to cropped fields after the harvest",dry_season,DATE,OCCURS_DURING,grazing,PROCESS,MEDIUM
